Wavelength (nm)	387 24.abs
300.00	0.15490
301.00	0.15288
302.00	0.15166
303.00	0.15069
304.00	0.14990
305.00	0.14931
306.00	0.14889
307.00	0.14860
308.00	0.14845
309.00	0.14886
310.00	0.14997
311.00	0.15096
312.00	0.15201
313.00	0.15335
314.00	0.15470
315.00	0.15593
316.00	0.15734
317.00	0.15849
318.00	0.16012
319.00	0.16159
320.00	0.16322
321.00	0.16497
322.00	0.16657
323.00	0.16827
324.00	0.16981
325.00	0.17111
326.00	0.17216
327.00	0.17259
328.00	0.17258
329.00	0.17196
330.00	0.17080
331.00	0.16878
332.00	0.16619
333.00	0.16330
334.00	0.15992
335.00	0.15644
336.00	0.15283
337.00	0.14910
338.00	0.14582
339.00	0.14299
340.00	0.14037
341.00	0.13860
342.00	0.13707
343.00	0.13624
344.00	0.13595
345.00	0.13608
346.00	0.13689
347.00	0.13811
348.00	0.13970
349.00	0.14136
350.00	0.14320
351.00	0.14543
352.00	0.14774
353.00	0.15011
354.00	0.15237
355.00	0.15463
356.00	0.15707
357.00	0.15941
358.00	0.16191
359.00	0.16456
360.00	0.16733
361.00	0.17023
362.00	0.17319
363.00	0.17641
364.00	0.17998
365.00	0.18386
366.00	0.18823
367.00	0.19320
368.00	0.19858
369.00	0.20405
370.00	0.20961
371.00	0.21580
372.00	0.22188
373.00	0.22825
374.00	0.23462
375.00	0.24122
376.00	0.24730
377.00	0.25178
378.00	0.25769
379.00	0.26276
380.00	0.26542
381.00	0.26722
382.00	0.26929
383.00	0.27007
384.00	0.27070
385.00	0.27041
386.00	0.26882
387.00	0.26854
388.00	0.27021
389.00	0.27021
390.00	0.26824
391.00	0.27040
392.00	0.27661
393.00	0.28512
394.00	0.28745
395.00	0.29604
396.00	0.30599
397.00	0.32108
398.00	0.34023
399.00	0.35747
400.00	0.37195
401.00	0.38880
402.00	0.40687
403.00	0.42535
404.00	0.44231
405.00	0.45991
406.00	0.47068
407.00	0.47686
408.00	0.48403
409.00	0.48863
410.00	0.49123
411.00	0.49339
412.00	0.49706
413.00	0.50173
414.00	0.50595
415.00	0.51308
416.00	0.52624
417.00	0.54297
418.00	0.56499
419.00	0.59347
420.00	0.63074
421.00	0.67702
422.00	0.72461
423.00	0.77389
424.00	0.82618
425.00	0.88220
426.00	0.92747
427.00	0.97024
428.00	0.99209
429.00	1.00000
430.00	0.98605
431.00	0.94974
432.00	0.89192
433.00	0.82235
434.00	0.74626
435.00	0.66658
436.00	0.59108
437.00	0.51674
438.00	0.44757
439.00	0.38336
440.00	0.32632
441.00	0.27483
442.00	0.23166
443.00	0.19830
444.00	0.16614
445.00	0.14127
446.00	0.12100
447.00	0.10198
448.00	0.088474
449.00	0.075280
450.00	0.064888
451.00	0.056642
452.00	0.049788
453.00	0.043803
454.00	0.039300
455.00	0.033335
456.00	0.030380
457.00	0.029200
458.00	0.026289
459.00	0.024772
460.00	0.023063
461.00	0.022434
462.00	0.018779
463.00	0.018134
464.00	0.018616
465.00	0.020068
466.00	0.019322
467.00	0.016685
468.00	0.017367
469.00	0.014360
470.00	0.011792
471.00	0.010426
472.00	0.010675
473.00	0.011524
474.00	0.011001
475.00	0.011182
476.00	0.011990
477.00	0.010147
478.00	0.0080357
479.00	0.0081008
480.00	0.0095356
481.00	0.010271
482.00	0.010167
483.00	0.011576
484.00	0.0098701
485.00	0.010688
486.00	0.012942
487.00	0.014034
488.00	0.012442
489.00	0.013266
490.00	0.012694
491.00	0.011341
492.00	0.011205
493.00	0.011831
494.00	0.011338
495.00	0.011871
496.00	0.014177
497.00	0.013025
498.00	0.011841
499.00	0.011017
500.00	0.0098642
501.00	0.011925
502.00	0.012233
503.00	0.012317
504.00	0.012796
505.00	0.012122
506.00	0.010377
507.00	0.010517
508.00	0.010820
509.00	0.010579
510.00	0.011945
511.00	0.012598
512.00	0.012476
513.00	0.012166
514.00	0.011807
515.00	0.011742
516.00	0.012594
517.00	0.012993
518.00	0.014131
519.00	0.014955
520.00	0.014473
521.00	0.015097
522.00	0.015453
523.00	0.015998
524.00	0.016793
525.00	0.017254
526.00	0.017777
527.00	0.017816
528.00	0.018421
529.00	0.018686
530.00	0.018866
531.00	0.019112
532.00	0.019459
533.00	0.020222
534.00	0.020344
535.00	0.020584
536.00	0.019609
537.00	0.019873
538.00	0.020897
539.00	0.020693
540.00	0.020395
541.00	0.020872
542.00	0.020811
543.00	0.020571
544.00	0.020941
545.00	0.020987
546.00	0.021320
547.00	0.022789
548.00	0.023757
549.00	0.022593
550.00	0.022585
551.00	0.023399
552.00	0.024858
553.00	0.025614
554.00	0.026024
555.00	0.027712
556.00	0.028563
557.00	0.028866
558.00	0.029517
559.00	0.030928
560.00	0.033376
561.00	0.034938
562.00	0.035614
563.00	0.037546
564.00	0.038997
565.00	0.039527
566.00	0.040407
567.00	0.042256
568.00	0.043964
569.00	0.046377
570.00	0.048333
571.00	0.053885
572.00	0.057431
573.00	0.057123
574.00	0.061626
575.00	0.066234
576.00	0.064774
577.00	0.060439
578.00	0.069915
579.00	0.067060
580.00	0.068482
581.00	0.068393
582.00	0.068300
583.00	0.059861
584.00	0.063507
585.00	0.067442
586.00	0.062383
587.00	0.062474
588.00	0.062614
589.00	0.061587
590.00	0.062905
591.00	0.064207
592.00	0.070353
593.00	0.073552
594.00	0.072501
595.00	0.074283
596.00	0.075680
597.00	0.080217
598.00	0.084620
599.00	0.088552
600.00	0.087271
601.00	0.087261
602.00	0.086240
603.00	0.087219
604.00	0.089693
605.00	0.090841
606.00	0.092391
607.00	0.093923
608.00	0.094823
609.00	0.093771
610.00	0.094754
611.00	0.095906
612.00	0.096907
613.00	0.097764
614.00	0.10007
615.00	0.10049
616.00	0.098056
617.00	0.094303
618.00	0.093048
619.00	0.090693
620.00	0.088906
621.00	0.085467
622.00	0.084351
623.00	0.081688
624.00	0.078765
625.00	0.075536
626.00	0.072914
627.00	0.071905
628.00	0.071088
629.00	0.072076
630.00	0.073572
631.00	0.076110
632.00	0.079484
633.00	0.085364
634.00	0.092024
635.00	0.10022
636.00	0.11031
637.00	0.12233
638.00	0.13771
639.00	0.15492
640.00	0.17521
641.00	0.20057
642.00	0.22858
643.00	0.26228
644.00	0.30088
645.00	0.34256
646.00	0.38480
647.00	0.42726
648.00	0.46631
649.00	0.49923
650.00	0.52138
651.00	0.53308
652.00	0.53251
653.00	0.52054
654.00	0.49815
655.00	0.47644
656.00	0.44260
657.00	0.40532
658.00	0.34380
659.00	0.29766
660.00	0.25504
661.00	0.21584
662.00	0.18069
663.00	0.15054
664.00	0.12519
665.00	0.10311
666.00	0.083884
667.00	0.068696
668.00	0.056383
669.00	0.046813
670.00	0.038904
671.00	0.032619
672.00	0.027309
673.00	0.022226
674.00	0.018631
675.00	0.016049
676.00	0.014001
677.00	0.011827
678.00	0.0098836
679.00	0.0086870
680.00	0.0077248
681.00	0.0065438
682.00	0.0061414
683.00	0.0051420
684.00	0.0050763
685.00	0.0060654
686.00	0.0055816
687.00	0.0038937
688.00	0.0032849
689.00	0.0026546
690.00	0.0026298
691.00	0.0030112
692.00	0.0036028
693.00	0.0034686
694.00	0.0030252
695.00	0.0031400
696.00	0.0032650
697.00	0.0039174
698.00	0.0042083
699.00	0.0029654
700.00	0.0023006
