Wavelength (nm)	267 FbC-M10Iso-Bn.abs
300.00	0.094958
301.00	0.095801
302.00	0.096645
303.00	0.097489
304.00	0.098586
305.00	0.10041
306.00	0.10218
307.00	0.10252
308.00	0.10286
309.00	0.10319
310.00	0.10290
311.00	0.10219
312.00	0.10149
313.00	0.10096
314.00	0.10080
315.00	0.10063
316.00	0.10047
317.00	0.10129
318.00	0.10246
319.00	0.10363
320.00	0.10480
321.00	0.10732
322.00	0.11021
323.00	0.11310
324.00	0.11599
325.00	0.11888
326.00	0.12212
327.00	0.12538
328.00	0.12863
329.00	0.13188
330.00	0.13502
331.00	0.13760
332.00	0.14018
333.00	0.14276
334.00	0.14534
335.00	0.14792
336.00	0.15078
337.00	0.15425
338.00	0.15771
339.00	0.16118
340.00	0.16465
341.00	0.16812
342.00	0.17162
343.00	0.17532
344.00	0.17903
345.00	0.18274
346.00	0.18644
347.00	0.19015
348.00	0.19341
349.00	0.19666
350.00	0.19991
351.00	0.20316
352.00	0.20656
353.00	0.21068
354.00	0.21481
355.00	0.21914
356.00	0.22589
357.00	0.23261
358.00	0.23833
359.00	0.24405
360.00	0.24991
361.00	0.25582
362.00	0.25874
363.00	0.26056
364.00	0.26001
365.00	0.25709
366.00	0.25417
367.00	0.25083
368.00	0.24746
369.00	0.24524
370.00	0.24355
371.00	0.24187
372.00	0.24083
373.00	0.24024
374.00	0.23965
375.00	0.24066
376.00	0.24243
377.00	0.24421
378.00	0.24696
379.00	0.25112
380.00	0.25529
381.00	0.26188
382.00	0.27100
383.00	0.28012
384.00	0.28929
385.00	0.29925
386.00	0.30921
387.00	0.31918
388.00	0.32961
389.00	0.34127
390.00	0.35292
391.00	0.36458
392.00	0.38445
393.00	0.40433
394.00	0.42474
395.00	0.44548
396.00	0.46623
397.00	0.48737
398.00	0.51135
399.00	0.53534
400.00	0.55933
401.00	0.58849
402.00	0.62155
403.00	0.65469
404.00	0.68815
405.00	0.72160
406.00	0.75480
407.00	0.78783
408.00	0.82140
409.00	0.85587
410.00	0.89409
411.00	0.93186
412.00	0.96007
413.00	0.98962
414.00	1.0000
415.00	0.99404
416.00	0.97622
417.00	0.94870
418.00	0.91393
419.00	0.87661
420.00	0.83929
421.00	0.80059
422.00	0.76037
423.00	0.72612
424.00	0.70050
425.00	0.68457
426.00	0.66455
427.00	0.62141
428.00	0.57828
429.00	0.53514
430.00	0.47358
431.00	0.40996
432.00	0.34509
433.00	0.27957
434.00	0.21973
435.00	0.16511
436.00	0.13783
437.00	0.11055
438.00	0.092070
439.00	0.075522
440.00	0.062391
441.00	0.049707
442.00	0.041552
443.00	0.033397
444.00	0.030123
445.00	0.026950
446.00	0.023904
447.00	0.022878
448.00	0.021851
449.00	0.020825
450.00	0.019837
451.00	0.019162
452.00	0.018487
453.00	0.017812
454.00	0.017137
455.00	0.016462
456.00	0.016345
457.00	0.016252
458.00	0.016158
459.00	0.016065
460.00	0.015971
461.00	0.015878
462.00	0.016620
463.00	0.017612
464.00	0.018604
465.00	0.019596
466.00	0.020588
467.00	0.021580
468.00	0.022747
469.00	0.023927
470.00	0.025108
471.00	0.026288
472.00	0.027469
473.00	0.028649
474.00	0.029785
475.00	0.030221
476.00	0.030656
477.00	0.031092
478.00	0.031527
479.00	0.031963
480.00	0.031915
481.00	0.031697
482.00	0.031479
483.00	0.031261
484.00	0.031043
485.00	0.030776
486.00	0.030439
487.00	0.030102
488.00	0.029765
489.00	0.029428
490.00	0.029280
491.00	0.029670
492.00	0.030060
493.00	0.030449
494.00	0.030839
495.00	0.032633
496.00	0.034779
497.00	0.036924
498.00	0.039110
499.00	0.043276
500.00	0.047443
501.00	0.051619
502.00	0.055884
503.00	0.060150
504.00	0.063333
505.00	0.065515
506.00	0.067697
507.00	0.067701
508.00	0.066253
509.00	0.064804
510.00	0.063356
511.00	0.061211
512.00	0.059066
513.00	0.056920
514.00	0.054435
515.00	0.050744
516.00	0.047053
517.00	0.043362
518.00	0.039503
519.00	0.035535
520.00	0.031568
521.00	0.028725
522.00	0.026387
523.00	0.024850
524.00	0.024255
525.00	0.023660
526.00	0.023922
527.00	0.024914
528.00	0.025906
529.00	0.028510
530.00	0.032102
531.00	0.035758
532.00	0.040943
533.00	0.046127
534.00	0.053104
535.00	0.062102
536.00	0.072563
537.00	0.085130
538.00	0.099927
539.00	0.11678
540.00	0.13330
541.00	0.14793
542.00	0.15738
543.00	0.16075
544.00	0.15807
545.00	0.15023
546.00	0.13385
547.00	0.12033
548.00	0.10681
549.00	0.092848
550.00	0.078702
551.00	0.064515
552.00	0.050033
553.00	0.038805
554.00	0.032456
555.00	0.026108
556.00	0.021880
557.00	0.019949
558.00	0.018019
559.00	0.016088
560.00	0.015760
561.00	0.015652
562.00	0.015543
563.00	0.015435
564.00	0.015326
565.00	0.015277
566.00	0.015277
567.00	0.015277
568.00	0.015277
569.00	0.015277
570.00	0.015090
571.00	0.014837
572.00	0.014584
573.00	0.014331
574.00	0.014078
575.00	0.013825
576.00	0.013572
577.00	0.013280
578.00	0.012982
579.00	0.012683
580.00	0.012385
581.00	0.012087
582.00	0.011797
583.00	0.011701
584.00	0.011605
585.00	0.011509
586.00	0.011412
587.00	0.011316
588.00	0.011218
589.00	0.011031
590.00	0.010843
591.00	0.010656
592.00	0.010468
593.00	0.010281
594.00	0.010093
595.00	0.0099716
596.00	0.0098627
597.00	0.0097539
598.00	0.0096450
599.00	0.0095361
600.00	0.0096718
601.00	0.010033
602.00	0.010395
603.00	0.010756
604.00	0.011117
605.00	0.012419
606.00	0.014105
607.00	0.015790
608.00	0.017476
609.00	0.019950
610.00	0.022483
611.00	0.025016
612.00	0.027771
613.00	0.030747
614.00	0.033722
615.00	0.036353
616.00	0.038733
617.00	0.041114
618.00	0.042982
619.00	0.044587
620.00	0.046191
621.00	0.047734
622.00	0.048089
623.00	0.048445
624.00	0.048800
625.00	0.047832
626.00	0.046512
627.00	0.045192
628.00	0.043872
629.00	0.042483
630.00	0.041080
631.00	0.039677
632.00	0.038275
633.00	0.037069
634.00	0.035945
635.00	0.034820
636.00	0.033696
637.00	0.032571
638.00	0.031712
639.00	0.031063
640.00	0.030413
641.00	0.029764
642.00	0.029166
643.00	0.029031
644.00	0.028896
645.00	0.028762
646.00	0.028627
647.00	0.028311
648.00	0.027950
649.00	0.027588
650.00	0.027227
651.00	0.026866
652.00	0.027340
653.00	0.027823
654.00	0.028306
655.00	0.029476
656.00	0.031723
657.00	0.033969
658.00	0.036216
659.00	0.041982
660.00	0.048740
661.00	0.056035
662.00	0.064208
663.00	0.072380
664.00	0.081348
665.00	0.090340
666.00	0.10117
667.00	0.11934
668.00	0.13847
669.00	0.16260
670.00	0.18674
671.00	0.22411
672.00	0.26567
673.00	0.32635
674.00	0.39030
675.00	0.45361
676.00	0.52020
677.00	0.57549
678.00	0.60566
679.00	0.61193
680.00	0.60421
681.00	0.57443
682.00	0.51811
683.00	0.45247
684.00	0.38647
685.00	0.31991
686.00	0.25849
