Wavelength (nm)	L267 FbC-(CmBn)3M10Iso-Bn.ems

600.00	0.00027215
601.00	0.00039930
602.00	0.00047748
603.00	0.00039670
604.00	0.00031893
605.00	0.00035460
606.00	0.00039859
607.00	0.00045900
608.00	0.00041989
609.00	0.00044077
610.00	0.00063200
611.00	0.00069969
612.00	0.00060399
613.00	0.00092049
614.00	0.00064170
615.00	0.00087887
616.00	0.0011614
617.00	0.0011928
618.00	0.0013913
619.00	0.0017430
620.00	0.0018392
621.00	0.0024198
622.00	0.0026573
623.00	0.0028850
624.00	0.0033487
625.00	0.0040811
626.00	0.0041063
627.00	0.0046080
628.00	0.0048722
629.00	0.0052934
630.00	0.0056221
631.00	0.0059186
632.00	0.0059378
633.00	0.0060721
634.00	0.0057603
635.00	0.0056873
636.00	0.0052803
637.00	0.0053899
638.00	0.0052838
639.00	0.0046461
640.00	0.0046533
641.00	0.0040999
642.00	0.0041941
643.00	0.0040306
644.00	0.0033785
645.00	0.0035579
646.00	0.0035284
647.00	0.0032788
648.00	0.0029965
649.00	0.0032885
650.00	0.0030565
651.00	0.0032563
652.00	0.0033162
653.00	0.0035855
654.00	0.0034258
655.00	0.0037538
656.00	0.0042433
657.00	0.0044277
658.00	0.0044563
659.00	0.0053965
660.00	0.0060181
661.00	0.0065499
662.00	0.0077479
663.00	0.0093254
664.00	0.0097450
665.00	0.011508
666.00	0.013260
667.00	0.014006
668.00	0.016029
669.00	0.016600
670.00	0.019277
671.00	0.020790
672.00	0.021742
673.00	0.023379
674.00	0.024931
675.00	0.026806
676.00	0.028760
677.00	0.029422
678.00	0.031389
679.00	0.034511
680.00	0.037399
681.00	0.040966
682.00	0.045016
683.00	0.050370
684.00	0.057277
685.00	0.067870
686.00	0.079062
687.00	0.091190
688.00	0.10969
689.00	0.13276
690.00	0.15890
691.00	0.19205
692.00	0.23385
693.00	0.27978
694.00	0.33295
695.00	0.39378
696.00	0.46571
697.00	0.54254
698.00	0.62960
699.00	0.70263
700.00	0.78196
701.00	0.84912
702.00	0.91549
703.00	0.95892
704.00	0.98858
705.00	1.00000
706.00	0.97949
707.00	0.95085
708.00	0.90123
709.00	0.84452
710.00	0.77673
711.00	0.70423
712.00	0.62929
713.00	0.56855
714.00	0.50313
715.00	0.44670
716.00	0.39687
717.00	0.34553
718.00	0.31019
719.00	0.27282
720.00	0.24336
721.00	0.21974
722.00	0.19340
723.00	0.17860
724.00	0.15923
725.00	0.14602
726.00	0.13222
727.00	0.11957
728.00	0.10924
729.00	0.10054
730.00	0.093159
731.00	0.083307
732.00	0.080253
733.00	0.070956
734.00	0.069599
735.00	0.065752
736.00	0.061415
737.00	0.060455
738.00	0.057149
739.00	0.056314
740.00	0.057850
741.00	0.057486
742.00	0.054730
743.00	0.052630
744.00	0.056310
745.00	0.057919
746.00	0.054870
747.00	0.058749
748.00	0.055380
749.00	0.055882
750.00	0.055422
751.00	0.056619
752.00	0.056938
753.00	0.059539
754.00	0.055063
755.00	0.054810
756.00	0.056693
757.00	0.055834
758.00	0.055320
759.00	0.054138
760.00	0.053425
761.00	0.051852
762.00	0.051249
763.00	0.047630
764.00	0.047901
765.00	0.048255
766.00	0.047763
767.00	0.045554
768.00	0.047802
769.00	0.043865
770.00	0.045181
771.00	0.041753
772.00	0.044287
773.00	0.044275
774.00	0.043809
775.00	0.045520
776.00	0.044944
777.00	0.043963
778.00	0.045068
779.00	0.043169
780.00	0.045213
781.00	0.043963
782.00	0.044976
783.00	0.043596
784.00	0.043491
785.00	0.042637
786.00	0.042645
787.00	0.042415
788.00	0.043486
789.00	0.039035
790.00	0.037411
791.00	0.038242
792.00	0.038135
793.00	0.036926
794.00	0.033035
795.00	0.033186
796.00	0.032153
797.00	0.029872
798.00	0.026912
799.00	0.027740
800.00	0.027469
801.00	0.025335
