Wavelength (nm)	L329 ZnCIm (SE358).ems

600.00	0.00032251
600.20	0.00046347
600.40	0.00063180
600.60	0.00045608
600.80	0.00062707
601.00	0.00037582
601.20	0.00051895
601.40	0.00044658
601.60	0.00064695
601.80	0.00085299
602.00	0.00046886
602.20	0.00040824
602.40	0.00066970
602.60	0.00044161
602.80	0.00065661
603.00	0.00053929
603.20	0.00061201
603.40	0.00062689
603.60	0.00076829
603.80	0.00071483
604.00	0.00048689
604.20	0.00085637
604.40	0.00079597
604.60	0.00058530
604.80	0.00068806
605.00	0.00086081
605.20	0.00073545
605.40	0.00059956
605.60	0.00084018
605.80	0.00073902
606.00	0.00069187
606.20	0.00072710
606.40	0.00089669
606.60	0.00067618
606.80	0.0010100
607.00	0.00065178
607.20	0.00077654
607.40	0.00072067
607.60	0.00075136
607.80	0.0010300
608.00	0.00097867
608.20	0.00073952
608.40	0.00077179
608.60	0.00081486
608.80	0.00096851
609.00	0.00078402
609.20	0.00097771
609.40	0.0011500
609.60	0.00099125
609.80	0.0013900
610.00	0.00099889
610.20	0.0010200
610.40	0.0012300
610.60	0.0011800
610.80	0.0011700
611.00	0.0010400
611.20	0.0012600
611.40	0.0010800
611.60	0.0011600
611.80	0.0010900
612.00	0.0015800
612.20	0.0015600
612.40	0.0010200
612.60	0.0012700
612.80	0.0011600
613.00	0.0012600
613.20	0.0013100
613.40	0.0013700
613.60	0.0013100
613.80	0.0012700
614.00	0.0014000
614.20	0.0015500
614.40	0.0015000
614.60	0.0015900
614.80	0.0016000
615.00	0.0014400
615.20	0.0013500
615.40	0.0014800
615.60	0.0017700
615.80	0.0018100
616.00	0.0020100
616.20	0.0018000
616.40	0.0017200
616.60	0.0014700
616.80	0.0020500
617.00	0.0017300
617.20	0.0024400
617.40	0.0015900
617.60	0.0021100
617.80	0.0018000
618.00	0.0022000
618.20	0.0020100
618.40	0.0019200
618.60	0.0023300
618.80	0.0021700
619.00	0.0018300
619.20	0.0019400
619.40	0.0020700
619.60	0.0025300
619.80	0.0023600
620.00	0.0019400
620.20	0.0019400
620.40	0.0022400
620.60	0.0021700
620.80	0.0023800
621.00	0.0022700
621.20	0.0024100
621.40	0.0024000
621.60	0.0022700
621.80	0.0024300
622.00	0.0022600
622.20	0.0025000
622.40	0.0019100
622.60	0.0025000
622.80	0.0024100
623.00	0.0024000
623.20	0.0025500
623.40	0.0031000
623.60	0.0026400
623.80	0.0022000
624.00	0.0025800
624.20	0.0026800
624.40	0.0033200
624.60	0.0020400
624.80	0.0030000
625.00	0.0030900
625.20	0.0031100
625.40	0.0031400
625.60	0.0029500
625.80	0.0026700
626.00	0.0032100
626.20	0.0028600
626.40	0.0031300
626.60	0.0030100
626.80	0.0031800
627.00	0.0032900
627.20	0.0029400
627.40	0.0035600
627.60	0.0032700
627.80	0.0033100
628.00	0.0028600
628.20	0.0031700
628.40	0.0035600
628.60	0.0039500
628.80	0.0038700
629.00	0.0042700
629.20	0.0042900
629.40	0.0038500
629.60	0.0040500
629.80	0.0040000
630.00	0.0035500
630.20	0.0036000
630.40	0.0045800
630.60	0.0041300
630.80	0.0035300
631.00	0.0044300
631.20	0.0049700
631.40	0.0048300
631.60	0.0050900
631.80	0.0045700
632.00	0.0051300
632.20	0.0049500
632.40	0.0054100
632.60	0.0054600
632.80	0.0060500
633.00	0.0046900
633.20	0.0053800
633.40	0.0055000
633.60	0.0046900
633.80	0.0059100
634.00	0.0051700
634.20	0.0056300
634.40	0.0054900
634.60	0.0062500
634.80	0.0066500
635.00	0.0065200
635.20	0.0064400
635.40	0.0064300
635.60	0.0061800
635.80	0.0079400
636.00	0.0072200
636.20	0.0075600
636.40	0.0072700
636.60	0.0081100
636.80	0.0083000
637.00	0.0085500
637.20	0.0083100
637.40	0.0084900
637.60	0.0087800
637.80	0.0097400
638.00	0.0094600
638.20	0.010750
638.40	0.011390
638.60	0.010400
638.80	0.011180
639.00	0.011810
639.20	0.012960
639.40	0.013720
639.60	0.012960
639.80	0.012490
640.00	0.013530
640.20	0.015330
640.40	0.014950
640.60	0.015360
640.80	0.015760
641.00	0.016700
641.20	0.015870
641.40	0.018190
641.60	0.017830
641.80	0.018160
642.00	0.019220
642.20	0.020820
642.40	0.022960
642.60	0.021740
642.80	0.022930
643.00	0.023530
643.20	0.023550
643.40	0.023880
643.60	0.026130
643.80	0.026370
644.00	0.028310
644.20	0.029860
644.40	0.032060
644.60	0.031380
644.80	0.034470
645.00	0.033410
645.20	0.034820
645.40	0.038530
645.60	0.040370
645.80	0.040860
646.00	0.042330
646.20	0.043180
646.40	0.047030
646.60	0.048140
646.80	0.050890
647.00	0.054120
647.20	0.055430
647.40	0.059330
647.60	0.060480
647.80	0.061340
648.00	0.065730
648.20	0.067900
648.40	0.074210
648.60	0.075250
648.80	0.081330
649.00	0.087210
649.20	0.091710
649.40	0.096340
649.60	0.097370
649.80	0.10674
650.00	0.11362
650.20	0.11965
650.40	0.12480
650.60	0.12965
