Wavelength (nm)	267 FbC-M10I-Pr.ems
600.00	0.00067439
601.00	0.00062735
602.00	0.00082272
603.00	0.00073302
604.00	0.00061210
605.00	0.00063716
606.00	0.00079759
607.00	0.00081949
608.00	0.00089446
609.00	0.0010234
610.00	0.0014120
611.00	0.0014173
612.00	0.0012284
613.00	0.0011914
614.00	0.0010759
615.00	0.00099557
616.00	0.0012297
617.00	0.0011912
618.00	0.0012132
619.00	0.0012922
620.00	0.0012816
621.00	0.0015466
622.00	0.0014574
623.00	0.0015228
624.00	0.0016628
625.00	0.0015074
626.00	0.0016991
627.00	0.0018634
628.00	0.0016392
629.00	0.0017131
630.00	0.0017879
631.00	0.0021845
632.00	0.0020317
633.00	0.0017431
634.00	0.0021976
635.00	0.0017967
636.00	0.0020688
637.00	0.0023509
638.00	0.0021611
639.00	0.0023255
640.00	0.0021878
641.00	0.0024310
642.00	0.0025118
643.00	0.0027039
644.00	0.0028758
645.00	0.0033933
646.00	0.0034724
647.00	0.0039136
648.00	0.0042529
649.00	0.0048981
650.00	0.0052015
651.00	0.0061756
652.00	0.0069478
653.00	0.0076069
654.00	0.0083943
655.00	0.0090332
656.00	0.0092226
657.00	0.010211
658.00	0.011151
659.00	0.011937
660.00	0.011355
661.00	0.013382
662.00	0.013920
663.00	0.015896
664.00	0.019103
665.00	0.020363
666.00	0.023829
667.00	0.027735
668.00	0.032393
669.00	0.037629
670.00	0.044239
671.00	0.051964
672.00	0.062857
673.00	0.077202
674.00	0.094097
675.00	0.11960
676.00	0.15561
677.00	0.19695
678.00	0.25613
679.00	0.32208
680.00	0.40633
681.00	0.49505
682.00	0.60134
683.00	0.69939
684.00	0.80111
685.00	0.87653
686.00	0.94218
687.00	0.98366
688.00	1.0000
689.00	0.98634
690.00	0.94966
691.00	0.90567
692.00	0.83759
693.00	0.76885
694.00	0.69287
695.00	0.62552
696.00	0.55384
697.00	0.48876
698.00	0.43441
699.00	0.38565
700.00	0.33993
701.00	0.30277
702.00	0.26949
703.00	0.24175
704.00	0.21428
705.00	0.19351
706.00	0.17296
707.00	0.15763
708.00	0.14149
709.00	0.12702
710.00	0.11543
711.00	0.10666
712.00	0.097570
713.00	0.092469
714.00	0.086800
715.00	0.082006
716.00	0.080725
717.00	0.079830
718.00	0.082173
719.00	0.080763
720.00	0.081330
721.00	0.082111
722.00	0.081508
723.00	0.085002
724.00	0.085894
725.00	0.084348
726.00	0.084932
727.00	0.085352
728.00	0.084963
729.00	0.084803
730.00	0.087418
731.00	0.087258
732.00	0.089540
733.00	0.090954
734.00	0.096435
735.00	0.096726
736.00	0.096536
737.00	0.097647
738.00	0.10077
739.00	0.10392
740.00	0.098352
741.00	0.098593
742.00	0.098246
743.00	0.095965
744.00	0.094163
745.00	0.090746
746.00	0.087952
747.00	0.083104
748.00	0.082923
749.00	0.078498
750.00	0.075372
751.00	0.076442
752.00	0.071986
753.00	0.071038
754.00	0.069359
755.00	0.065298
756.00	0.066255
757.00	0.063285
758.00	0.061477
759.00	0.061270
760.00	0.063566
761.00	0.058845
762.00	0.059025
763.00	0.059058
764.00	0.060033
765.00	0.057492
766.00	0.055694
767.00	0.055479
768.00	0.054281
769.00	0.053831
770.00	0.053387
771.00	0.053895
772.00	0.050046
773.00	0.048854
774.00	0.047628
775.00	0.045173
776.00	0.041534
777.00	0.040990
778.00	0.037676
779.00	0.036610
780.00	0.034591
781.00	0.032233
782.00	0.031081
783.00	0.030493
784.00	0.026871
785.00	0.025986
786.00	0.025001
787.00	0.023372
788.00	0.022236
789.00	0.020417
790.00	0.019941
791.00	0.019613
792.00	0.018649
793.00	0.019676
794.00	0.018049
795.00	0.017673
796.00	0.018493
797.00	0.017170
798.00	0.018436
799.00	0.016350
800.00	0.015955
