Wavelength (nm)	368 ZnC12-PEG6 (SE496).abs
300.00	0.080490
301.00	0.080210
302.00	0.079720
303.00	0.079360
304.00	0.078980
305.00	0.078740
306.00	0.078370
307.00	0.077920
308.00	0.077440
309.00	0.076870
310.00	0.076300
311.00	0.075730
312.00	0.075170
313.00	0.074590
314.00	0.074190
315.00	0.073790
316.00	0.073460
317.00	0.073080
318.00	0.072810
319.00	0.072520
320.00	0.072230
321.00	0.071910
322.00	0.071610
323.00	0.071200
324.00	0.070770
325.00	0.070340
326.00	0.069810
327.00	0.069320
328.00	0.068910
329.00	0.068490
330.00	0.068020
331.00	0.067650
332.00	0.067290
333.00	0.066970
334.00	0.066690
335.00	0.066430
336.00	0.066210
337.00	0.066050
338.00	0.065920
339.00	0.065750
340.00	0.065830
341.00	0.065830
342.00	0.065950
343.00	0.066080
344.00	0.066330
345.00	0.066710
346.00	0.067000
347.00	0.067500
348.00	0.067940
349.00	0.068540
350.00	0.069180
351.00	0.069750
352.00	0.070450
353.00	0.071150
354.00	0.071850
355.00	0.072570
356.00	0.073250
357.00	0.073870
358.00	0.074470
359.00	0.074870
360.00	0.075340
361.00	0.075990
362.00	0.076760
363.00	0.077460
364.00	0.078320
365.00	0.079220
366.00	0.080210
367.00	0.081360
368.00	0.082520
369.00	0.084130
370.00	0.085600
371.00	0.087380
372.00	0.089160
373.00	0.091240
374.00	0.093470
375.00	0.096090
376.00	0.099270
377.00	0.10274
378.00	0.10714
379.00	0.11239
380.00	0.11843
381.00	0.12630
382.00	0.13564
383.00	0.14610
384.00	0.15800
385.00	0.17143
386.00	0.18629
387.00	0.20159
388.00	0.21752
389.00	0.23257
390.00	0.24762
391.00	0.26115
392.00	0.27306
393.00	0.28260
394.00	0.29068
395.00	0.29771
396.00	0.30516
397.00	0.31416
398.00	0.32495
399.00	0.33899
400.00	0.35742
401.00	0.38285
402.00	0.41523
403.00	0.45552
404.00	0.50428
405.00	0.55957
406.00	0.62271
407.00	0.69054
408.00	0.77001
409.00	0.84390
410.00	0.91447
411.00	0.96733
412.00	0.99711
413.00	1.0000
414.00	0.97459
415.00	0.92648
416.00	0.86498
417.00	0.79034
418.00	0.71062
419.00	0.63310
420.00	0.55459
421.00	0.48330
422.00	0.42000
423.00	0.36239
424.00	0.31212
425.00	0.26676
426.00	0.22772
427.00	0.19289
428.00	0.16653
429.00	0.14189
430.00	0.12153
431.00	0.10522
432.00	0.091270
433.00	0.078880
434.00	0.068860
435.00	0.060900
436.00	0.054060
437.00	0.048320
438.00	0.043590
439.00	0.039540
440.00	0.036260
441.00	0.033600
442.00	0.031300
443.00	0.029450
444.00	0.027760
445.00	0.026460
446.00	0.025290
447.00	0.024160
448.00	0.023330
449.00	0.022630
450.00	0.021880
451.00	0.021300
452.00	0.020780
453.00	0.020230
454.00	0.019740
455.00	0.019400
456.00	0.019030
457.00	0.018600
458.00	0.018280
459.00	0.018000
460.00	0.017610
461.00	0.017400
462.00	0.017160
463.00	0.016980
464.00	0.016850
465.00	0.016710
466.00	0.016510
467.00	0.016420
468.00	0.016300
469.00	0.016260
470.00	0.016240
471.00	0.016380
472.00	0.016260
473.00	0.016280
474.00	0.016230
475.00	0.016180
476.00	0.016180
477.00	0.016280
478.00	0.016250
479.00	0.016230
480.00	0.016100
481.00	0.016040
482.00	0.016040
483.00	0.016030
484.00	0.015900
485.00	0.016280
486.00	0.016010
487.00	0.015580
488.00	0.015640
489.00	0.015920
490.00	0.016070
491.00	0.015920
492.00	0.016000
493.00	0.016300
494.00	0.016530
495.00	0.016880
496.00	0.017160
497.00	0.017460
498.00	0.017810
499.00	0.018320
500.00	0.018720
501.00	0.019330
502.00	0.019960
