Wavelength (nm)	ZnC PEG12 H2O flu
550.00	0.00074175
551.00	0.00084639
552.00	0.00078919
553.00	0.00074653
554.00	0.00069627
555.00	0.00076456
556.00	0.0010638
557.00	0.00050690
558.00	0.0010234
559.00	0.0010181
560.00	0.00086272
561.00	0.00063969
562.00	0.00090599
563.00	0.0012876
564.00	0.0014208
565.00	0.0012805
566.00	0.0010245
567.00	0.0012195
568.00	0.0012618
569.00	0.0016671
570.00	0.0015406
571.00	0.0014762
572.00	0.0018324
573.00	0.0019329
574.00	0.0017198
575.00	0.0028136
576.00	0.0020247
577.00	0.0022937
578.00	0.0032576
579.00	0.0032929
580.00	0.0034407
581.00	0.0042608
582.00	0.0044972
583.00	0.0051334
584.00	0.0052772
585.00	0.0054712
586.00	0.0060368
587.00	0.0065077
588.00	0.0070653
589.00	0.0081353
590.00	0.0088291
591.00	0.010038
592.00	0.011494
593.00	0.014108
594.00	0.016133
595.00	0.020033
596.00	0.023841
597.00	0.029550
598.00	0.037604
599.00	0.047952
600.00	0.060854
601.00	0.075816
602.00	0.097298
603.00	0.12173
604.00	0.15488
605.00	0.19983
606.00	0.24313
607.00	0.30015
608.00	0.36118
609.00	0.43489
610.00	0.50917
611.00	0.58938
612.00	0.67544
613.00	0.75760
614.00	0.83915
615.00	0.90150
616.00	0.95003
617.00	0.98817
618.00	1.0000
619.00	0.99996
620.00	0.99635
621.00	0.97288
622.00	0.92787
623.00	0.86961
624.00	0.81056
625.00	0.74849
626.00	0.68159
627.00	0.61676
628.00	0.55676
629.00	0.50589
630.00	0.45239
631.00	0.41248
632.00	0.37756
633.00	0.34103
634.00	0.31775
635.00	0.30169
636.00	0.28577
637.00	0.26985
638.00	0.26497
639.00	0.25598
640.00	0.25334
641.00	0.24976
642.00	0.24753
643.00	0.24566
644.00	0.23804
645.00	0.23322
646.00	0.23041
647.00	0.22029
648.00	0.21227
649.00	0.20433
650.00	0.19338
651.00	0.18756
652.00	0.18363
653.00	0.17904
654.00	0.17254
655.00	0.16960
656.00	0.16751
657.00	0.16880
658.00	0.16446
659.00	0.16211
660.00	0.16053
661.00	0.16092
662.00	0.16406
663.00	0.16401
664.00	0.16297
665.00	0.16474
666.00	0.16553
667.00	0.16708
668.00	0.16750
669.00	0.17214
670.00	0.16523
671.00	0.16932
672.00	0.16933
673.00	0.17145
674.00	0.16461
675.00	0.16729
676.00	0.16267
677.00	0.15816
678.00	0.15809
679.00	0.14836
680.00	0.14802
681.00	0.14389
682.00	0.13929
683.00	0.13244
684.00	0.12532
685.00	0.12137
686.00	0.11233
687.00	0.10555
688.00	0.098678
689.00	0.094524
690.00	0.086766
691.00	0.081423
692.00	0.076589
693.00	0.072164
694.00	0.068401
695.00	0.062996
696.00	0.057933
697.00	0.055442
698.00	0.055006
699.00	0.050744
700.00	0.047200
701.00	0.044365
702.00	0.041788
703.00	0.038551
704.00	0.039190
705.00	0.035864
706.00	0.034383
707.00	0.035060
708.00	0.032969
709.00	0.032399
710.00	0.029577
711.00	0.031194
712.00	0.031283
713.00	0.026810
714.00	0.026666
715.00	0.027212
716.00	0.026179
717.00	0.026467
718.00	0.025860
719.00	0.025005
720.00	0.025096
721.00	0.023427
722.00	0.022939
723.00	0.021896
724.00	0.019432
725.00	0.023063
726.00	0.020445
727.00	0.019632
728.00	0.020250
729.00	0.019307
730.00	0.018012
731.00	0.020162
732.00	0.020067
733.00	0.017432
734.00	0.018207
735.00	0.018822
736.00	0.019097
737.00	0.018983
738.00	0.016524
739.00	0.016072
740.00	0.018034
741.00	0.018663
742.00	0.019377
743.00	0.016364
744.00	0.016363
745.00	0.015108
746.00	0.016821
747.00	0.016412
748.00	0.015748
749.00	0.015024
750.00	0.014239
751.00	0.013367
752.00	0.014118
753.00	0.013899
754.00	0.014753
755.00	0.013041
756.00	0.015314
757.00	0.012980
758.00	0.013215
759.00	0.013680
760.00	0.012950
761.00	0.014209
762.00	0.013932
763.00	0.012071
764.00	0.012580
765.00	0.012220
766.00	0.014752
767.00	0.011372
768.00	0.012537
769.00	0.010836
770.00	0.011400
771.00	0.010124
772.00	0.010490
773.00	0.012179
774.00	0.0098522
775.00	0.011027
776.00	0.011734
777.00	0.010478
778.00	0.011798
779.00	0.014597
780.00	0.011461
781.00	0.012396
782.00	0.010594
783.00	0.013494
784.00	0.013298
785.00	0.0099990
786.00	0.011128
787.00	0.011975
788.00	0.010146
789.00	0.011897
790.00	0.013247
791.00	0.0094707
792.00	0.013701
793.00	0.011406
794.00	0.011833
795.00	0.013537
796.00	0.014309
797.00	0.014639
798.00	0.015105
799.00	0.012606
800.00	0.014122
