Wavelength (nm)	368 H2C15-PEG6 (SE502).ems
550.00	0.00040724
550.50	0.00047500
551.00	0.00063332
551.50	0.00013896
552.00	0.00049141
552.50	0.00048825
553.00	0.00047210
553.50	0.00039098
554.00	0.00036818
554.50	0.00015013
555.00	0.00062206
555.50	0.00063202
556.00	0.00017852
556.50	0.00041673
557.00	0.00055076
557.50	0.00060650
558.00	0.00076068
558.50	0.00021957
559.00	0.00057729
559.50	0.00042282
560.00	0.00022194
560.50	0.00022647
561.00	0.00038950
561.50	0.00040751
562.00	0.00041894
562.50	0.00050338
563.00	0.00049503
563.50	0.00035350
564.00	0.00016484
564.50	0.00036955
565.00	0.00026723
565.50	0.00024496
566.00	0.00048428
566.50	0.00058321
567.00	0.00046034
567.50	0.00029662
568.00	0.00036192
568.50	0.00056941
569.00	0.00041859
569.50	0.00080316
570.00	0.00039404
570.50	2.5134e-05
571.00	0.00036393
571.50	0.00057415
572.00	0.00056615
572.50	0.00025651
573.00	0.00023414
573.50	7.4102e-05
574.00	0.00018223
574.50	0.00062897
575.00	0.00014370
575.50	0.00026632
576.00	0.00022975
576.50	0.00040854
577.00	0.00035116
577.50	0.00050982
578.00	0.00055721
578.50	0.00024070
579.00	0.00044904
579.50	0.00043328
580.00	0.00024153
580.50	0.00039565
581.00	0.00045853
581.50	0.00049332
582.00	0.00023727
582.50	0.00082639
583.00	0.00051288
583.50	0.00014092
584.00	0.00044005
584.50	0.00090536
585.00	0.00044556
585.50	9.9044e-05
586.00	0.00099219
586.50	0.00036331
587.00	0.00073171
587.50	0.00049898
588.00	0.00091278
588.50	0.00050443
589.00	0.00026243
589.50	0.00052448
590.00	0.00085358
590.50	0.00044256
591.00	0.00081806
591.50	0.00061179
592.00	0.00088571
592.50	0.00081213
593.00	0.0014100
593.50	0.0010500
594.00	0.0013100
594.50	0.0010500
595.00	0.00089638
595.50	0.0010800
596.00	0.0013000
596.50	0.0012400
597.00	0.00097361
597.50	0.0016500
598.00	0.0015900
598.50	0.0015500
599.00	0.0010500
599.50	0.0018500
600.00	0.0011000
600.50	0.0015500
601.00	0.0016900
601.50	0.0020000
602.00	0.0022700
602.50	0.0017100
603.00	0.0019300
603.50	0.0026400
604.00	0.0026200
604.50	0.0025900
605.00	0.0030600
605.50	0.0031800
606.00	0.0026500
606.50	0.0034400
607.00	0.0040600
607.50	0.0031600
608.00	0.0037300
608.50	0.0040900
609.00	0.0052300
609.50	0.0048200
610.00	0.0055000
610.50	0.0054600
611.00	0.0060900
611.50	0.0063800
612.00	0.0064600
612.50	0.0073900
613.00	0.0082300
613.50	0.0081600
614.00	0.0091600
614.50	0.010040
615.00	0.010860
615.50	0.011640
616.00	0.012230
616.50	0.013450
617.00	0.015420
617.50	0.016320
618.00	0.017660
618.50	0.018020
619.00	0.020640
619.50	0.021750
620.00	0.023680
620.50	0.025710
621.00	0.028640
621.50	0.029880
622.00	0.032720
622.50	0.035080
623.00	0.036700
623.50	0.039820
624.00	0.043950
624.50	0.047160
625.00	0.050670
625.50	0.053550
626.00	0.056580
626.50	0.060830
627.00	0.062790
627.50	0.068700
628.00	0.072750
628.50	0.076970
629.00	0.080350
629.50	0.085330
630.00	0.088030
630.50	0.092790
631.00	0.098660
631.50	0.10385
632.00	0.10840
632.50	0.11389
633.00	0.11778
633.50	0.12624
634.00	0.12958
634.50	0.13990
635.00	0.14554
635.50	0.15527
636.00	0.16479
636.50	0.17203
637.00	0.18132
637.50	0.19319
638.00	0.20389
638.50	0.21766
639.00	0.23113
639.50	0.25226
640.00	0.26508
640.50	0.28606
641.00	0.30372
641.50	0.33385
642.00	0.35504
642.50	0.38514
643.00	0.41401
643.50	0.44185
644.00	0.47172
644.50	0.50436
645.00	0.54184
