Wavelength (nm)	Toly A (2017)
300.00	0.061429
301.00	0.060588
302.00	0.059267
303.00	0.058022
304.00	0.056179
305.00	0.054087
306.00	0.051575
307.00	0.048095
308.00	0.044670
309.00	0.041546
310.00	0.038191
311.00	0.034552
312.00	0.031554
313.00	0.029043
314.00	0.027317
315.00	0.025687
316.00	0.024813
317.00	0.024060
318.00	0.023564
319.00	0.023509
320.00	0.023564
321.00	0.024099
322.00	0.024333
323.00	0.024809
324.00	0.025219
325.00	0.025742
326.00	0.026320
327.00	0.027005
328.00	0.027776
329.00	0.028144
330.00	0.028907
331.00	0.029463
332.00	0.029934
333.00	0.030620
334.00	0.030995
335.00	0.031544
336.00	0.032131
337.00	0.033015
338.00	0.033902
339.00	0.034686
340.00	0.035760
341.00	0.036909
342.00	0.038432
343.00	0.039590
344.00	0.041248
345.00	0.043015
346.00	0.044857
347.00	0.047199
348.00	0.049644
349.00	0.051276
350.00	0.054321
351.00	0.056762
352.00	0.060300
353.00	0.063386
354.00	0.065995
355.00	0.069075
356.00	0.072700
357.00	0.077001
358.00	0.081239
359.00	0.084572
360.00	0.089708
361.00	0.095152
362.00	0.10164
363.00	0.10799
364.00	0.11465
365.00	0.12450
366.00	0.13368
367.00	0.14596
368.00	0.15824
369.00	0.17110
370.00	0.18414
371.00	0.19760
372.00	0.21267
373.00	0.22674
374.00	0.24085
375.00	0.25262
376.00	0.26507
377.00	0.28008
378.00	0.29254
379.00	0.30465
380.00	0.31700
381.00	0.33090
382.00	0.34842
383.00	0.36568
384.00	0.38392
385.00	0.40343
386.00	0.42711
387.00	0.45393
388.00	0.49306
389.00	0.53080
390.00	0.56447
391.00	0.60354
392.00	0.64190
393.00	0.67649
394.00	0.71329
395.00	0.74316
396.00	0.77438
397.00	0.81345
398.00	0.85917
399.00	0.91047
400.00	0.95448
401.00	0.98590
402.00	0.99860
403.00	1.0000
404.00	0.97780
405.00	0.93702
406.00	0.88262
407.00	0.81277
408.00	0.72743
409.00	0.62003
410.00	0.52054
411.00	0.44584
412.00	0.36091
413.00	0.29470
414.00	0.23842
415.00	0.18867
416.00	0.15713
417.00	0.13356
418.00	0.11734
419.00	0.098967
420.00	0.085374
421.00	0.073581
422.00	0.063641
423.00	0.054324
424.00	0.044421
425.00	0.035227
426.00	0.028472
427.00	0.023191
428.00	0.018647
429.00	0.014836
430.00	0.011624
431.00	0.0090964
432.00	0.0070332
433.00	0.0058232
434.00	0.0047490
435.00	0.0037043
436.00	0.0030242
437.00	0.0026436
438.00	0.0022955
439.00	0.0020083
440.00	0.0019873
441.00	0.0019771
442.00	0.0019365
443.00	0.0020177
444.00	0.0019991
445.00	0.0022118
446.00	0.0024014
447.00	0.0025040
448.00	0.0025762
449.00	0.0027478
450.00	0.0029388
451.00	0.0029371
452.00	0.0031754
453.00	0.0033144
454.00	0.0034182
455.00	0.0038083
456.00	0.0039470
457.00	0.0041085
458.00	0.0043384
459.00	0.0046948
460.00	0.0050086
461.00	0.0052381
462.00	0.0057072
463.00	0.0061708
464.00	0.0067911
465.00	0.0071246
466.00	0.0076939
467.00	0.0081778
468.00	0.0092116
469.00	0.0098413
470.00	0.010741
471.00	0.011410
472.00	0.012201
473.00	0.013179
474.00	0.013879
475.00	0.014778
476.00	0.015405
477.00	0.015938
478.00	0.016389
479.00	0.016807
480.00	0.017165
481.00	0.017274
482.00	0.017314
483.00	0.017230
484.00	0.017187
485.00	0.016941
486.00	0.016955
487.00	0.016732
488.00	0.016547
489.00	0.016833
490.00	0.017006
491.00	0.017406
492.00	0.017772
493.00	0.018276
494.00	0.019155
495.00	0.020257
496.00	0.021423
497.00	0.022665
498.00	0.023795
499.00	0.024932
500.00	0.026016
501.00	0.026984
502.00	0.028080
503.00	0.028773
504.00	0.028933
505.00	0.029248
506.00	0.028991
507.00	0.028671
508.00	0.028066
509.00	0.027166
510.00	0.026028
511.00	0.024757
512.00	0.023523
513.00	0.022213
514.00	0.020779
515.00	0.019537
516.00	0.018248
517.00	0.016939
518.00	0.015881
519.00	0.014705
520.00	0.013730
521.00	0.012868
522.00	0.012162
523.00	0.011525
524.00	0.011005
525.00	0.010577
526.00	0.010295
527.00	0.010141
528.00	0.010330
529.00	0.010557
530.00	0.010772
531.00	0.011357
532.00	0.012377
533.00	0.013157
534.00	0.014400
535.00	0.015505
536.00	0.017248
537.00	0.018932
538.00	0.020302
539.00	0.021811
540.00	0.023039
541.00	0.024455
542.00	0.025673
543.00	0.026949
544.00	0.027913
545.00	0.028663
546.00	0.029460
547.00	0.029710
548.00	0.029935
549.00	0.029988
550.00	0.030001
551.00	0.029599
552.00	0.028636
553.00	0.027340
554.00	0.025699
555.00	0.024000
556.00	0.022219
557.00	0.020869
558.00	0.019730
559.00	0.018621
560.00	0.017270
561.00	0.016104
562.00	0.015037
563.00	0.014252
564.00	0.013821
565.00	0.013590
566.00	0.013651
567.00	0.013294
568.00	0.012760
569.00	0.012044
570.00	0.011261
571.00	0.010940
572.00	0.010178
573.00	0.010050
574.00	0.0095210
575.00	0.0090736
576.00	0.0089619
577.00	0.0085902
578.00	0.0075863
579.00	0.0073786
580.00	0.0070991
581.00	0.0065466
582.00	0.0063442
583.00	0.0066589
584.00	0.0064511
585.00	0.0065028
586.00	0.0067316
587.00	0.0064695
588.00	0.0060865
589.00	0.0057642
590.00	0.0058302
591.00	0.0058072
592.00	0.0056175
593.00	0.0053381
594.00	0.0052879
595.00	0.0051732
596.00	0.0052327
597.00	0.0050797
598.00	0.0050389
599.00	0.0051523
600.00	0.0047781
601.00	0.0048463
602.00	0.0052796
603.00	0.0054680
604.00	0.0060510
605.00	0.0066169
606.00	0.0075602
607.00	0.0088312
608.00	0.010975
609.00	0.014096
610.00	0.018629
611.00	0.023024
612.00	0.026426
