Wavelength (nm)	A07 abs1 e
235.00	28.897
236.00	20.489
237.00	16.310
238.00	14.592
239.00	14.304
240.00	15.002
241.00	16.247
242.00	17.677
243.00	19.539
244.00	21.872
245.00	24.309
246.00	26.919
247.00	30.176
248.00	34.197
249.00	38.209
250.00	42.353
251.00	47.464
252.00	52.902
253.00	57.909
254.00	63.098
255.00	69.803
256.00	77.289
257.00	83.940
258.00	91.492
259.00	102.08
260.00	113.39
261.00	121.16
262.00	126.83
263.00	134.99
264.00	144.96
265.00	152.07
266.00	157.46
267.00	169.99
268.00	190.30
269.00	205.44
270.00	205.01
271.00	196.97
272.00	192.54
273.00	191.62
274.00	186.49
275.00	178.52
276.00	180.85
277.00	198.16
278.00	214.00
279.00	205.93
280.00	170.14
281.00	122.68
282.00	79.688
283.00	48.594
284.00	29.092
285.00	17.567
286.00	10.784
287.00	6.7295
288.00	4.3199
289.00	2.8456
290.00	1.9492
291.00	1.4042
292.00	1.0511
293.00	0.79750
294.00	0.66871
295.00	0.57528
296.00	0.49179
297.00	0.40672
298.00	0.35837
299.00	0.36436
300.00	0.33860
