Wavelength (nm)	A16 abs e
210.00	3647.6
211.00	3258.4
212.00	3029.1
213.00	2906.5
214.00	2864.2
215.00	2882.9
216.00	2958.7
217.00	3078.0
218.00	3251.5
219.00	3470.6
220.00	3733.6
221.00	4036.5
222.00	4376.7
223.00	4745.7
224.00	5141.7
225.00	5549.5
226.00	5971.1
227.00	6382.8
228.00	6785.4
229.00	7144.9
230.00	7482.3
231.00	7777.7
232.00	8007.5
233.00	8178.9
234.00	8273.5
235.00	8271.6
236.00	8185.9
237.00	8011.4
238.00	7748.2
239.00	7409.9
240.00	7000.2
241.00	6522.6
242.00	5992.5
243.00	5407.0
244.00	4776.3
245.00	4139.9
246.00	3528.3
247.00	2985.1
248.00	2519.0
249.00	2134.6
250.00	1813.4
251.00	1552.0
252.00	1340.0
253.00	1163.0
254.00	1019.5
255.00	900.79
256.00	807.19
257.00	733.74
258.00	675.27
259.00	632.24
260.00	602.15
261.00	584.51
262.00	577.14
263.00	580.21
264.00	593.14
265.00	610.45
266.00	638.20
267.00	674.50
268.00	710.21
269.00	757.35
270.00	814.67
271.00	866.93
272.00	922.42
273.00	998.25
274.00	1064.3
275.00	1118.3
276.00	1197.3
277.00	1282.3
278.00	1333.1
279.00	1392.3
280.00	1493.3
281.00	1555.9
282.00	1564.5
283.00	1618.5
284.00	1695.7
285.00	1691.1
286.00	1659.0
287.00	1709.6
288.00	1760.0
289.00	1696.2
290.00	1617.9
291.00	1612.0
292.00	1563.1
293.00	1400.4
294.00	1263.8
295.00	1219.5
296.00	1174.5
297.00	1063.3
298.00	947.36
299.00	854.60
300.00	712.10
301.00	534.84
302.00	385.84
303.00	280.96
304.00	204.19
305.00	144.92
306.00	102.17
307.00	74.795
308.00	58.296
309.00	46.191
310.00	39.414
311.00	35.054
312.00	31.018
313.00	27.893
314.00	25.930
315.00	25.602
316.00	24.417
317.00	22.404
318.00	23.403
319.00	21.714
320.00	21.958
321.00	23.662
322.00	22.332
323.00	20.133
324.00	18.905
325.00	19.561
326.00	19.050
327.00	19.378
328.00	19.546
329.00	18.231
330.00	17.541
331.00	17.945
332.00	17.343
333.00	16.661
334.00	16.790
335.00	17.606
336.00	16.763
337.00	16.245
338.00	16.047
339.00	16.100
340.00	14.953
341.00	16.744
342.00	15.734
343.00	15.060
344.00	14.225
345.00	14.637
346.00	15.159
347.00	15.872
348.00	14.480
349.00	14.259
350.00	14.282
