Wavelength (nm)	B04 abs N	B04 abs e
270.00	0.19772	12358
271.00	0.21504	13440
272.00	0.23322	14576
273.00	0.24867	15542
274.00	0.26461	16538
275.00	0.28014	17509
276.00	0.29744	18590
277.00	0.31577	19736
278.00	0.33383	20865
279.00	0.35375	22109
280.00	0.37439	23400
281.00	0.39563	24727
282.00	0.41723	26077
283.00	0.43999	27499
284.00	0.46277	28923
285.00	0.48582	30364
286.00	0.51033	31895
287.00	0.53527	33454
288.00	0.55976	34985
289.00	0.58576	36610
290.00	0.61067	38167
291.00	0.63659	39787
292.00	0.66235	41397
293.00	0.68825	43016
294.00	0.71363	44602
295.00	0.73938	46211
296.00	0.76410	47756
297.00	0.78771	49232
298.00	0.81234	50771
299.00	0.83535	52209
300.00	0.85669	53543
301.00	0.87860	54913
302.00	0.89895	56184
303.00	0.91595	57247
304.00	0.93302	58314
305.00	0.94699	59187
306.00	0.95939	59962
307.00	0.97182	60739
308.00	0.98289	61431
309.00	0.98955	61847
310.00	0.99557	62223
311.00	0.99942	62464
312.00	1.0000	62500
313.00	0.99920	62450
314.00	0.99597	62248
315.00	0.99186	61991
316.00	0.98276	61422
317.00	0.97307	60817
318.00	0.96008	60005
319.00	0.94696	59185
320.00	0.93073	58171
321.00	0.91222	57013
322.00	0.89310	55819
323.00	0.86981	54363
324.00	0.84662	52914
325.00	0.82150	51344
326.00	0.79588	49743
327.00	0.76834	48021
328.00	0.73971	46232
329.00	0.71066	44416
330.00	0.68009	42506
331.00	0.64926	40579
332.00	0.61833	38646
333.00	0.58704	36690
334.00	0.55532	34707
335.00	0.52444	32778
336.00	0.49313	30821
337.00	0.46151	28845
338.00	0.43107	26942
339.00	0.40234	25146
340.00	0.37319	23324
341.00	0.34529	21581
342.00	0.31814	19884
343.00	0.29205	18253
344.00	0.26662	16664
345.00	0.24326	15204
346.00	0.21987	13742
347.00	0.19855	12409
348.00	0.17885	11178
349.00	0.15980	9987.4
350.00	0.14222	8888.9
351.00	0.12593	7870.7
352.00	0.11039	6899.6
353.00	0.096942	6058.9
354.00	0.084461	5278.8
355.00	0.073015	4563.5
356.00	0.062525	3907.8
357.00	0.054109	3381.8
358.00	0.046423	2901.4
359.00	0.039117	2444.8
360.00	0.033004	2062.7
361.00	0.027671	1729.4
362.00	0.022663	1416.4
363.00	0.018490	1155.6
364.00	0.014523	907.71
365.00	0.012070	754.35
366.00	0.0091977	574.86
367.00	0.0075609	472.55
368.00	0.0057237	357.73
369.00	0.0046515	290.72
370.00	0.0032548	203.43
371.00	0.0031445	196.53
372.00	0.0021648	135.30
373.00	0.0013802	86.262
374.00	0.00036725	22.953
375.00	0.00055099	34.437
376.00	0.0019922	124.51
377.00	0.0011522	72.011
378.00	0.0013248	82.800
379.00	0.0015654	97.835
380.00	0.0014291	89.318
381.00	0.0014355	89.719
382.00	0.0015164	94.776
383.00	0.00093457	58.411
384.00	0.00070661	44.163
385.00	0.0014997	93.731
386.00	0.0016319	102.00
387.00	0.0014677	91.730
388.00	0.0017555	109.72
389.00	0.00071146	44.466
390.00	0.0014052	87.826
391.00	0.00094849	59.281
392.00	0.0013353	83.456
393.00	0.0016088	100.55
394.00	0.00069074	43.171
395.00	0.00068816	43.010
396.00	0.00083299	52.062
397.00	0.00081409	50.880
398.00	0.00086132	53.832
399.00	0.00096813	60.508
400.00	0.00042532	26.582
