Wavelength (nm)	B11 abs e
225.00	14137
226.00	13818
227.00	13647
228.00	13623
229.00	13724
230.00	13905
231.00	14181
232.00	14518
233.00	14912
234.00	15327
235.00	15760
236.00	16180
237.00	16588
238.00	16991
239.00	17364
240.00	17701
241.00	18001
242.00	18244
243.00	18428
244.00	18550
245.00	18600
246.00	18595
247.00	18535
248.00	18419
249.00	18276
250.00	18091
251.00	17875
252.00	17653
253.00	17416
254.00	17159
255.00	16921
256.00	16672
257.00	16429
258.00	16220
259.00	16038
260.00	15890
261.00	15751
262.00	15658
263.00	15554
264.00	15428
265.00	15330
266.00	15259
267.00	15213
268.00	15127
269.00	15001
270.00	14835
271.00	14613
272.00	14369
273.00	14106
274.00	13812
275.00	13491
276.00	13128
277.00	12708
278.00	12238
279.00	11712
280.00	11159
281.00	10590
282.00	10017
283.00	9442.8
284.00	8869.2
285.00	8303.5
286.00	7745.0
287.00	7214.0
288.00	6709.0
289.00	6232.6
290.00	5780.5
291.00	5379.5
292.00	5019.1
293.00	4693.3
294.00	4407.3
295.00	4164.9
296.00	3962.2
297.00	3789.9
298.00	3650.6
299.00	3549.6
300.00	3483.8
301.00	3436.6
302.00	3421.4
303.00	3418.2
304.00	3443.0
305.00	3477.6
306.00	3533.7
307.00	3600.9
308.00	3686.3
309.00	3783.5
310.00	3885.7
311.00	4000.3
312.00	4118.0
313.00	4241.1
314.00	4367.7
315.00	4505.8
316.00	4636.6
317.00	4779.7
318.00	4912.6
319.00	5061.8
320.00	5208.3
321.00	5343.5
322.00	5483.4
323.00	5617.6
324.00	5743.0
325.00	5869.3
326.00	5997.8
327.00	6122.1
328.00	6219.6
329.00	6321.9
330.00	6425.9
331.00	6514.1
332.00	6597.5
333.00	6665.0
334.00	6729.3
335.00	6785.1
336.00	6830.5
337.00	6866.8
338.00	6894.5
339.00	6905.4
340.00	6913.5
341.00	6905.9
342.00	6897.5
343.00	6869.1
344.00	6836.3
345.00	6788.7
346.00	6730.7
347.00	6670.5
348.00	6584.6
349.00	6506.4
350.00	6408.6
351.00	6303.1
352.00	6194.7
353.00	6079.5
354.00	5956.2
355.00	5818.2
356.00	5686.1
357.00	5545.3
358.00	5404.9
359.00	5249.5
360.00	5100.4
361.00	4937.7
362.00	4767.7
363.00	4590.0
364.00	4421.3
365.00	4256.8
366.00	4095.5
367.00	3922.1
368.00	3740.4
369.00	3558.8
370.00	3406.8
371.00	3229.1
372.00	3064.8
373.00	2901.5
374.00	2743.8
375.00	2591.5
376.00	2441.5
377.00	2308.8
378.00	2176.4
379.00	2034.2
380.00	1908.8
381.00	1786.9
382.00	1667.5
383.00	1540.2
384.00	1439.9
385.00	1335.9
386.00	1227.1
387.00	1129.1
388.00	1040.7
389.00	952.05
390.00	867.08
391.00	788.45
392.00	725.20
393.00	669.42
394.00	600.06
395.00	545.40
396.00	482.44
397.00	444.06
398.00	401.33
399.00	363.69
400.00	323.63
401.00	283.20
402.00	249.23
403.00	234.79
404.00	214.56
405.00	200.07
406.00	168.99
407.00	141.15
408.00	142.31
409.00	123.67
410.00	106.43
411.00	100.17
412.00	98.340
413.00	94.936
414.00	78.377
415.00	80.176
416.00	79.674
417.00	77.665
418.00	66.854
419.00	63.087
420.00	63.059
421.00	82.353
422.00	78.628
423.00	72.950
424.00	66.644
425.00	54.312
426.00	51.564
427.00	63.910
428.00	47.867
429.00	60.255
430.00	60.715
431.00	44.002
432.00	39.399
433.00	68.639
434.00	76.703
435.00	53.015
436.00	53.084
437.00	54.075
438.00	49.234
439.00	41.073
440.00	53.642
441.00	82.799
442.00	62.375
443.00	70.369
444.00	79.242
445.00	78.126
446.00	85.408
447.00	72.085
448.00	72.727
449.00	74.220
450.00	72.601
451.00	65.975
452.00	53.531
453.00	48.062
454.00	59.404
455.00	51.034
456.00	41.101
457.00	55.330
458.00	39.720
459.00	37.711
460.00	31.154
461.00	34.976
462.00	39.803
463.00	32.786
464.00	41.310
465.00	31.433
466.00	23.077
467.00	30.359
468.00	23.523
469.00	21.702
470.00	23.061
471.00	18.245
472.00	28.336
473.00	26.899
474.00	32.828
475.00	44.965
476.00	28.489
477.00	36.929
478.00	34.502
479.00	33.818
480.00	42.817
481.00	44.756
482.00	38.631
483.00	49.081
484.00	44.561
485.00	39.151
486.00	34.775
487.00	30.373
488.00	28.754
489.00	33.121
490.00	37.767
491.00	22.463
492.00	50.364
493.00	39.217
494.00	48.941
495.00	34.237
496.00	30.610
497.00	22.937
498.00	28.350
499.00	37.767
500.00	41.561
