Wavelength (nm)	C01 ems
300.00	57430
300.50	56654
301.00	55819
301.50	55569
302.00	55156
302.50	53985
303.00	52716
303.50	52292
304.00	50654
304.50	49786
305.00	49484
305.50	48772
306.00	47827
306.50	48324
307.00	49382
307.50	53274
308.00	55052
308.50	57862
309.00	58644
309.50	59070
310.00	58513
310.50	57074
311.00	56818
311.50	57170
312.00	57479
312.50	59107
313.00	60011
313.50	61207
314.00	62539
314.50	64882
315.00	68243
315.50	79766
316.00	88046
316.50	1.0766e+05
317.00	1.2496e+05
317.50	1.4945e+05
318.00	1.5817e+05
318.50	1.6969e+05
319.00	1.7610e+05
319.50	1.7857e+05
320.00	1.7761e+05
320.50	1.7825e+05
321.00	1.7882e+05
321.50	1.7866e+05
322.00	1.7939e+05
322.50	1.7778e+05
323.00	1.7533e+05
323.50	1.6965e+05
324.00	1.6624e+05
324.50	1.6020e+05
325.00	1.5511e+05
325.50	1.4951e+05
326.00	1.4762e+05
326.50	1.4605e+05
327.00	1.4593e+05
327.50	1.4649e+05
328.00	1.4831e+05
328.50	1.5021e+05
329.00	1.5080e+05
329.50	1.5239e+05
330.00	1.5257e+05
330.50	1.5415e+05
331.00	1.5507e+05
331.50	1.6073e+05
332.00	1.6414e+05
332.50	1.6888e+05
333.00	1.7283e+05
333.50	1.7484e+05
334.00	1.7568e+05
334.50	1.7208e+05
335.00	1.6775e+05
335.50	1.6040e+05
336.00	1.5761e+05
336.50	1.5151e+05
337.00	1.5036e+05
337.50	1.4692e+05
338.00	1.4451e+05
338.50	1.4093e+05
339.00	1.3703e+05
339.50	1.3016e+05
340.00	1.2697e+05
340.50	1.2144e+05
341.00	1.1757e+05
341.50	1.1363e+05
342.00	1.1165e+05
342.50	1.0890e+05
343.00	1.0804e+05
343.50	1.0662e+05
344.00	1.0609e+05
344.50	1.0599e+05
345.00	1.0453e+05
345.50	1.0426e+05
346.00	1.0297e+05
346.50	1.0109e+05
347.00	99748
347.50	97962
348.00	96800
348.50	95785
349.00	93814
349.50	91334
350.00	90259
350.50	87205
351.00	85283
351.50	80881
352.00	78815
352.50	75403
353.00	73901
353.50	70803
354.00	69577
354.50	66469
355.00	65792
355.50	63530
356.00	62051
356.50	59484
357.00	58353
357.50	55354
358.00	53892
358.50	51552
359.00	49876
359.50	47943
360.00	46523
360.50	44847
361.00	44045
361.50	42198
362.00	42081
362.50	40847
363.00	40368
363.50	39253
364.00	38411
364.50	37461
365.00	36389
365.50	34969
366.00	34528
366.50	33181
367.00	32370
367.50	31171
368.00	30866
368.50	29248
369.00	28728
369.50	26914
370.00	26189
370.50	25363
371.00	24891
371.50	23628
372.00	23303
372.50	22281
373.00	21882
373.50	21163
374.00	21179
374.50	20253
375.00	20043
375.50	19562
376.00	18844
376.50	18425
377.00	17850
377.50	17378
378.00	17117
378.50	16198
379.00	15917
379.50	15133
380.00	15044
380.50	14742
381.00	14115
381.50	13768
382.00	13297
382.50	13379
383.00	12678
383.50	12585
384.00	12192
384.50	11951
385.00	11768
385.50	11201
386.00	10881
386.50	10615
387.00	10428
387.50	10195
388.00	10088
388.50	9597.9
389.00	9296.0
389.50	9085.9
390.00	8841.2
390.50	8596.4
391.00	8543.2
391.50	8193.5
392.00	8200.6
392.50	7992.9
393.00	7574.7
393.50	7455.2
394.00	7415.6
394.50	7049.7
395.00	7096.4
395.50	6883.8
396.00	6856.1
396.50	6749.8
397.00	6681.4
397.50	6383.1
398.00	6407.5
398.50	6169.0
399.00	6022.1
399.50	5888.4
400.00	5802.0
400.50	5688.0
401.00	5528.9
401.50	5474.5
402.00	5464.8
402.50	5150.2
403.00	5220.1
403.50	5006.3
404.00	5107.5
404.50	4865.8
405.00	4725.3
405.50	4748.0
406.00	4584.8
406.50	4565.0
407.00	4369.1
407.50	4350.5
408.00	4198.6
408.50	4197.8
409.00	4236.2
409.50	4093.0
410.00	4020.2
410.50	3882.7
411.00	3810.3
411.50	3686.7
412.00	3723.4
412.50	3585.9
413.00	3574.5
413.50	3496.7
414.00	3366.0
414.50	3282.5
415.00	3304.1
415.50	3268.7
416.00	3147.8
416.50	3274.2
417.00	3204.3
417.50	3051.2
418.00	3008.9
418.50	2929.1
419.00	2927.4
419.50	2868.0
420.00	2779.3
420.50	2849.1
421.00	2744.7
421.50	2778.1
422.00	2710.1
422.50	2702.9
423.00	2610.7
423.50	2642.0
424.00	2587.2
424.50	2611.5
425.00	2555.7
425.50	2454.2
426.00	2428.8
426.50	2388.1
427.00	2426.4
427.50	2311.0
428.00	2359.3
428.50	2383.4
429.00	2253.1
429.50	2275.2
430.00	2204.5
430.50	2152.0
431.00	2237.5
431.50	2137.7
432.00	2127.6
432.50	2152.6
433.00	2121.3
433.50	2127.3
434.00	2026.8
434.50	2113.0
435.00	1921.5
435.50	1979.8
436.00	1894.8
436.50	1937.0
437.00	1871.0
437.50	1924.3
438.00	1881.4
438.50	1876.6
439.00	1847.6
439.50	1779.6
440.00	1722.6
440.50	1734.8
