Wavelength (nm)	E24 abs e
210.00	17674
211.00	16436
212.00	15307
213.00	14276
214.00	13413
215.00	12669
216.00	12007
217.00	11397
218.00	10805
219.00	10270
220.00	9774.1
221.00	9302.2
222.00	8812.4
223.00	8305.1
224.00	7810.9
225.00	7391.5
226.00	7071.4
227.00	6861.4
228.00	6735.2
229.00	6681.1
230.00	6671.3
231.00	6681.5
232.00	6703.5
233.00	6729.6
234.00	6747.1
235.00	6746.8
236.00	6730.4
237.00	6703.9
238.00	6666.8
239.00	6625.6
240.00	6585.0
241.00	6547.1
242.00	6516.5
243.00	6494.1
244.00	6487.9
245.00	6502.1
246.00	6523.8
247.00	6554.0
248.00	6593.7
249.00	6630.7
250.00	6662.6
251.00	6689.4
252.00	6696.1
253.00	6702.3
254.00	6688.0
255.00	6654.3
256.00	6604.6
257.00	6531.5
258.00	6436.2
259.00	6318.0
260.00	6171.4
261.00	5993.0
262.00	5797.7
263.00	5590.1
264.00	5341.1
265.00	5087.6
266.00	4810.4
267.00	4551.1
268.00	4287.8
269.00	4043.1
270.00	3808.5
271.00	3599.4
272.00	3400.9
273.00	3227.3
274.00	3077.4
275.00	2949.6
276.00	2849.0
277.00	2763.5
278.00	2695.4
279.00	2643.8
280.00	2611.0
281.00	2588.5
282.00	2568.4
283.00	2566.6
284.00	2569.4
285.00	2572.0
286.00	2583.1
287.00	2591.5
288.00	2606.7
289.00	2619.9
290.00	2631.6
291.00	2646.7
292.00	2657.8
293.00	2667.7
294.00	2676.2
295.00	2674.7
296.00	2676.3
297.00	2676.6
298.00	2669.9
299.00	2668.9
300.00	2660.8
301.00	2652.0
302.00	2646.8
303.00	2638.6
304.00	2630.5
305.00	2622.6
306.00	2617.5
307.00	2608.5
308.00	2591.2
309.00	2572.3
310.00	2552.9
311.00	2522.0
312.00	2490.8
313.00	2460.4
314.00	2428.9
315.00	2396.5
316.00	2362.6
317.00	2330.4
318.00	2294.0
319.00	2259.9
320.00	2222.4
321.00	2183.2
322.00	2135.8
323.00	2077.4
324.00	2028.0
325.00	1977.0
326.00	1937.8
327.00	1906.0
328.00	1881.4
329.00	1865.9
330.00	1865.5
331.00	1883.6
332.00	1914.2
333.00	1959.3
334.00	2019.9
335.00	2079.3
336.00	2153.8
337.00	2239.2
338.00	2335.8
339.00	2433.3
340.00	2542.8
341.00	2657.2
342.00	2777.1
343.00	2903.9
344.00	3037.9
345.00	3178.9
346.00	3330.7
347.00	3483.9
348.00	3647.8
349.00	3821.4
350.00	4000.0
351.00	4175.9
352.00	4372.6
353.00	4573.0
354.00	4774.8
355.00	4998.7
356.00	5214.9
357.00	5427.2
358.00	5652.2
359.00	5889.0
360.00	6126.3
361.00	6384.0
362.00	6665.2
363.00	6952.7
364.00	7228.9
365.00	7530.8
366.00	7848.0
367.00	8148.4
368.00	8458.7
369.00	8796.3
370.00	9141.2
371.00	9488.8
372.00	9836.6
373.00	10161
374.00	10543
375.00	10919
376.00	11278
377.00	11655
378.00	12048
379.00	12440
380.00	12837
381.00	13244
382.00	13662
383.00	14067
384.00	14455
385.00	14865
386.00	15279
387.00	15707
388.00	16134
389.00	16540
390.00	16931
391.00	17360
392.00	17788
393.00	18163
394.00	18544
395.00	18955
396.00	19260
397.00	19661
398.00	19984
399.00	20358
400.00	20660
401.00	20915
402.00	21213
403.00	21469
404.00	21680
405.00	21959
406.00	22133
407.00	22270
408.00	22383
409.00	22529
410.00	22623
411.00	22653
412.00	22661
413.00	22700
414.00	22620
415.00	22517
416.00	22420
417.00	22301
418.00	22143
419.00	21930
420.00	21660
421.00	21393
422.00	21098
423.00	20767
424.00	20390
425.00	19977
426.00	19541
427.00	19044
428.00	18607
429.00	18048
430.00	17547
431.00	17008
432.00	16416
433.00	15823
434.00	15210
435.00	14602
436.00	13979
437.00	13358
438.00	12703
439.00	12082
440.00	11440
441.00	10773
442.00	10189
443.00	9574.7
444.00	8958.4
445.00	8388.3
446.00	7810.3
447.00	7262.5
448.00	6726.8
449.00	6195.6
450.00	5728.0
451.00	5257.8
452.00	4813.7
453.00	4382.7
454.00	3990.7
455.00	3614.6
456.00	3271.1
457.00	2938.8
458.00	2633.7
459.00	2375.3
460.00	2134.1
461.00	1899.0
462.00	1696.3
463.00	1492.6
464.00	1311.2
465.00	1151.9
466.00	1021.4
467.00	902.75
468.00	788.21
469.00	706.80
470.00	628.30
471.00	539.63
472.00	471.17
473.00	404.09
474.00	350.73
475.00	312.43
476.00	270.48
477.00	239.65
478.00	209.36
479.00	177.78
480.00	158.19
481.00	127.05
482.00	117.97
483.00	109.02
484.00	92.519
485.00	66.243
486.00	55.654
487.00	46.470
488.00	65.865
489.00	54.179
490.00	45.266
491.00	39.860
492.00	39.990
493.00	35.433
494.00	36.897
495.00	35.374
496.00	28.787
497.00	27.583
498.00	25.801
499.00	29.626
500.00	19.745
