Wavelength (nm)	F11 abs e
200.00	5278.3
201.00	4872.1
202.00	4530.0
203.00	4262.3
204.00	4026.6
205.00	3820.8
206.00	3667.0
207.00	3662.3
208.00	3719.6
209.00	3873.8
210.00	4101.7
211.00	4385.9
212.00	4746.9
213.00	5201.9
214.00	5722.0
215.00	6332.8
216.00	7046.9
217.00	7796.0
218.00	8620.1
219.00	9470.4
220.00	10352
221.00	11191
222.00	11994
223.00	12713
224.00	13377
225.00	13898
226.00	14271
227.00	14491
228.00	14500
229.00	14353
230.00	14065
231.00	13608
232.00	13019
233.00	12286
234.00	11412
235.00	10435
236.00	9399.1
237.00	8286.9
238.00	7169.0
239.00	6087.7
240.00	5029.7
241.00	4067.0
242.00	3233.6
243.00	2518.1
244.00	1941.2
245.00	1498.7
246.00	1163.8
247.00	932.55
248.00	776.25
249.00	681.85
250.00	628.82
251.00	606.44
252.00	604.41
253.00	619.41
254.00	643.01
255.00	683.78
256.00	731.09
257.00	784.58
258.00	845.78
259.00	909.20
260.00	969.94
261.00	1042.0
262.00	1119.7
263.00	1210.6
264.00	1296.7
265.00	1385.8
266.00	1483.8
267.00	1582.1
268.00	1687.3
269.00	1805.7
270.00	1921.8
271.00	2031.1
272.00	2143.5
273.00	2261.1
274.00	2385.2
275.00	2510.5
276.00	2645.6
277.00	2775.0
278.00	2903.4
279.00	3029.2
280.00	3147.7
281.00	3270.1
282.00	3387.6
283.00	3507.7
284.00	3622.6
285.00	3725.7
286.00	3820.0
287.00	3909.1
288.00	3990.7
289.00	4060.2
290.00	4118.2
291.00	4163.6
292.00	4194.1
293.00	4201.6
294.00	4193.4
295.00	4176.4
296.00	4141.6
297.00	4086.5
298.00	4007.2
299.00	3899.6
300.00	3781.3
301.00	3651.0
302.00	3503.9
303.00	3339.0
304.00	3167.7
305.00	2983.2
306.00	2784.6
307.00	2580.0
308.00	2370.4
309.00	2162.3
310.00	1956.6
311.00	1743.1
312.00	1535.4
313.00	1332.3
314.00	1151.3
315.00	979.05
316.00	832.28
317.00	701.89
318.00	577.76
319.00	469.38
320.00	382.36
321.00	312.43
322.00	254.78
323.00	211.38
324.00	176.80
325.00	145.77
326.00	116.35
327.00	102.15
328.00	87.632
329.00	76.315
330.00	70.499
331.00	64.989
332.00	58.868
333.00	52.210
334.00	48.617
335.00	50.674
336.00	53.482
337.00	51.483
338.00	50.541
339.00	45.428
340.00	42.586
341.00	39.390
342.00	46.733
343.00	41.595
344.00	48.452
345.00	41.859
346.00	42.165
347.00	39.216
348.00	42.950
349.00	38.010
350.00	45.114
