Wavelength (nm)	G21 abs e
210.00	11517
211.00	10565
212.00	9676.5
213.00	8841.8
214.00	8164.7
215.00	7664.8
216.00	7325.3
217.00	7129.7
218.00	7060.4
219.00	7083.5
220.00	7181.7
221.00	7333.5
222.00	7540.7
223.00	7780.5
224.00	8065.1
225.00	8378.5
226.00	8701.8
227.00	9025.8
228.00	9340.8
229.00	9643.3
230.00	9958.6
231.00	10294
232.00	10626
233.00	10970
234.00	11309
235.00	11651
236.00	12004
237.00	12426
238.00	12953
239.00	13580
240.00	14268
241.00	14970
242.00	15634
243.00	16250
244.00	16837
245.00	17456
246.00	18170
247.00	18908
248.00	19576
249.00	19984
250.00	19992
251.00	19575
252.00	18865
253.00	18044
254.00	17269
255.00	16632
256.00	16161
257.00	15850
258.00	15636
259.00	15476
260.00	15311
261.00	15147
262.00	14966
263.00	14786
264.00	14642
265.00	14496
266.00	14348
267.00	14139
268.00	13873
269.00	13514
270.00	13072
271.00	12570
272.00	12070
273.00	11589
274.00	11172
275.00	10821
276.00	10547
277.00	10340
278.00	10183
279.00	10077
280.00	10010
281.00	9947.5
282.00	9875.1
283.00	9781.5
284.00	9642.8
285.00	9453.2
286.00	9175.5
287.00	8854.0
288.00	8482.9
289.00	8096.0
290.00	7698.6
291.00	7324.4
292.00	6971.2
293.00	6642.6
294.00	6351.6
295.00	6088.6
296.00	5867.1
297.00	5660.7
298.00	5471.4
299.00	5302.5
300.00	5139.2
301.00	4980.8
302.00	4825.5
303.00	4661.6
304.00	4496.8
305.00	4327.8
306.00	4159.0
307.00	3987.6
308.00	3820.9
309.00	3657.6
310.00	3504.5
311.00	3350.2
312.00	3216.7
313.00	3101.7
314.00	2998.0
315.00	2900.3
316.00	2830.5
317.00	2759.1
318.00	2705.1
319.00	2660.6
320.00	2619.8
321.00	2594.6
322.00	2573.1
323.00	2553.4
324.00	2533.7
325.00	2516.4
326.00	2503.1
327.00	2489.8
328.00	2470.0
329.00	2448.7
330.00	2423.2
331.00	2389.1
332.00	2353.6
333.00	2312.4
334.00	2270.6
335.00	2224.1
336.00	2172.1
337.00	2121.6
338.00	2072.1
339.00	2019.9
340.00	1974.0
341.00	1924.8
342.00	1880.7
343.00	1843.9
344.00	1809.7
345.00	1775.4
346.00	1745.0
347.00	1716.4
348.00	1693.1
349.00	1680.5
350.00	1660.9
351.00	1647.9
352.00	1631.7
353.00	1624.6
354.00	1619.0
355.00	1615.0
356.00	1610.5
357.00	1605.2
358.00	1605.3
359.00	1609.6
360.00	1619.8
361.00	1626.5
362.00	1629.5
363.00	1640.7
364.00	1647.8
365.00	1647.4
366.00	1647.1
367.00	1644.6
368.00	1651.3
369.00	1668.9
370.00	1689.1
371.00	1705.1
372.00	1715.2
373.00	1728.1
374.00	1745.0
375.00	1759.4
376.00	1774.5
377.00	1791.3
378.00	1793.5
379.00	1806.4
380.00	1834.5
381.00	1878.8
382.00	1908.0
383.00	1937.4
384.00	1969.2
385.00	1997.1
386.00	2033.0
387.00	2054.7
388.00	2085.3
389.00	2124.2
390.00	2187.6
391.00	2229.0
392.00	2237.3
393.00	2265.2
394.00	2336.8
395.00	2386.2
396.00	2441.0
397.00	2465.6
398.00	2487.4
399.00	2526.7
400.00	2576.8
401.00	2631.0
402.00	2681.6
403.00	2720.7
404.00	2752.3
405.00	2770.4
406.00	2802.0
407.00	2856.6
408.00	2890.8
409.00	2916.8
410.00	2945.0
411.00	2978.1
412.00	3011.4
413.00	3035.0
414.00	3069.9
415.00	3101.2
416.00	3135.7
417.00	3163.4
418.00	3197.2
419.00	3231.0
420.00	3247.6
421.00	3235.9
422.00	3246.4
423.00	3242.8
424.00	3251.3
425.00	3254.8
426.00	3280.0
427.00	3264.5
428.00	3272.6
429.00	3237.1
430.00	3215.8
431.00	3208.4
432.00	3205.6
433.00	3168.0
434.00	3130.4
435.00	3135.7
436.00	3112.2
437.00	3092.5
438.00	3058.1
439.00	3025.4
440.00	2985.8
441.00	2902.4
442.00	2894.6
443.00	2849.2
444.00	2803.1
445.00	2773.9
446.00	2737.1
447.00	2709.0
448.00	2670.2
449.00	2620.7
450.00	2586.9
451.00	2552.5
452.00	2505.0
453.00	2466.0
454.00	2416.2
455.00	2361.0
456.00	2324.9
457.00	2251.8
458.00	2187.0
459.00	2135.7
460.00	2087.0
461.00	2024.4
462.00	1976.4
463.00	1900.5
464.00	1838.5
465.00	1774.8
466.00	1735.1
467.00	1690.9
468.00	1646.3
469.00	1620.2
470.00	1566.1
471.00	1512.1
472.00	1465.6
473.00	1392.3
474.00	1345.9
475.00	1274.5
476.00	1227.2
477.00	1183.3
478.00	1145.4
479.00	1089.5
480.00	1022.0
481.00	987.83
482.00	942.33
483.00	885.05
484.00	832.43
485.00	730.75
486.00	713.66
487.00	701.24
488.00	686.93
489.00	638.73
490.00	601.56
491.00	570.89
492.00	540.95
493.00	498.25
494.00	487.08
495.00	458.52
496.00	423.77
497.00	410.45
498.00	393.73
499.00	362.67
500.00	346.59
501.00	325.14
502.00	305.23
503.00	297.48
504.00	302.22
505.00	281.41
506.00	266.88
507.00	262.51
508.00	257.29
509.00	257.73
510.00	252.10
511.00	235.46
512.00	226.87
513.00	213.86
514.00	204.51
515.00	208.28
516.00	207.24
517.00	212.69
518.00	207.34
519.00	202.75
520.00	199.62
521.00	200.59
522.00	195.97
523.00	195.29
524.00	184.51
525.00	177.45
526.00	185.06
527.00	163.15
528.00	181.28
529.00	176.16
530.00	171.33
531.00	173.72
532.00	157.39
533.00	155.50
534.00	148.08
535.00	140.18
536.00	139.90
537.00	140.44
538.00	113.07
539.00	95.891
540.00	103.70
541.00	112.48
542.00	97.918
543.00	110.21
544.00	105.28
545.00	110.27
546.00	118.08
547.00	105.88
548.00	92.926
549.00	102.96
550.00	115.17
551.00	120.94
552.00	111.52
553.00	107.00
554.00	120.70
555.00	106.23
556.00	109.00
557.00	111.32
558.00	105.58
559.00	118.24
560.00	111.57
561.00	108.77
562.00	115.87
563.00	111.07
564.00	115.72
565.00	119.92
566.00	125.20
567.00	121.57
568.00	102.01
569.00	98.712
570.00	118.71
571.00	104.46
572.00	87.925
573.00	92.743
574.00	102.29
575.00	104.04
576.00	92.519
577.00	103.83
578.00	82.180
579.00	82.924
580.00	89.351
581.00	76.527
582.00	71.515
583.00	79.287
584.00	27.308
585.00	25.078
586.00	30.689
587.00	53.466
588.00	28.449
589.00	23.866
590.00	11.132
591.00	17.437
592.00	33.154
593.00	22.103
594.00	23.926
595.00	28.968
596.00	19.434
597.00	26.045
598.00	23.120
599.00	18.463
600.00	34.820
601.00	36.363
602.00	25.067
603.00	21.960
604.00	28.917
605.00	35.008
606.00	46.926
607.00	41.690
608.00	26.279
609.00	28.754
610.00	13.210
611.00	12.318
612.00	12.486
613.00	10.796
614.00	23.752
615.00	12.139
616.00	11.714
617.00	12.575
618.00	14.707
619.00	11.287
620.00	15.167
621.00	13.190
622.00	11.027
623.00	21.848
624.00	13.522
625.00	11.458
626.00	20.279
627.00	15.390
628.00	14.706
629.00	19.271
630.00	12.922
631.00	18.517
632.00	22.325
633.00	15.257
634.00	17.285
635.00	17.470
636.00	15.694
637.00	26.677
638.00	15.278
639.00	15.269
640.00	16.175
641.00	15.009
642.00	17.290
643.00	17.008
644.00	7.0767
645.00	18.071
646.00	11.302
647.00	16.287
648.00	17.485
649.00	12.465
650.00	20.227
651.00	29.832
652.00	26.920
653.00	25.658
654.00	19.779
655.00	11.595
656.00	7.0863
657.00	7.6069
658.00	24.688
659.00	21.061
660.00	29.390
661.00	22.934
662.00	12.697
663.00	17.481
664.00	17.599
665.00	13.413
666.00	31.553
667.00	24.191
668.00	15.671
669.00	17.499
670.00	17.797
671.00	17.368
672.00	16.021
673.00	39.500
674.00	23.823
675.00	24.056
676.00	23.996
677.00	35.386
678.00	15.959
679.00	29.875
680.00	23.396
681.00	28.734
682.00	32.166
683.00	39.806
684.00	38.095
685.00	18.914
686.00	11.799
687.00	23.793
688.00	23.406
689.00	37.249
690.00	40.162
691.00	16.246
692.00	12.421
693.00	18.120
694.00	19.098
695.00	38.798
696.00	34.560
697.00	16.490
698.00	11.662
699.00	19.587
700.00	24.914
