Wavelength (nm)	H10 abs e
220.00	5130.4
221.00	4889.2
222.00	4848.6
223.00	4938.4
224.00	5112.9
225.00	5347.0
226.00	5615.5
227.00	5915.7
228.00	6238.6
229.00	6574.4
230.00	6931.4
231.00	7304.5
232.00	7688.4
233.00	8087.6
234.00	8487.2
235.00	8870.7
236.00	9209.8
237.00	9483.2
238.00	9683.3
239.00	9783.2
240.00	9789.7
241.00	9717.1
242.00	9580.4
243.00	9404.6
244.00	9213.1
245.00	9025.0
246.00	8840.5
247.00	8653.4
248.00	8465.8
249.00	8270.8
250.00	8055.6
251.00	7824.2
252.00	7567.9
253.00	7273.2
254.00	6948.4
255.00	6594.1
256.00	6218.8
257.00	5830.9
258.00	5430.8
259.00	5031.2
260.00	4648.9
261.00	4281.7
262.00	3949.1
263.00	3625.6
264.00	3337.6
265.00	3073.2
266.00	2835.4
267.00	2627.9
268.00	2444.8
269.00	2288.6
270.00	2151.9
271.00	2044.0
272.00	1956.6
273.00	1881.8
274.00	1822.9
275.00	1777.2
276.00	1740.3
277.00	1709.6
278.00	1685.8
279.00	1666.0
280.00	1642.7
281.00	1614.7
282.00	1579.5
283.00	1537.0
284.00	1486.6
285.00	1434.3
286.00	1377.5
287.00	1331.9
288.00	1289.9
289.00	1263.2
290.00	1244.8
291.00	1240.6
292.00	1246.6
293.00	1257.3
294.00	1276.2
295.00	1294.0
296.00	1320.7
297.00	1347.6
298.00	1381.4
299.00	1409.8
300.00	1440.4
301.00	1459.7
302.00	1487.7
303.00	1511.5
304.00	1526.6
305.00	1550.1
306.00	1574.1
307.00	1598.0
308.00	1628.0
309.00	1666.3
310.00	1705.0
311.00	1750.0
312.00	1795.3
313.00	1846.8
314.00	1891.9
315.00	1947.5
316.00	2007.4
317.00	2075.4
318.00	2149.3
319.00	2227.5
320.00	2319.9
321.00	2425.8
322.00	2541.2
323.00	2667.2
324.00	2808.0
325.00	2957.3
326.00	3112.6
327.00	3274.1
328.00	3449.3
329.00	3635.1
330.00	3830.4
331.00	4039.0
332.00	4259.1
333.00	4476.5
334.00	4708.4
335.00	4947.8
336.00	5197.2
337.00	5455.3
338.00	5724.3
339.00	5992.3
340.00	6263.4
341.00	6543.7
342.00	6834.0
343.00	7131.2
344.00	7434.2
345.00	7743.0
346.00	8050.5
347.00	8362.0
348.00	8683.1
349.00	9006.8
350.00	9338.4
351.00	9671.3
352.00	10008
353.00	10344
354.00	10674
355.00	11005
356.00	11319
357.00	11640
358.00	11979
359.00	12282
360.00	12587
361.00	12913
362.00	13212
363.00	13526
364.00	13811
365.00	14119
366.00	14378
367.00	14664
368.00	14946
369.00	15194
370.00	15419
371.00	15659
372.00	15840
373.00	16090
374.00	16250
375.00	16412
376.00	16566
377.00	16670
378.00	16783
379.00	16891
380.00	16925
381.00	16946
382.00	16980
383.00	16997
384.00	17000
385.00	16976
386.00	16944
387.00	16788
388.00	16723
389.00	16613
390.00	16495
391.00	16319
392.00	16151
393.00	15952
394.00	15743
395.00	15484
396.00	15240
397.00	14951
398.00	14713
399.00	14436
400.00	14073
401.00	13692
402.00	13326
403.00	12956
404.00	12583
405.00	12229
406.00	11847
407.00	11417
408.00	10933
409.00	10516
410.00	10085
411.00	9644.8
412.00	9211.2
413.00	8792.2
414.00	8362.5
415.00	7892.6
416.00	7459.9
417.00	7038.8
418.00	6608.6
419.00	6200.1
420.00	5785.9
421.00	5394.3
422.00	5045.7
423.00	4699.2
424.00	4342.4
425.00	3996.8
426.00	3654.5
427.00	3339.0
428.00	3066.1
429.00	2790.2
430.00	2551.9
431.00	2334.9
432.00	2095.6
433.00	1872.1
434.00	1674.7
435.00	1492.0
436.00	1336.3
437.00	1195.3
438.00	1066.9
439.00	941.05
440.00	828.73
441.00	717.59
442.00	628.58
443.00	555.46
444.00	488.55
445.00	431.62
446.00	371.63
447.00	309.78
448.00	269.08
449.00	224.98
450.00	192.91
451.00	164.11
452.00	142.23
453.00	121.55
454.00	98.267
455.00	75.803
456.00	70.256
457.00	70.574
458.00	59.871
459.00	59.721
460.00	43.404
461.00	33.768
462.00	18.810
463.00	21.942
464.00	33.534
465.00	36.865
466.00	33.815
467.00	30.185
468.00	28.912
469.00	18.958
470.00	17.354
471.00	18.182
472.00	17.913
473.00	20.352
474.00	20.455
475.00	17.096
476.00	25.394
477.00	23.944
478.00	18.930
479.00	17.844
480.00	16.927
481.00	14.707
482.00	14.863
483.00	21.409
484.00	24.945
485.00	32.645
486.00	31.176
487.00	28.117
488.00	35.040
489.00	27.097
490.00	33.188
491.00	25.731
492.00	23.991
493.00	29.230
494.00	28.875
495.00	24.075
496.00	35.770
497.00	32.842
498.00	25.949
499.00	29.280
500.00	29.745
