Wavelength (nm)	I10 abs e
200.00	27070
201.00	27803
202.00	28213
203.00	28444
204.00	28744
205.00	28266
206.00	27565
207.00	26064
208.00	24551
209.00	23012
210.00	21753
211.00	20264
212.00	18483
213.00	16489
214.00	14662
215.00	13071
216.00	11806
217.00	10909
218.00	10325
219.00	10035
220.00	9957.5
221.00	10079
222.00	10379
223.00	10814
224.00	11282
225.00	11661
226.00	11943
227.00	12157
228.00	12436
229.00	12756
230.00	13041
231.00	13199
232.00	13285
233.00	13446
234.00	13723
235.00	14099
236.00	14544
237.00	15121
238.00	15921
239.00	16994
240.00	18355
241.00	20010
242.00	21946
243.00	24209
244.00	26719
245.00	29289
246.00	31879
247.00	34422
248.00	37021
249.00	39723
250.00	42589
251.00	45221
252.00	47036
253.00	47641
254.00	46917
255.00	44397
256.00	40620
257.00	35722
258.00	29565
259.00	22783
260.00	16758
261.00	12191
262.00	9055.2
263.00	6897.4
264.00	5412.1
265.00	4379.2
266.00	3648.7
267.00	3111.9
268.00	2701.7
269.00	2358.8
270.00	2090.7
271.00	1867.7
272.00	1678.3
273.00	1528.1
274.00	1407.6
275.00	1309.5
276.00	1230.2
277.00	1173.0
278.00	1138.3
279.00	1114.9
280.00	1108.6
281.00	1124.4
282.00	1147.2
283.00	1189.6
284.00	1236.9
285.00	1294.9
286.00	1368.3
287.00	1463.4
288.00	1556.6
289.00	1670.9
290.00	1798.0
291.00	1925.2
292.00	2061.6
293.00	2204.7
294.00	2354.5
295.00	2509.5
296.00	2678.6
297.00	2829.3
298.00	2983.8
299.00	3142.3
300.00	3304.6
301.00	3469.2
302.00	3609.9
303.00	3756.7
304.00	3900.2
305.00	4022.5
306.00	4136.4
307.00	4258.9
308.00	4361.2
309.00	4441.7
310.00	4505.5
311.00	4565.7
312.00	4621.7
313.00	4666.0
314.00	4694.6
315.00	4697.7
316.00	4700.1
317.00	4680.5
318.00	4650.9
319.00	4610.5
320.00	4572.7
321.00	4508.9
322.00	4424.2
323.00	4345.7
324.00	4257.5
325.00	4142.2
326.00	4038.2
327.00	3916.7
328.00	3792.2
329.00	3666.8
330.00	3532.9
331.00	3384.6
332.00	3254.3
333.00	3109.5
334.00	2962.7
335.00	2820.8
336.00	2681.6
337.00	2541.5
338.00	2397.4
339.00	2265.5
340.00	2131.7
341.00	1995.1
342.00	1878.8
343.00	1756.7
344.00	1651.3
345.00	1537.4
346.00	1430.0
347.00	1338.5
348.00	1245.0
349.00	1152.3
350.00	1069.4
351.00	1004.3
352.00	914.20
353.00	856.56
354.00	796.99
355.00	742.20
356.00	675.54
357.00	633.44
358.00	593.16
359.00	546.16
360.00	504.27
361.00	467.91
362.00	434.47
363.00	396.00
364.00	367.62
365.00	341.26
366.00	317.57
367.00	287.63
368.00	271.89
369.00	247.06
370.00	236.99
371.00	222.07
372.00	199.63
373.00	214.60
374.00	183.15
375.00	170.75
376.00	159.31
377.00	155.48
378.00	161.47
379.00	147.25
380.00	142.75
381.00	123.32
382.00	111.93
383.00	112.94
384.00	102.75
385.00	97.604
386.00	88.855
387.00	92.776
388.00	81.760
389.00	62.133
390.00	76.774
391.00	76.065
392.00	60.536
393.00	52.200
394.00	57.206
395.00	51.018
396.00	47.412
397.00	48.023
398.00	39.036
399.00	45.717
400.00	53.935
401.00	37.480
402.00	47.924
403.00	41.953
404.00	29.893
405.00	32.652
406.00	40.574
407.00	35.253
408.00	30.582
409.00	30.582
410.00	22.838
411.00	23.764
412.00	26.168
413.00	22.266
414.00	31.666
415.00	30.484
416.00	20.355
417.00	18.601
418.00	25.715
419.00	28.237
420.00	8.6885
421.00	18.364
422.00	28.375
423.00	21.320
424.00	35.075
425.00	31.489
426.00	24.079
427.00	18.680
428.00	21.222
429.00	16.473
430.00	25.498
431.00	18.778
432.00	18.187
433.00	17.024
434.00	23.488
435.00	24.473
436.00	23.764
437.00	28.612
438.00	24.158
439.00	15.290
440.00	23.192
441.00	20.118
442.00	27.469
443.00	22.542
444.00	16.689
445.00	13.379
446.00	7.2302
447.00	8.9052
448.00	15.783
449.00	17.241
450.00	20.335
451.00	17.655
452.00	1.2788
453.00	2.1698
454.00	13.930
455.00	17.143
456.00	12.393
457.00	16.571
458.00	8.2943
459.00	3.9392
460.00	16.295
461.00	8.9249
462.00	15.566
463.00	2.3627
464.00	29.282
465.00	15.014
466.00	8.1564
467.00	18.995
468.00	13.319
469.00	5.3778
470.00	24.848
471.00	8.1170
472.00	12.196
473.00	22.266
474.00	6.3237
475.00	26.010
476.00	11.881
477.00	19.586
478.00	0.43568
479.00	3.9786
480.00	16.729
481.00	19.172
482.00	19.980
483.00	11.605
484.00	2.5245
485.00	3.1354
486.00	18.423
487.00	19.566
488.00	8.8461
489.00	16.709
490.00	6.9346
491.00	7.2499
492.00	10.718
493.00	13.300
494.00	22.779
495.00	14.462
496.00	16.748
497.00	28.237
498.00	18.581
499.00	15.448
500.00	15.605
