Wavelength (nm)	J04 abs e
280.00	5709.6
281.00	5633.0
282.00	5555.6
283.00	5477.0
284.00	5405.8
285.00	5355.6
286.00	5326.2
287.00	5319.5
288.00	5339.4
289.00	5378.0
290.00	5425.9
291.00	5484.4
292.00	5541.1
293.00	5588.8
294.00	5636.2
295.00	5676.2
296.00	5725.1
297.00	5788.5
298.00	5866.7
299.00	5959.4
300.00	6080.5
301.00	6221.0
302.00	6389.1
303.00	6579.4
304.00	6783.4
305.00	7008.6
306.00	7245.0
307.00	7498.3
308.00	7765.9
309.00	8042.5
310.00	8334.0
311.00	8639.6
312.00	8956.4
313.00	9289.7
314.00	9627.3
315.00	9980.4
316.00	10342
317.00	10688
318.00	11029
319.00	11336
320.00	11619
321.00	11843
322.00	12033
323.00	12184
324.00	12308
325.00	12403
326.00	12494
327.00	12555
328.00	12640
329.00	12705
330.00	12754
331.00	12765
332.00	12724
333.00	12606
334.00	12390
335.00	12069
336.00	11631
337.00	11095
338.00	10484
339.00	9837.3
340.00	9169.7
341.00	8516.8
342.00	7898.8
343.00	7333.6
344.00	6812.6
345.00	6366.3
346.00	5970.7
347.00	5622.5
348.00	5336.6
349.00	5093.1
350.00	4887.9
351.00	4715.4
352.00	4570.1
353.00	4442.0
354.00	4343.0
355.00	4265.6
356.00	4201.7
357.00	4159.3
358.00	4121.3
359.00	4099.5
360.00	4088.0
361.00	4087.8
362.00	4093.1
363.00	4105.7
364.00	4139.7
365.00	4163.5
366.00	4216.5
367.00	4257.8
368.00	4314.6
369.00	4383.2
370.00	4466.6
371.00	4555.4
372.00	4633.4
373.00	4731.9
374.00	4839.7
375.00	4937.2
376.00	5041.9
377.00	5144.0
378.00	5236.7
379.00	5337.2
380.00	5430.8
381.00	5527.5
382.00	5616.9
383.00	5695.3
384.00	5774.1
385.00	5858.4
386.00	5920.6
387.00	5981.6
388.00	6044.3
389.00	6096.2
390.00	6161.1
391.00	6203.5
392.00	6248.2
393.00	6294.6
394.00	6346.9
395.00	6388.3
396.00	6441.0
397.00	6473.2
398.00	6522.5
399.00	6568.3
400.00	6604.6
401.00	6639.7
402.00	6680.2
403.00	6711.7
404.00	6768.7
405.00	6799.4
406.00	6827.4
407.00	6852.9
408.00	6893.9
409.00	6925.8
410.00	6949.5
411.00	6976.2
412.00	7005.9
413.00	7020.4
414.00	7047.9
415.00	7077.0
416.00	7115.9
417.00	7144.7
418.00	7199.8
419.00	7240.0
420.00	7286.7
421.00	7357.0
422.00	7432.2
423.00	7508.5
424.00	7599.1
425.00	7702.8
426.00	7838.3
427.00	7969.4
428.00	8105.3
429.00	8274.3
430.00	8445.0
431.00	8612.4
432.00	8797.9
433.00	9017.4
434.00	9262.8
435.00	9482.2
436.00	9722.8
437.00	9988.5
438.00	10249
439.00	10513
440.00	10797
441.00	11088
442.00	11356
443.00	11645
444.00	11933
445.00	12228
446.00	12523
447.00	12802
448.00	13111
449.00	13426
450.00	13731
451.00	14045
452.00	14374
453.00	14704
454.00	15038
455.00	15401
456.00	15776
457.00	16107
458.00	16440
459.00	16785
460.00	17117
461.00	17467
462.00	17839
463.00	18174
464.00	18513
465.00	18821
466.00	19086
467.00	19348
468.00	19649
469.00	19934
470.00	20131
471.00	20298
472.00	20489
473.00	20626
474.00	20659
475.00	20741
476.00	20789
477.00	20804
478.00	20900
479.00	20802
480.00	20790
481.00	20778
482.00	20778
483.00	20720
484.00	20690
485.00	20705
486.00	20694
487.00	20660
488.00	20622
489.00	20560
490.00	20576
491.00	20500
492.00	20472
493.00	20423
494.00	20419
495.00	20281
496.00	20227
497.00	20118
498.00	19947
499.00	19800
500.00	19517
501.00	19311
502.00	19011
503.00	18634
504.00	18282
505.00	17811
506.00	17275
507.00	16673
508.00	16039
509.00	15355
510.00	14596
511.00	13768
512.00	12968
513.00	12186
514.00	11308
515.00	10478
516.00	9648.6
