Wavelength (nm)	J15
280.00	11823
281.00	11958
282.00	12120
283.00	12299
284.00	12493
285.00	12688
286.00	12898
287.00	13121
288.00	13352
289.00	13615
290.00	13894
291.00	14214
292.00	14522
293.00	14883
294.00	15254
295.00	15654
296.00	16091
297.00	16539
298.00	17023
299.00	17521
300.00	18034
301.00	18555
302.00	19097
303.00	19635
304.00	20178
305.00	20718
306.00	21209
307.00	21724
308.00	22221
309.00	22682
310.00	23117
311.00	23538
312.00	23905
313.00	24236
314.00	24551
315.00	24827
316.00	25045
317.00	25221
318.00	25347
319.00	25455
320.00	25498
321.00	25503
322.00	25448
323.00	25359
324.00	25239
325.00	25052
326.00	24834
327.00	24538
328.00	24215
329.00	23844
330.00	23420
331.00	22955
332.00	22455
333.00	21920
334.00	21355
335.00	20782
336.00	20219
337.00	19623
338.00	19043
339.00	18464
340.00	17883
341.00	17312
342.00	16777
343.00	16257
344.00	15758
345.00	15295
346.00	14866
347.00	14458
348.00	14094
349.00	13765
350.00	13450
351.00	13179
352.00	12942
353.00	12712
354.00	12519
355.00	12320
356.00	12133
357.00	11956
358.00	11816
359.00	11693
360.00	11565
361.00	11393
362.00	11218
363.00	11059
364.00	10911
365.00	10761
366.00	10617
367.00	10484
368.00	10353
369.00	10239
370.00	10146
371.00	10066
372.00	10009
373.00	9972.1
374.00	9955.4
375.00	9958.7
376.00	9979.7
377.00	10004
378.00	10024
379.00	10092
380.00	10119
381.00	10200
382.00	10287
383.00	10329
384.00	10390
385.00	10473
386.00	10524
387.00	10597
388.00	10671
389.00	10680
390.00	10757
391.00	10830
392.00	10889
393.00	10946
394.00	11017
395.00	11014
396.00	11090
397.00	11110
398.00	11152
399.00	11165
400.00	11143
401.00	11090
402.00	11063
403.00	11024
404.00	10953
405.00	10867
406.00	10751
407.00	10619
408.00	10517
409.00	10436
410.00	10290
411.00	10178
412.00	10046
413.00	9961.9
414.00	9905.9
415.00	9812.4
416.00	9763.9
417.00	9714.1
418.00	9659.6
419.00	9642.2
420.00	9615.4
421.00	9610.6
422.00	9632.4
423.00	9599.2
424.00	9618.8
425.00	9591.0
426.00	9630.6
427.00	9634.1
428.00	9722.1
429.00	9703.7
430.00	9712.7
431.00	9796.7
432.00	9807.4
433.00	9787.0
434.00	9877.0
435.00	9989.2
436.00	9982.4
437.00	10072
438.00	10117
439.00	10169
440.00	10253
441.00	10259
442.00	10366
443.00	10345
444.00	10408
445.00	10452
446.00	10459
447.00	10490
448.00	10513
449.00	10499
450.00	10503
451.00	10499
452.00	10472
453.00	10466
454.00	10457
455.00	10389
456.00	10356
457.00	10289
458.00	10250
459.00	10184
460.00	10156
461.00	10085
462.00	10056
463.00	9972.6
464.00	9926.4
465.00	9901.3
466.00	9847.0
467.00	9799.7
468.00	9733.9
469.00	9787.8
470.00	9740.3
471.00	9702.2
472.00	9700.4
473.00	9660.6
474.00	9699.9
475.00	9608.1
476.00	9650.5
477.00	9640.7
478.00	9637.6
479.00	9677.0
480.00	9694.9
481.00	9745.1
482.00	9782.1
483.00	9805.6
484.00	9844.7
485.00	9696.5
486.00	9835.9
487.00	10139
488.00	9728.1
489.00	10104
490.00	10232
491.00	10353
492.00	10417
493.00	10520
494.00	10622
495.00	10696
496.00	10732
497.00	10892
498.00	10946
499.00	11042
500.00	11216
501.00	11227
502.00	11398
503.00	11478
504.00	11631
505.00	11724
506.00	11882
507.00	12013
508.00	12139
509.00	12308
510.00	12497
511.00	12655
512.00	12921
513.00	13119
514.00	13318
515.00	13590
516.00	13778
517.00	14063
518.00	14367
519.00	14614
520.00	14913
521.00	15215
522.00	15513
523.00	15829
524.00	16199
525.00	16564
526.00	16892
527.00	17244
528.00	17603
529.00	17963
530.00	18358
531.00	18768
532.00	19196
533.00	19568
534.00	19994
535.00	20376
536.00	20795
537.00	21234
538.00	21675
539.00	22085
540.00	22460
541.00	22846
542.00	23363
543.00	23799
544.00	24232
545.00	24705
546.00	25196
547.00	25641
548.00	26150
549.00	26636
550.00	27081
551.00	27649
552.00	28096
553.00	28636
554.00	29153
555.00	29699
556.00	30245
557.00	30825
558.00	31372
559.00	32039
560.00	32609
561.00	33153
562.00	33816
563.00	34434
564.00	35072
565.00	35755
566.00	36328
567.00	37046
568.00	37765
569.00	38418
570.00	39068
571.00	39675
572.00	40302
573.00	40952
574.00	41598
575.00	42255
576.00	42843
577.00	43454
578.00	43986
579.00	44542
580.00	45037
581.00	45626
582.00	45990
583.00	46376
584.00	46806
585.00	47344
586.00	47633
587.00	47909
588.00	48301
589.00	48534
590.00	48740
591.00	48991
592.00	49186
593.00	49402
594.00	49542
595.00	49633
596.00	49786
597.00	49824
598.00	49928
599.00	49996
600.00	50099
601.00	50195
602.00	50297
603.00	50443
604.00	50468
605.00	50464
606.00	50625
607.00	50668
608.00	50831
609.00	50904
610.00	51034
611.00	51152
612.00	51200
613.00	51300
614.00	51344
615.00	51427
616.00	51564
617.00	51511
618.00	51589
619.00	51600
620.00	51537
621.00	51477
622.00	51344
623.00	51289
624.00	51042
625.00	50809
626.00	50505
627.00	50146
628.00	49719
629.00	49280
630.00	48692
631.00	48134
632.00	47420
633.00	46610
634.00	45781
635.00	44929
636.00	44050
637.00	43153
638.00	42164
639.00	41119
640.00	40012
641.00	38853
642.00	37760
643.00	36579
644.00	35420
645.00	34211
646.00	32981
647.00	31712
648.00	30478
649.00	29227
650.00	27955
651.00	26700
652.00	25484
653.00	24266
654.00	23067
655.00	22152
656.00	20676
657.00	20061
658.00	18263
659.00	17993
660.00	16958
661.00	16052
662.00	15193
663.00	14353
664.00	13545
665.00	12743
666.00	12011
667.00	11368
668.00	10653
669.00	10026
670.00	9452.3
671.00	8895.5
672.00	8367.4
673.00	7841.2
674.00	7367.6
675.00	6931.7
676.00	6512.9
677.00	6108.4
678.00	5748.3
679.00	5374.1
680.00	5051.8
681.00	4742.6
682.00	4424.4
683.00	4159.1
684.00	3910.0
685.00	3694.5
686.00	3437.3
687.00	3209.0
688.00	3023.3
689.00	2834.3
690.00	2654.0
691.00	2517.8
692.00	2337.5
693.00	2221.9
694.00	2047.0
695.00	1954.8
696.00	1828.5
697.00	1761.2
698.00	1622.9
699.00	1544.1
700.00	1454.5
701.00	1370.1
702.00	1322.7
703.00	1251.1
704.00	1163.8
705.00	1103.9
706.00	1075.0
707.00	1048.4
708.00	936.35
709.00	888.85
710.00	836.57
711.00	812.79
712.00	731.29
713.00	719.25
714.00	682.68
715.00	661.02
716.00	614.25
717.00	608.26
718.00	620.55
719.00	575.19
720.00	537.72
721.00	518.20
722.00	470.64
723.00	433.74
724.00	443.40
725.00	454.69
726.00	442.38
727.00	381.84
728.00	417.72
729.00	385.37
730.00	352.49
731.00	357.32
732.00	268.41
733.00	319.75
734.00	330.17
735.00	297.25
736.00	276.38
737.00	261.96
738.00	186.69
739.00	281.90
740.00	225.91
741.00	212.14
742.00	244.28
743.00	219.44
744.00	194.99
745.00	199.85
746.00	181.85
747.00	237.72
748.00	178.61
749.00	195.24
750.00	199.20
751.00	149.26
752.00	135.27
753.00	202.66
754.00	178.75
755.00	132.63
756.00	201.78
757.00	216.84
758.00	181.38
759.00	109.66
760.00	164.58
761.00	149.51
762.00	60.839
763.00	200.82
764.00	155.65
765.00	179.47
766.00	54.788
767.00	81.612
768.00	243.04
769.00	217.07
770.00	129.06
771.00	181.37
772.00	82.969
773.00	134.63
774.00	155.33
775.00	153.00
776.00	149.27
777.00	169.96
778.00	197.33
779.00	228.82
780.00	135.84
781.00	158.32
782.00	185.72
783.00	165.60
784.00	150.75
785.00	156.75
786.00	215.87
787.00	169.15
788.00	211.46
789.00	189.39
790.00	138.88
791.00	164.43
792.00	164.68
793.00	178.05
794.00	231.89
795.00	216.38
796.00	87.934
797.00	163.81
798.00	188.60
799.00	165.13
800.00	153.85
