Wavelength (nm)	K08 abs e
220.00	21911
220.25	21755
220.50	22024
220.75	21374
221.00	21176
221.25	21218
221.50	20095
221.75	20600
222.00	20152
222.25	19857
222.50	19734
222.75	19279
223.00	18627
223.25	18538
223.50	18631
223.75	18466
224.00	18130
224.25	17840
224.50	17543
224.75	16606
225.00	16610
225.25	16319
225.50	16020
225.75	15909
226.00	15301
226.25	14869
226.50	14905
226.75	14439
227.00	14360
227.25	14209
227.50	13710
227.75	13405
228.00	13132
228.25	13076
228.50	12726
228.75	12718
229.00	12256
229.25	11484
229.50	11539
229.75	11353
230.00	11081
230.25	10933
230.50	10770
230.75	9901.3
231.00	9812.4
231.25	9707.4
231.50	9697.3
231.75	8972.3
232.00	8459.4
232.25	8988.5
232.50	8431.1
232.75	8453.3
233.00	7665.7
233.25	7189.2
233.50	7336.6
233.75	7122.5
234.00	6819.6
234.25	7080.1
234.50	6876.1
234.75	6207.7
235.00	5826.0
235.25	5329.3
235.50	5640.3
235.75	5171.8
236.00	5341.4
236.25	5502.9
236.50	4778.0
236.75	4570.0
237.00	5058.7
237.25	4640.6
237.50	4511.4
237.75	4519.5
238.00	4000.5
238.25	4265.0
238.50	3855.1
238.75	3818.7
239.00	3818.7
239.25	3921.7
239.50	4079.2
239.75	3624.9
240.00	3873.3
240.25	3481.5
240.50	3382.5
240.75	3372.4
241.00	2990.8
241.25	2756.5
241.50	3144.2
241.75	3116.0
242.00	2873.6
242.25	2675.7
242.50	2817.1
242.75	2463.7
243.00	2566.7
243.25	2437.4
243.50	2572.7
243.75	2407.2
244.00	2803.0
244.25	2207.2
244.50	2245.6
244.75	2435.4
245.00	2120.4
245.25	2243.6
245.50	1781.1
245.75	1886.1
246.00	2037.6
246.25	2148.7
246.50	2110.3
246.75	1868.0
247.00	1813.4
247.25	1726.6
247.50	1793.3
247.75	1825.6
248.00	1716.5
248.25	1312.6
248.50	1668.0
248.75	1482.3
249.00	1462.1
249.25	1217.7
249.50	1690.3
249.75	1589.3
250.00	1686.2
250.25	1496.4
250.50	1262.1
250.75	1609.5
251.00	1530.7
251.25	1361.1
251.50	1334.8
251.75	1130.9
