Wavelength (nm)	L05 abs e
200.00	42610
201.00	46873
202.00	49126
203.00	49707
204.00	50115
205.00	50292
206.00	50273
207.00	50137
208.00	49713
209.00	48986
210.00	47944
211.00	46455
212.00	44714
213.00	42613
214.00	40194
215.00	37515
216.00	34531
217.00	31467
218.00	28368
219.00	25466
220.00	22811
221.00	20507
222.00	18522
223.00	16903
224.00	15557
225.00	14510
226.00	13689
227.00	13055
228.00	12580
229.00	12259
230.00	12038
231.00	11923
232.00	11895
233.00	11977
234.00	12140
235.00	12396
236.00	12758
237.00	13200
238.00	13698
239.00	14262
240.00	14880
241.00	15526
242.00	16153
243.00	16765
244.00	17341
245.00	17793
246.00	18133
247.00	18318
248.00	18336
249.00	18176
250.00	17819
251.00	17324
252.00	16704
253.00	15981
254.00	15234
255.00	14493
256.00	13767
257.00	13099
258.00	12475
259.00	11915
260.00	11423
261.00	10995
262.00	10618
263.00	10292
264.00	10023
265.00	9798.3
266.00	9601.1
267.00	9472.4
268.00	9380.3
269.00	9324.8
270.00	9295.2
271.00	9306.8
272.00	9346.6
273.00	9445.0
274.00	9559.0
275.00	9740.6
276.00	9970.0
277.00	10224
278.00	10512
279.00	10837
280.00	11199
281.00	11590
282.00	12033
283.00	12490
284.00	12980
285.00	13498
286.00	14070
287.00	14668
288.00	15303
289.00	15969
290.00	16660
291.00	17370
292.00	18073
293.00	18778
294.00	19462
295.00	20078
296.00	20658
297.00	21156
298.00	21570
299.00	21898
300.00	22092
301.00	22149
302.00	22118
303.00	21926
304.00	21602
305.00	21187
306.00	20586
307.00	19851
308.00	19045
309.00	18151
310.00	17179
311.00	16196
312.00	15241
313.00	14322
314.00	13507
315.00	12724
316.00	12039
317.00	11458
318.00	10946
319.00	10456
320.00	10054
321.00	9719.4
322.00	9465.4
323.00	9231.2
324.00	9078.2
325.00	8995.9
326.00	8923.6
327.00	8911.1
328.00	8913.3
329.00	8936.0
330.00	8930.6
331.00	8921.8
332.00	8901.4
333.00	8862.2
334.00	8830.3
335.00	8789.9
336.00	8751.9
337.00	8689.3
338.00	8639.1
339.00	8615.7
340.00	8582.6
341.00	8578.9
342.00	8579.3
343.00	8572.1
344.00	8576.7
345.00	8572.8
346.00	8534.6
347.00	8527.4
348.00	8479.6
349.00	8420.9
350.00	8374.3
351.00	8292.6
352.00	8188.5
353.00	8071.0
354.00	7933.5
355.00	7772.0
356.00	7606.8
357.00	7429.2
358.00	7253.1
359.00	7053.3
360.00	6837.5
361.00	6604.3
362.00	6372.5
363.00	6129.3
364.00	5918.3
365.00	5701.8
366.00	5438.6
367.00	5215.5
368.00	5004.8
369.00	4729.4
370.00	4484.6
371.00	4271.7
372.00	4048.3
373.00	3780.9
374.00	3550.0
375.00	3336.9
376.00	3077.1
377.00	2845.2
378.00	2673.0
379.00	2448.2
380.00	2276.2
381.00	2097.3
382.00	1911.3
383.00	1768.6
384.00	1618.9
385.00	1495.7
386.00	1392.5
387.00	1269.0
388.00	1201.4
389.00	1155.5
390.00	1035.7
391.00	1019.6
392.00	954.50
393.00	910.87
394.00	863.04
395.00	827.19
396.00	839.02
397.00	809.11
398.00	787.60
399.00	785.10
400.00	792.85
401.00	791.34
402.00	786.80
403.00	777.89
404.00	790.77
405.00	808.73
406.00	799.98
407.00	847.08
408.00	839.18
409.00	867.97
410.00	856.79
411.00	934.26
412.00	936.92
413.00	999.52
414.00	973.62
415.00	1004.5
416.00	1061.7
417.00	1056.1
418.00	1108.7
419.00	1167.4
420.00	1205.6
421.00	1267.3
422.00	1308.6
423.00	1347.9
424.00	1411.7
425.00	1476.4
426.00	1533.9
427.00	1579.0
428.00	1648.1
429.00	1731.9
430.00	1808.8
431.00	1860.6
432.00	1927.4
433.00	2033.1
434.00	2129.5
435.00	2206.9
436.00	2307.5
437.00	2388.4
438.00	2505.1
439.00	2624.9
440.00	2749.8
441.00	2864.0
442.00	2985.2
443.00	3102.4
444.00	3257.7
445.00	3375.4
446.00	3508.7
447.00	3649.9
448.00	3794.3
449.00	3965.9
450.00	4114.6
451.00	4281.7
452.00	4466.7
453.00	4669.1
454.00	4845.4
455.00	5040.9
456.00	5239.3
457.00	5452.6
458.00	5688.3
459.00	5899.5
460.00	6127.7
461.00	6343.0
462.00	6606.1
463.00	6936.7
464.00	7171.5
465.00	7439.2
466.00	7699.4
467.00	8011.5
468.00	8294.1
469.00	8647.7
470.00	8991.9
471.00	9336.0
472.00	9699.7
473.00	10084
474.00	10449
475.00	10795
476.00	11180
477.00	11604
478.00	12049
479.00	12503
480.00	12947
481.00	13424
482.00	13928
483.00	14358
484.00	14803
485.00	15455
486.00	15877
487.00	16242
488.00	16896
489.00	17441
490.00	18007
491.00	18618
492.00	19106
493.00	19753
494.00	20357
495.00	21030
496.00	21697
497.00	22358
498.00	23079
499.00	23774
500.00	24396
501.00	25080
502.00	25901
503.00	26719
504.00	27538
505.00	28245
506.00	29131
507.00	29958
508.00	30869
509.00	31742
510.00	32587
511.00	33474
512.00	34384
513.00	35318
514.00	36358
515.00	37209
516.00	38099
517.00	39034
518.00	40053
519.00	40924
520.00	41807
521.00	42781
522.00	43556
523.00	44643
524.00	45408
525.00	46447
526.00	47080
527.00	47988
528.00	48842
529.00	49894
530.00	50394
531.00	51028
532.00	51905
533.00	52502
534.00	53128
535.00	53753
536.00	54273
537.00	54907
538.00	55562
539.00	55982
540.00	56560
541.00	57024
542.00	57570
543.00	57945
544.00	58432
545.00	58786
546.00	59261
547.00	59535
548.00	59959
549.00	60424
550.00	60914
551.00	61158
552.00	61556
553.00	62058
554.00	62395
555.00	63024
556.00	63405
557.00	63870
558.00	64309
559.00	64903
560.00	65500
561.00	66231
562.00	66926
563.00	67396
564.00	68289
565.00	69092
566.00	69776
567.00	70710
568.00	71499
569.00	72430
570.00	73443
571.00	74506
572.00	75296
573.00	76175
574.00	77321
575.00	78047
576.00	79002
577.00	79875
578.00	80787
579.00	81487
580.00	82155
581.00	82732
582.00	83352
583.00	83820
584.00	84046
585.00	84300
586.00	84287
587.00	84196
588.00	83849
589.00	83653
590.00	82848
591.00	82139
592.00	81009
593.00	80053
594.00	78951
595.00	77616
596.00	76163
597.00	74231
598.00	72411
599.00	70384
600.00	68407
601.00	66387
602.00	64061
603.00	61710
604.00	59574
605.00	57071
606.00	54650
607.00	52289
608.00	49918
609.00	47475
610.00	45042
611.00	42807
612.00	40498
613.00	38251
614.00	36107
615.00	34026
616.00	32032
617.00	30065
618.00	28254
619.00	26378
620.00	24674
621.00	23172
622.00	21447
623.00	20037
624.00	18720
625.00	17394
626.00	16199
627.00	15021
628.00	13953
629.00	12899
630.00	12014
631.00	11113
632.00	10285
633.00	9514.1
634.00	8839.6
635.00	8178.6
636.00	7542.0
637.00	6977.4
638.00	6405.1
639.00	5990.7
640.00	5516.2
641.00	5169.2
642.00	4739.9
643.00	4356.8
644.00	4052.9
645.00	3748.5
646.00	3436.6
647.00	3171.7
648.00	2913.4
649.00	2688.9
650.00	2483.6
651.00	2324.1
652.00	2116.8
653.00	1987.9
654.00	1841.2
655.00	1532.2
656.00	1495.2
657.00	1589.7
658.00	1432.9
659.00	1311.0
660.00	1226.1
661.00	1120.5
662.00	1023.1
663.00	1003.0
664.00	926.79
665.00	814.78
666.00	790.61
667.00	769.68
668.00	726.01
669.00	683.31
670.00	606.99
671.00	611.38
672.00	583.63
673.00	527.78
674.00	492.32
675.00	490.39
676.00	444.95
677.00	448.61
678.00	400.12
679.00	366.32
680.00	356.95
681.00	359.88
682.00	351.40
683.00	328.32
684.00	331.48
685.00	305.77
686.00	309.82
687.00	280.87
688.00	281.22
689.00	292.93
690.00	274.62
691.00	262.33
692.00	230.57
693.00	246.80
694.00	256.24
695.00	184.89
696.00	220.09
697.00	209.33
698.00	228.80
699.00	222.40
700.00	194.68
701.00	224.40
702.00	212.61
703.00	195.61
704.00	185.47
705.00	183.89
706.00	165.55
707.00	178.30
708.00	194.92
709.00	152.36
710.00	157.53
711.00	166.43
712.00	163.93
713.00	162.35
714.00	143.92
715.00	147.74
716.00	179.31
717.00	175.84
718.00	162.27
719.00	180.46
720.00	145.81
721.00	158.45
722.00	161.04
723.00	133.63
724.00	151.52
725.00	151.48
726.00	177.03
727.00	163.58
728.00	138.45
729.00	139.14
730.00	144.81
731.00	129.28
732.00	172.37
733.00	114.63
734.00	139.22
735.00	157.95
736.00	153.87
737.00	170.63
738.00	112.66
739.00	114.59
740.00	152.98
741.00	175.95
742.00	146.31
743.00	125.73
744.00	150.59
745.00	130.32
746.00	139.22
747.00	140.07
748.00	130.32
749.00	110.24
750.00	128.20
751.00	117.60
752.00	112.89
753.00	132.78
754.00	146.04
755.00	132.44
756.00	107.38
757.00	144.39
758.00	103.03
759.00	116.52
760.00	126.50
761.00	131.09
762.00	120.72
763.00	122.49
764.00	118.41
765.00	130.39
766.00	139.22
767.00	114.36
768.00	89.499
769.00	81.674
770.00	110.39
771.00	103.57
772.00	131.74
773.00	126.69
774.00	111.24
775.00	116.29
776.00	107.11
777.00	125.27
778.00	111.39
779.00	92.043
780.00	126.23
781.00	101.37
782.00	110.54
783.00	87.186
784.00	101.72
785.00	118.60
786.00	136.02
787.00	119.41
788.00	82.445
789.00	122.53
790.00	111.55
791.00	121.07
792.00	139.18
793.00	99.559
794.00	123.26
795.00	103.14
796.00	136.83
797.00	145.16
798.00	94.587
799.00	130.09
800.00	98.017
