Wavelength (nm)	N14 abs e
200.00	62458
201.00	63185
202.00	64502
203.00	64485
204.00	62759
205.00	60509
206.00	59013
207.00	57058
208.00	55168
209.00	53525
210.00	52119
211.00	51043
212.00	49929
213.00	48876
214.00	47967
215.00	47201
216.00	46500
217.00	45860
218.00	45424
219.00	45108
220.00	44868
221.00	44863
222.00	44880
223.00	45047
224.00	45274
225.00	45571
226.00	45878
227.00	46157
228.00	46383
229.00	46545
230.00	46688
231.00	46787
232.00	46794
233.00	46696
234.00	46486
235.00	46189
236.00	45746
237.00	45264
238.00	44701
239.00	44156
240.00	43609
241.00	43067
242.00	42537
243.00	42021
244.00	41509
245.00	40955
246.00	40333
247.00	39676
248.00	39030
249.00	38411
250.00	37818
251.00	37339
252.00	37034
253.00	36931
254.00	37003
255.00	37295
256.00	37759
257.00	38280
258.00	38856
259.00	39502
260.00	40151
261.00	40850
262.00	41613
263.00	42306
264.00	42881
265.00	43271
266.00	43241
267.00	42746
268.00	41797
269.00	40442
270.00	38655
271.00	36836
272.00	34912
273.00	33030
274.00	31272
275.00	29665
276.00	28165
277.00	26819
278.00	25623
279.00	24586
280.00	23698
281.00	22931
282.00	22293
283.00	21779
284.00	21321
285.00	20962
286.00	20685
287.00	20462
288.00	20313
289.00	20174
290.00	20118
291.00	20131
292.00	20159
293.00	20263
294.00	20403
295.00	20586
296.00	20723
297.00	20906
298.00	21005
299.00	21117
300.00	21155
301.00	21149
302.00	21163
303.00	21176
304.00	21177
305.00	21153
306.00	21205
307.00	21307
308.00	21407
309.00	21508
310.00	21542
311.00	21492
312.00	21298
313.00	20950
314.00	20400
315.00	19629
316.00	18783
317.00	17779
318.00	16659
319.00	15560
320.00	14477
321.00	13465
322.00	12464
323.00	11540
324.00	10794
325.00	10150
326.00	9543.9
327.00	9090.8
328.00	8689.9
329.00	8370.8
330.00	8092.2
331.00	7838.1
332.00	7643.4
333.00	7465.3
334.00	7280.9
335.00	7132.4
336.00	6991.2
337.00	6889.0
338.00	6788.7
339.00	6742.2
340.00	6712.4
341.00	6726.9
342.00	6770.8
343.00	6860.8
344.00	6962.4
345.00	7070.2
346.00	7235.1
347.00	7379.0
348.00	7500.2
349.00	7626.9
350.00	7698.7
351.00	7720.5
352.00	7771.1
353.00	7756.8
354.00	7738.0
355.00	7731.2
356.00	7774.2
357.00	7866.0
358.00	7984.1
359.00	8136.8
360.00	8365.1
361.00	8674.9
362.00	8974.0
363.00	9337.9
364.00	9648.9
365.00	9956.4
366.00	10202
367.00	10398
368.00	10391
369.00	10384
370.00	10176
371.00	9902.0
372.00	9496.3
373.00	9089.1
374.00	8551.5
375.00	8093.5
376.00	7545.1
377.00	7035.7
378.00	6590.4
379.00	6129.5
380.00	5724.6
381.00	5370.2
382.00	5058.6
383.00	4773.1
384.00	4552.0
385.00	4311.5
386.00	4123.7
387.00	3973.0
388.00	3905.8
389.00	3801.3
390.00	3730.7
391.00	3667.9
392.00	3591.7
393.00	3567.5
394.00	3526.5
395.00	3526.8
396.00	3473.3
397.00	3466.2
398.00	3448.9
399.00	3447.5
400.00	3458.0
401.00	3515.0
402.00	3524.3
403.00	3530.2
404.00	3526.7
405.00	3579.5
406.00	3569.7
407.00	3592.9
408.00	3616.4
409.00	3655.2
410.00	3676.1
411.00	3684.0
412.00	3660.4
413.00	3682.7
414.00	3659.7
415.00	3639.2
416.00	3630.3
417.00	3585.1
418.00	3525.9
419.00	3509.9
420.00	3495.2
421.00	3439.6
422.00	3382.1
423.00	3374.1
424.00	3308.1
425.00	3283.1
426.00	3216.8
427.00	3186.9
428.00	3147.4
429.00	3118.3
430.00	3088.3
431.00	3060.8
432.00	3008.5
433.00	2996.1
434.00	2967.3
435.00	2950.4
436.00	2903.2
437.00	2878.7
438.00	2849.0
439.00	2827.5
440.00	2820.1
441.00	2797.5
442.00	2717.1
443.00	2714.2
444.00	2686.9
445.00	2677.7
446.00	2644.6
447.00	2629.7
448.00	2589.0
449.00	2530.9
450.00	2492.1
451.00	2508.0
452.00	2486.8
453.00	2466.3
454.00	2431.8
455.00	2412.2
456.00	2424.0
457.00	2404.1
458.00	2409.1
459.00	2451.6
460.00	2438.1
461.00	2470.6
462.00	2465.6
463.00	2529.2
464.00	2542.0
465.00	2608.3
466.00	2681.9
467.00	2771.3
468.00	2849.9
469.00	2929.5
470.00	3005.6
471.00	3106.9
472.00	3221.6
473.00	3345.4
474.00	3475.7
475.00	3643.8
476.00	3777.6
477.00	3861.6
478.00	4094.7
479.00	4285.1
480.00	4461.0
481.00	4655.2
482.00	4892.7
483.00	5038.5
484.00	5221.9
485.00	5507.3
486.00	5613.3
487.00	5793.6
488.00	6012.6
489.00	6179.7
490.00	6509.2
491.00	6676.1
492.00	6915.0
493.00	7217.9
494.00	7424.3
495.00	7702.8
496.00	8018.7
497.00	8358.0
498.00	8723.3
499.00	9059.9
500.00	9516.3
501.00	10019
502.00	10442
503.00	11003
504.00	11570
505.00	12199
506.00	12876
507.00	13671
508.00	14354
509.00	15182
510.00	16087
511.00	17002
512.00	17935
513.00	18853
514.00	19758
515.00	20698
516.00	21667
517.00	22611
518.00	23449
519.00	24364
520.00	25023
521.00	25825
522.00	26413
523.00	27049
524.00	27731
525.00	28259
526.00	28743
527.00	29132
528.00	29591
529.00	29982
530.00	30196
531.00	30756
532.00	31121
533.00	31591
534.00	32210
535.00	32800
536.00	33511
537.00	34387
538.00	35388
539.00	36464
540.00	37853
541.00	39324
542.00	41059
543.00	42817
544.00	44925
545.00	47101
546.00	49477
547.00	52165
548.00	55062
549.00	57830
550.00	60712
551.00	64163
552.00	67446
553.00	70593
554.00	73877
555.00	77013
556.00	79948
557.00	82755
558.00	85744
559.00	88343
560.00	90396
561.00	92280
562.00	93816
563.00	94379
564.00	94903
565.00	95000
566.00	94476
567.00	93413
568.00	91991
569.00	89843
570.00	87701
571.00	84668
572.00	81629
573.00	77932
574.00	74117
575.00	70116
576.00	65719
577.00	61127
578.00	57110
579.00	52751
580.00	48241
581.00	43885
582.00	40329
583.00	36756
584.00	32509
585.00	29169
586.00	26349
587.00	23167
588.00	20562
589.00	18351
590.00	16041
591.00	14091
592.00	12251
593.00	10715
594.00	9454.1
595.00	8250.2
596.00	7273.0
597.00	6328.9
598.00	5536.7
599.00	4856.7
600.00	4290.0
601.00	3769.8
602.00	3344.5
603.00	2956.2
604.00	2652.3
605.00	2386.6
606.00	2131.9
607.00	1940.6
608.00	1728.4
609.00	1608.3
610.00	1457.3
611.00	1353.1
612.00	1252.8
613.00	1162.1
614.00	1092.8
615.00	1034.2
616.00	960.57
617.00	908.65
618.00	855.18
619.00	807.56
620.00	766.06
621.00	750.71
622.00	699.38
623.00	676.53
624.00	631.38
625.00	615.61
626.00	584.30
627.00	568.13
628.00	539.79
629.00	522.42
630.00	494.13
631.00	471.42
632.00	470.05
633.00	468.13
