Wavelength (nm)	O06 abs e
220.00	22125
220.25	22215
220.50	22375
220.75	22376
221.00	22467
221.25	22619
221.50	22701
221.75	22651
222.00	22717
222.25	22840
222.50	22904
222.75	22881
223.00	22906
223.25	22949
223.50	22966
223.75	23046
224.00	23059
224.25	23026
224.50	22942
224.75	22951
225.00	22954
225.25	22943
225.50	22883
225.75	22830
226.00	22736
226.25	22729
226.50	22720
226.75	22640
227.00	22593
227.25	22393
227.50	22290
227.75	22229
228.00	22185
228.25	22032
228.50	21926
228.75	21750
229.00	21667
229.25	21591
229.50	21430
229.75	21202
230.00	21047
230.25	20906
230.50	20791
230.75	20614
231.00	20487
231.25	20254
231.50	20065
231.75	19958
232.00	19717
232.25	19536
232.50	19396
232.75	19251
233.00	19029
233.25	18792
233.50	18703
233.75	18489
234.00	18276
234.25	18066
234.50	17972
234.75	17732
235.00	17585
235.25	17332
235.50	17070
235.75	16866
236.00	16652
236.25	16496
236.50	16372
236.75	16149
237.00	16018
237.25	15928
237.50	15718
237.75	15578
238.00	15472
238.25	15344
238.50	15129
238.75	15044
239.00	14938
239.25	14799
239.50	14720
239.75	14565
240.00	14429
240.25	14350
240.50	14270
240.75	14147
241.00	14078
241.25	14026
241.50	13931
241.75	13850
242.00	13782
242.25	13684
242.50	13594
242.75	13547
243.00	13501
243.25	13449
243.50	13389
243.75	13312
244.00	13305
244.25	13294
244.50	13188
244.75	13188
245.00	13227
245.25	13184
245.50	13160
245.75	13118
246.00	13112
246.25	13146
246.50	13139
246.75	13110
247.00	13154
247.25	13166
247.50	13265
247.75	13248
248.00	13298
248.25	13342
248.50	13416
248.75	13434
249.00	13546
249.25	13597
249.50	13634
249.75	13698
250.00	13816
250.25	13915
250.50	13971
250.75	14094
251.00	14203
251.25	14260
251.50	14399
251.75	14546
252.00	14638
252.25	14711
252.50	14893
252.75	15001
253.00	15151
253.25	15263
253.50	15372
253.75	15548
254.00	15623
254.25	15807
254.50	15873
254.75	15960
255.00	16000
255.25	16133
255.50	16232
255.75	16354
256.00	16532
256.25	16599
256.50	16795
256.75	16880
257.00	16986
257.25	17090
257.50	17193
257.75	17315
258.00	17503
258.25	17503
258.50	17696
258.75	17796
259.00	17812
259.25	17938
259.50	17971
259.75	18034
260.00	18115
260.25	18131
260.50	18100
260.75	18191
261.00	18155
261.25	18146
261.50	18102
261.75	18048
262.00	18072
262.25	17947
262.50	17812
262.75	17725
263.00	17569
263.25	17420
263.50	17270
263.75	17117
264.00	17011
264.25	16749
264.50	16522
264.75	16332
265.00	16027
265.25	15801
265.50	15501
265.75	15215
266.00	14937
266.25	14649
266.50	14404
266.75	14109
267.00	13777
267.25	13483
267.50	13146
267.75	12854
268.00	12491
268.25	12272
268.50	11846
268.75	11626
269.00	11330
269.25	11040
269.50	10802
269.75	10504
270.00	10272
270.25	9983.7
270.50	9748.9
270.75	9478.7
271.00	9285.4
271.25	9019.8
271.50	8785.6
271.75	8628.4
272.00	8400.4
272.25	8227.2
272.50	8091.8
272.75	7851.1
273.00	7696.9
273.25	7545.9
273.50	7386.6
273.75	7241.3
274.00	7169.4
274.25	7072.4
274.50	6926.1
274.75	6875.4
275.00	6739.2
275.25	6591.1
275.50	6491.2
275.75	6427.1
276.00	6239.1
276.25	6209.4
276.50	6166.0
276.75	6135.9
277.00	6073.8
277.25	5998.9
277.50	5957.8
277.75	5931.0
278.00	5864.5
278.25	5829.0
278.50	5795.6
278.75	5754.1
279.00	5775.0
279.25	5726.9
279.50	5706.3
279.75	5708.6
280.00	5678.9
280.25	5632.6
280.50	5640.5
280.75	5597.3
281.00	5621.2
281.25	5591.5
281.50	5611.8
281.75	5617.4
282.00	5605.2
282.25	5659.4
282.50	5605.6
282.75	5637.4
283.00	5609.9
283.25	5625.7
283.50	5623.7
283.75	5638.2
284.00	5630.1
284.25	5656.5
284.50	5625.1
284.75	5654.2
285.00	5697.4
285.25	5739.9
285.50	5756.8
285.75	5729.8
286.00	5740.6
286.25	5808.0
286.50	5808.5
286.75	5818.0
287.00	5822.8
287.25	5879.5
287.50	5965.0
287.75	5978.3
288.00	6028.0
288.25	6055.2
288.50	6097.5
288.75	6084.4
289.00	6108.9
289.25	6119.9
289.50	6232.7
289.75	6217.1
290.00	6232.9
290.25	6339.4
290.50	6371.0
290.75	6410.0
291.00	6453.4
291.25	6522.0
291.50	6539.8
291.75	6598.6
292.00	6680.2
292.25	6724.2
292.50	6730.6
292.75	6804.0
293.00	6871.9
293.25	6956.8
293.50	6993.5
293.75	7057.7
294.00	7150.3
294.25	7195.6
294.50	7262.4
294.75	7267.8
295.00	7296.9
295.25	7384.5
295.50	7377.1
295.75	7470.3
296.00	7557.7
296.25	7637.9
