Wavelength (nm)	P06 abs e
300.00	10376
300.50	10467
301.00	10502
301.50	10609
302.00	10724
302.50	10810
303.00	10902
303.50	11079
304.00	11129
304.50	11191
305.00	11322
305.50	11375
306.00	11529
306.50	11678
307.00	11809
307.50	11888
308.00	11975
308.50	12157
309.00	12313
309.50	12456
310.00	12566
310.50	12621
311.00	12796
311.50	12926
312.00	12967
312.50	13123
313.00	13204
313.50	13315
314.00	13399
314.50	13549
315.00	13623
315.50	13602
316.00	13780
316.50	13825
317.00	13877
317.50	13943
318.00	14002
318.50	14005
319.00	14040
319.50	14096
320.00	14094
320.50	14205
321.00	14086
321.50	14128
322.00	14065
322.50	14060
323.00	14015
323.50	13927
324.00	13932
324.50	13803
325.00	13720
325.50	13622
326.00	13488
326.50	13384
327.00	13278
327.50	13134
328.00	13018
328.50	12857
329.00	12694
329.50	12555
330.00	12414
330.50	12302
331.00	12060
331.50	11938
332.00	11800
332.50	11615
333.00	11509
333.50	11337
334.00	11191
334.50	11017
335.00	10905
335.50	10746
336.00	10655
336.50	10448
337.00	10390
337.50	10301
338.00	10149
338.50	10021
339.00	9931.4
339.50	9816.4
340.00	9764.6
340.50	9642.7
341.00	9517.4
341.50	9478.3
342.00	9374.8
342.50	9307.0
343.00	9265.5
343.50	9162.0
344.00	9134.5
344.50	9082.7
345.00	8974.6
345.50	8972.3
346.00	8896.4
346.50	8868.8
347.00	8803.3
347.50	8827.4
348.00	8797.5
348.50	8695.1
349.00	8715.9
349.50	8596.3
350.00	8629.6
350.50	8648.0
351.00	8641.1
351.50	8583.6
352.00	8510.0
352.50	8559.4
353.00	8567.5
353.50	8473.2
354.00	8395.0
354.50	8514.6
355.00	8485.8
355.50	8409.9
356.00	8344.4
356.50	8370.8
357.00	8305.3
357.50	8252.4
358.00	8193.7
358.50	8107.5
359.00	8017.8
359.50	8028.2
360.00	7951.1
360.50	7897.0
361.00	7833.8
361.50	7778.6
362.00	7629.1
362.50	7606.1
363.00	7570.5
363.50	7457.8
364.00	7357.7
364.50	7300.2
365.00	7224.3
365.50	7131.2
366.00	7086.3
366.50	6995.5
367.00	6908.1
367.50	6851.7
368.00	6793.0
368.50	6694.1
369.00	6642.4
369.50	6541.2
370.00	6518.2
370.50	6469.9
371.00	6342.2
371.50	6334.2
372.00	6270.9
372.50	6196.2
373.00	6154.8
373.50	6044.4
374.00	6046.7
374.50	5927.1
375.00	5894.9
375.50	5873.1
376.00	5735.0
376.50	5695.9
377.00	5644.2
377.50	5563.7
378.00	5510.8
378.50	5470.6
379.00	5374.0
379.50	5270.5
380.00	5247.5
380.50	5170.4
381.00	5083.0
381.50	4993.3
382.00	4919.7
382.50	4808.1
383.00	4697.7
383.50	4669.0
384.00	4539.0
384.50	4410.2
385.00	4365.4
385.50	4248.1
386.00	4143.4
386.50	4035.3
387.00	3942.2
387.50	3847.9
388.00	3762.8
388.50	3683.5
389.00	3578.8
389.50	3443.1
390.00	3370.6
390.50	3270.6
391.00	3177.4
391.50	3069.4
392.00	3003.8
392.50	2901.4
393.00	2804.9
393.50	2762.3
394.00	2672.6
394.50	2585.2
395.00	2582.9
395.50	2503.6
396.00	2425.4
396.50	2427.6
397.00	2395.4
397.50	2301.1
398.00	2244.8
398.50	2239.1
399.00	2226.4
399.50	2190.7
400.00	2172.4
400.50	2150.5
401.00	2078.0
401.50	2124.1
402.00	2124.1
402.50	2094.1
403.00	2080.4
403.50	2134.4
404.00	2136.7
404.50	2089.5
405.00	2130.9
405.50	2163.2
406.00	2135.6
406.50	2206.9
407.00	2243.6
407.50	2226.4
408.00	2272.4
408.50	2346.0
409.00	2369.0
409.50	2367.9
410.00	2423.1
410.50	2471.4
411.00	2518.5
411.50	2535.7
412.00	2627.7
412.50	2657.7
413.00	2717.5
413.50	2768.1
414.00	2831.3
414.50	2864.6
415.00	2942.9
415.50	3040.6
416.00	3098.1
416.50	3170.6
417.00	3266.0
417.50	3322.4
418.00	3384.4
418.50	3520.2
419.00	3607.5
419.50	3681.1
420.00	3845.6
420.50	3934.1
421.00	4031.9
421.50	4163.0
422.00	4307.9
422.50	4419.5
423.00	4551.7
423.50	4757.6
424.00	4866.8
424.50	5027.8
425.00	5258.9
425.50	5397.0
426.00	5570.6
426.50	5788.0
427.00	6035.2
427.50	6195.0
428.00	6429.6
428.50	6670.0
429.00	6900.0
429.50	7162.2
430.00	7409.4
430.50	7682.0
431.00	7948.8
431.50	8261.6
432.00	8558.3
432.50	8827.4
433.00	9155.1
433.50	9494.4
434.00	9804.9
434.50	10099
435.00	10449
435.50	10818
436.00	11118
436.50	11479
437.00	11866
437.50	12151
438.00	12497
438.50	12929
439.00	13273
439.50	13587
440.00	14021
440.50	14392
441.00	14721
441.50	15144
442.00	15572
442.50	15926
443.00	16375
443.50	16818
444.00	17264
444.50	17777
445.00	18307
445.50	18838
446.00	19413
446.50	20077
447.00	20708
447.50	21383
448.00	22133
448.50	22993
449.00	23751
449.50	24715
450.00	25685
450.50	26721
451.00	27768
451.50	28985
452.00	30184
452.50	31479
453.00	32830
453.50	34325
454.00	35796
454.50	37392
455.00	38995
455.50	40736
456.00	42423
456.50	44235
457.00	45997
457.50	47791
458.00	49551
458.50	51307
459.00	52975
459.50	54596
460.00	56128
460.50	57593
461.00	58818
461.50	60062
462.00	61052
462.50	61929
463.00	62670
463.50	63319
464.00	63742
464.50	64171
465.00	64458
465.50	64683
466.00	64807
466.50	64975
467.00	65026
467.50	65076
468.00	65204
468.50	65360
469.00	65471
469.50	65675
470.00	66043
470.50	66436
471.00	66905
471.50	67620
472.00	68450
472.50	69439
473.00	70592
473.50	71980
474.00	73486
474.50	75290
475.00	77232
475.50	79429
476.00	81724
476.50	84288
477.00	86838
477.50	89570
478.00	92321
478.50	95136
479.00	97799
479.50	1.0054e+05
480.00	1.0306e+05
480.50	1.0547e+05
481.00	1.0751e+05
481.50	1.0952e+05
482.00	1.1117e+05
482.50	1.1244e+05
483.00	1.1353e+05
483.50	1.1434e+05
484.00	1.1478e+05
484.50	1.1500e+05
485.00	1.1491e+05
485.50	1.1450e+05
486.00	1.1392e+05
486.50	1.1310e+05
487.00	1.1202e+05
487.50	1.1061e+05
488.00	1.0914e+05
488.50	1.0733e+05
489.00	1.0538e+05
489.50	1.0315e+05
490.00	1.0086e+05
490.50	98266
491.00	95582
491.50	92654
492.00	89665
492.50	86356
493.00	83137
493.50	79655
494.00	76154
494.50	72537
495.00	68999
495.50	65327
496.00	61756
496.50	58130
497.00	54679
497.50	51204
498.00	47879
498.50	44625
499.00	41555
499.50	38554
500.00	35781
500.50	33067
501.00	30580
501.50	28131
502.00	25912
502.50	23751
503.00	21804
503.50	19953
504.00	18262
504.50	16655
505.00	15278
505.50	13883
506.00	12645
506.50	11528
507.00	10497
507.50	9491.0
508.00	8675.6
508.50	7869.4
509.00	7104.7
509.50	6468.7
510.00	5873.1
510.50	5306.1
511.00	4785.1
511.50	4405.6
