Wavelength (nm)	Q05 abs e
300.00	15077
300.25	16140
300.50	14881
300.75	15168
301.00	11634
301.25	11980
301.50	14247
301.75	14986
302.00	15802
302.25	15346
302.50	16272
302.75	17676
303.00	13225
303.25	15086
303.50	15807
303.75	14753
304.00	14648
304.25	14635
304.50	18260
304.75	14607
305.00	15720
305.25	16805
305.50	15757
305.75	15747
306.00	15642
306.25	16783
306.50	17389
306.75	13805
307.00	16960
307.25	15857
307.50	16988
307.75	16441
308.00	17070
308.25	18342
308.50	13850
308.75	16162
309.00	17480
309.25	15556
309.50	16719
309.75	19519
310.00	20522
310.25	19437
310.50	18985
310.75	22109
311.00	17549
311.25	12669
311.50	21662
311.75	19482
312.00	18201
312.25	16577
312.50	20504
312.75	18333
313.00	20750
313.25	20650
313.50	23030
313.75	24928
314.00	22611
314.25	18164
314.50	22374
314.75	19692
315.00	24462
315.25	21188
315.50	22105
315.75	20841
316.00	24367
316.25	22775
316.50	22128
316.75	23569
317.00	22729
317.25	22260
317.50	24038
317.75	22935
318.00	22921
318.25	20052
318.50	23965
318.75	27354
319.00	21886
319.25	22834
319.50	21530
319.75	25334
320.00	23952
320.25	20591
320.50	24212
320.75	26478
321.00	26597
321.25	26360
321.50	21275
321.75	21494
322.00	26811
322.25	26182
322.50	24545
322.75	23140
323.00	26688
323.25	24348
323.50	28188
323.75	26086
324.00	25188
324.25	22926
324.50	24120
324.75	26665
325.00	28914
325.25	28061
325.50	25343
325.75	24344
326.00	25662
326.25	28991
326.50	28421
326.75	26278
327.00	26907
327.25	26679
327.50	27846
327.75	28872
328.00	26173
328.25	28188
328.50	24969
328.75	26579
329.00	25780
329.25	27947
329.50	27596
329.75	26118
330.00	26770
330.25	28093
330.50	29415
330.75	29078
331.00	29520
331.25	26118
331.50	30222
331.75	27837
332.00	26246
332.25	24823
332.50	25115
332.75	25780
333.00	28731
333.25	28111
333.50	30729
333.75	30779
334.00	27696
334.25	27810
334.50	25954
334.75	26337
335.00	29921
335.25	29588
335.50	31308
335.75	28590
336.00	30350
336.25	28494
336.50	28617
336.75	26387
337.00	25730
337.25	28553
337.50	28385
337.75	27696
338.00	28357
338.25	28129
338.50	27194
338.75	29538
339.00	27436
339.25	26880
339.50	26930
339.75	25429
340.00	25689
340.25	24782
340.50	26091
340.75	26601
341.00	25005
341.25	26054
341.50	23067
341.75	24175
342.00	23395
342.25	24348
342.50	27199
342.75	27258
343.00	24225
343.25	26054
343.50	23263
343.75	22693
344.00	22442
344.25	21986
344.50	24390
344.75	22310
345.00	22693
345.25	22556
345.50	19305
345.75	21512
346.00	22451
346.25	22356
346.50	26141
346.75	22328
347.00	23331
347.25	21489
347.50	21252
347.75	22337
348.00	21430
348.25	20933
348.50	21717
348.75	20326
349.00	20290
349.25	23322
349.50	19040
349.75	19925
350.00	22802
350.25	20007
350.50	21671
350.75	21247
351.00	19907
351.25	21270
351.50	23418
351.75	21644
352.00	20787
352.25	20759
352.50	19359
352.75	19346
353.00	19660
353.25	22488
353.50	20235
353.75	20732
354.00	20281
354.25	20436
354.50	20604
354.75	21662
355.00	20075
355.25	17033
355.50	19145
355.75	21024
356.00	20208
356.25	20335
356.50	19437
356.75	21576
357.00	17841
357.25	21357
357.50	19227
357.75	21471
358.00	20942
358.25	19533
358.50	20613
358.75	19884
359.00	18452
359.25	20367
359.50	18461
359.75	20572
360.00	17234
360.25	17298
360.50	19355
360.75	18105
361.00	19013
361.25	19770
361.50	19692
361.75	18972
362.00	17936
362.25	19090
362.50	19031
362.75	18985
363.00	19086
363.25	17690
363.50	18146
363.75	19911
364.00	18155
364.25	19523
364.50	20832
364.75	20527
365.00	20372
365.25	19473
365.50	20052
365.75	20363
366.00	19309
366.25	18434
366.50	20171
366.75	21138
367.00	20011
367.25	21334
367.50	20349
367.75	19674
368.00	19482
368.25	20317
368.50	20467
368.75	19063
369.00	19783
369.25	20467
369.50	19989
369.75	19916
370.00	21567
370.25	20618
370.50	18237
370.75	19473
371.00	21817
371.25	19254
371.50	20144
371.75	20823
372.00	19637
372.25	21288
372.50	20518
372.75	21361
373.00	21671
373.25	21571
373.50	21827
373.75	20568
374.00	21931
374.25	21079
374.50	22967
374.75	22711
375.00	22196
375.25	22588
375.50	21927
375.75	21384
376.00	23404
376.25	23746
376.50	23409
376.75	21931
377.00	22077
377.25	23496
377.50	24877
377.75	22825
378.00	23788
378.25	26437
378.50	25822
378.75	24093
379.00	26209
379.25	25484
379.50	26136
379.75	24668
380.00	25552
380.25	26980
380.50	27098
