Wavelength (nm)	R02 abs e
300.00	12097
301.00	12096
302.00	12053
303.00	11992
304.00	11933
305.00	11833
306.00	11709
307.00	11568
308.00	11389
309.00	11230
310.00	11068
311.00	10905
312.00	10740
313.00	10576
314.00	10443
315.00	10313
316.00	10181
317.00	10084
318.00	9997.3
319.00	9922.2
320.00	9848.4
321.00	9783.4
322.00	9723.4
323.00	9677.8
324.00	9631.8
325.00	9616.0
326.00	9593.4
327.00	9578.3
328.00	9561.8
329.00	9561.4
330.00	9577.1
331.00	9566.9
332.00	9570.3
333.00	9558.2
334.00	9535.5
335.00	9537.0
336.00	9528.8
337.00	9504.9
338.00	9497.7
339.00	9485.7
340.00	9460.5
341.00	9451.3
342.00	9445.2
343.00	9432.1
344.00	9419.2
345.00	9453.6
346.00	9479.5
347.00	9533.7
348.00	9579.4
349.00	9628.6
350.00	9659.1
351.00	9715.4
352.00	9803.0
353.00	9836.2
354.00	9861.3
355.00	9910.7
356.00	9955.0
357.00	10028
358.00	10097
359.00	10042
360.00	10084
361.00	10235
362.00	10409
363.00	10563
364.00	10771
365.00	10830
366.00	10974
367.00	11602
368.00	12559
369.00	13655
370.00	14475
371.00	15123
372.00	15856
373.00	16762
374.00	17880
375.00	19094
376.00	20371
377.00	21830
378.00	23211
379.00	24670
380.00	26063
381.00	27620
382.00	29157
383.00	30761
384.00	32378
385.00	34061
386.00	35697
387.00	37512
388.00	39452
389.00	41450
390.00	43690
391.00	46264
392.00	49162
393.00	52193
394.00	55643
395.00	59667
396.00	64144
397.00	69093
398.00	74559
399.00	79625
400.00	85027
401.00	90776
402.00	96339
403.00	1.0143e+05
404.00	1.0620e+05
405.00	1.0992e+05
406.00	1.1232e+05
407.00	1.1352e+05
408.00	1.1400e+05
409.00	1.1357e+05
410.00	1.1221e+05
411.00	1.1065e+05
412.00	1.0870e+05
413.00	1.0671e+05
414.00	1.0491e+05
415.00	1.0343e+05
416.00	1.0201e+05
417.00	1.0083e+05
