Wavelength (nm)	S05 abs e
290.00	16026
291.00	16379
292.00	16770
293.00	17218
294.00	17777
295.00	18349
296.00	18975
297.00	19617
298.00	20394
299.00	21100
300.00	21939
301.00	22826
302.00	23722
303.00	24672
304.00	25677
305.00	26702
306.00	27759
307.00	28883
308.00	30009
309.00	31239
310.00	32536
311.00	33841
312.00	35232
313.00	36623
314.00	38062
315.00	39587
316.00	41085
317.00	42550
318.00	44079
319.00	45601
320.00	47052
321.00	48526
322.00	49799
323.00	51031
324.00	52042
325.00	52888
326.00	53488
327.00	53865
328.00	54023
329.00	53910
330.00	53637
331.00	53143
332.00	52386
333.00	51503
334.00	50529
335.00	49509
336.00	48394
337.00	47175
338.00	46059
339.00	44989
340.00	43898
341.00	42816
342.00	41914
343.00	40978
344.00	40105
345.00	39274
346.00	38470
347.00	37821
348.00	37163
349.00	36555
350.00	36022
351.00	35534
352.00	35070
353.00	34587
354.00	34157
355.00	33746
356.00	33360
357.00	32985
358.00	32589
359.00	32150
360.00	31668
361.00	31147
362.00	30651
363.00	30118
364.00	29536
365.00	28949
366.00	28316
367.00	27692
368.00	27046
369.00	26515
370.00	25893
371.00	25384
372.00	24788
373.00	24234
374.00	23737
375.00	23359
376.00	23028
377.00	22655
378.00	22335
379.00	22130
380.00	21939
381.00	21749
382.00	21632
383.00	21546
384.00	21487
385.00	21433
386.00	21424
387.00	21483
388.00	21554
389.00	21596
390.00	21639
391.00	21813
392.00	21889
393.00	22004
394.00	22133
395.00	22186
396.00	22287
397.00	22428
398.00	22512
399.00	22571
400.00	22614
401.00	22639
402.00	22740
403.00	22758
404.00	22774
405.00	22726
406.00	22725
407.00	22764
408.00	22697
409.00	22607
410.00	22560
411.00	22561
412.00	22424
413.00	22345
414.00	22281
415.00	22184
416.00	22047
417.00	21937
418.00	21812
419.00	21655
420.00	21581
421.00	21447
422.00	21323
423.00	21219
424.00	21041
425.00	20963
426.00	20832
427.00	20679
428.00	20519
429.00	20407
430.00	20217
431.00	20080
432.00	19904
433.00	19740
434.00	19597
435.00	19466
436.00	19312
437.00	19089
438.00	18946
439.00	18747
440.00	18615
441.00	18429
442.00	18234
443.00	18044
444.00	17872
445.00	17664
446.00	17506
447.00	17326
448.00	17124
449.00	16857
450.00	16595
451.00	16406
452.00	16208
453.00	15936
454.00	15678
455.00	15418
456.00	15131
457.00	14781
458.00	14486
459.00	14229
460.00	13952
461.00	13639
462.00	13310
463.00	13011
464.00	12627
465.00	12297
466.00	12022
467.00	11720
468.00	11409
469.00	11056
470.00	10801
471.00	10473
472.00	10174
473.00	9901.0
474.00	9547.0
475.00	9250.7
476.00	8969.6
477.00	8571.0
478.00	8314.1
479.00	8042.3
480.00	7706.8
481.00	7412.0
482.00	7180.1
483.00	6806.9
484.00	6516.8
485.00	6149.8
486.00	5937.4
487.00	5775.3
488.00	5547.5
489.00	5274.0
490.00	4953.6
491.00	4746.1
492.00	4517.3
493.00	4280.0
494.00	4138.9
495.00	3933.6
496.00	3739.3
497.00	3540.9
498.00	3377.4
499.00	3213.3
500.00	3040.5
501.00	2844.8
502.00	2668.2
503.00	2491.9
504.00	2338.2
505.00	2373.4
506.00	2116.7
507.00	2053.1
508.00	1838.3
509.00	1703.3
510.00	1638.4
511.00	1507.8
512.00	1511.8
513.00	1369.7
514.00	1300.9
515.00	1269.0
516.00	1208.5
517.00	1079.7
518.00	1051.8
519.00	1013.3
520.00	889.59
521.00	965.16
522.00	944.76
523.00	837.87
524.00	830.77
525.00	730.08
526.00	810.82
527.00	772.27
528.00	616.73
529.00	686.03
530.00	598.06
531.00	560.47
532.00	558.93
533.00	601.00
534.00	604.52
535.00	549.15
536.00	576.07
537.00	679.76
538.00	573.83
539.00	506.44
540.00	555.03
541.00	605.16
542.00	580.03
543.00	545.25
544.00	554.78
545.00	593.20
546.00	605.47
547.00	605.67
548.00	581.37
549.00	575.49
550.00	576.19
551.00	633.29
552.00	662.76
553.00	612.83
554.00	633.35
555.00	688.52
556.00	667.55
557.00	711.28
558.00	736.60
559.00	735.51
560.00	793.69
561.00	782.63
562.00	795.03
563.00	845.92
564.00	838.57
565.00	928.52
566.00	911.77
567.00	933.89
568.00	1002.7
569.00	1005.2
570.00	1009.3
571.00	1081.3
572.00	1123.6
573.00	1154.6
574.00	1171.0
575.00	1214.6
576.00	1270.6
577.00	1287.8
578.00	1327.1
579.00	1386.7
580.00	1448.3
581.00	1501.0
582.00	1550.0
583.00	1602.6
584.00	1702.3
585.00	1776.3
586.00	1859.3
587.00	1982.2
588.00	2064.9
589.00	2160.0
590.00	2305.4
591.00	2454.5
592.00	2605.9
593.00	2727.1
594.00	2883.1
595.00	2985.4
596.00	3129.2
597.00	3336.5
598.00	3470.4
599.00	3630.7
600.00	3749.3
601.00	3893.9
602.00	4027.8
603.00	4160.5
604.00	4282.8
605.00	4450.9
606.00	4544.2
607.00	4688.7
608.00	4838.3
609.00	4958.2
610.00	5101.9
611.00	5266.9
612.00	5412.5
613.00	5602.4
614.00	5756.4
615.00	5929.3
616.00	6113.0
617.00	6328.2
618.00	6527.0
619.00	6717.4
620.00	6984.5
621.00	7135.9
622.00	7396.3
623.00	7603.2
624.00	7811.3
625.00	7997.9
626.00	8224.3
627.00	8394.0
628.00	8643.4
629.00	8781.1
630.00	9043.4
631.00	9209.8
632.00	9538.1
633.00	9785.8
634.00	10110
635.00	10487
636.00	10747
637.00	11105
638.00	11495
639.00	11928
640.00	12404
641.00	12957
642.00	13635
643.00	14301
644.00	15083
645.00	15983
646.00	16953
647.00	17867
648.00	18979
649.00	20120
650.00	21117
651.00	22205
652.00	23145
653.00	24172
654.00	25180
655.00	26659
656.00	27184
657.00	27632
658.00	28383
659.00	29198
660.00	29720
661.00	30159
662.00	30601
663.00	31174
664.00	31354
665.00	31600
666.00	31930
667.00	32025
668.00	32161
669.00	32355
670.00	32302
671.00	32305
672.00	32299
673.00	32373
674.00	32451
675.00	32355
676.00	32392
677.00	32558
678.00	32502
679.00	32590
680.00	32709
681.00	32825
682.00	33010
683.00	33325
684.00	33547
685.00	33741
686.00	34134
687.00	34405
688.00	34701
689.00	35120
690.00	35363
691.00	35570
692.00	35876
693.00	36034
694.00	36168
695.00	36270
696.00	36392
697.00	36370
698.00	36301
699.00	36276
700.00	36261
701.00	36246
702.00	36135
703.00	36023
704.00	36128
705.00	36303
706.00	36441
707.00	36776
708.00	37260
709.00	37959
710.00	38798
711.00	39998
712.00	41309
713.00	42856
714.00	44790
