Wavelength (nm)	T07 abs e
300.00	7455.0
301.00	7466.7
302.00	7483.2
303.00	7493.5
304.00	7537.6
305.00	7593.6
306.00	7682.9
307.00	7782.5
308.00	7844.8
309.00	7908.4
310.00	8003.6
311.00	8061.8
312.00	8098.0
313.00	8138.3
314.00	8207.7
315.00	8260.6
316.00	8303.9
317.00	8369.3
318.00	8453.6
319.00	8534.3
320.00	8646.4
321.00	8805.2
322.00	8951.7
323.00	9142.9
324.00	9341.7
325.00	9569.6
326.00	9868.2
327.00	10154
328.00	10451
329.00	10811
330.00	11226
331.00	11676
332.00	12145
333.00	12673
334.00	13214
335.00	13783
336.00	14343
337.00	14923
338.00	15518
339.00	16089
340.00	16646
341.00	17216
342.00	17800
343.00	18377
344.00	18967
345.00	19553
346.00	20171
347.00	20803
348.00	21463
349.00	22164
350.00	22906
351.00	23674
352.00	24487
353.00	25324
354.00	26163
355.00	26926
356.00	27590
357.00	28144
358.00	28550
359.00	28936
360.00	29362
361.00	29732
362.00	29979
363.00	30136
364.00	30217
365.00	30200
366.00	30125
367.00	30044
368.00	29937
369.00	29748
370.00	29562
371.00	29447
372.00	29277
373.00	29177
374.00	29231
375.00	29196
376.00	29233
377.00	29350
378.00	29566
379.00	29754
380.00	30059
381.00	30374
382.00	30831
383.00	31312
384.00	31877
385.00	32549
386.00	33346
387.00	34214
388.00	35122
389.00	36097
390.00	37193
391.00	38754
392.00	40127
393.00	41658
394.00	43078
395.00	44710
396.00	46569
397.00	48494
398.00	50470
399.00	52127
400.00	53702
401.00	55730
402.00	57830
403.00	59808
404.00	62092
405.00	64555
406.00	66663
407.00	68928
408.00	71590
409.00	74633
410.00	77190
411.00	79295
412.00	81913
413.00	83245
414.00	83186
415.00	82827
416.00	81624
417.00	79837
418.00	77170
419.00	73771
420.00	70179
421.00	66339
422.00	62288
423.00	57989
424.00	53549
425.00	49254
426.00	44785
427.00	40321
428.00	36562
429.00	32237
430.00	28576
431.00	25227
432.00	22045
433.00	19065
434.00	16557
435.00	14469
436.00	12588
437.00	11042
438.00	9698.4
439.00	8607.6
440.00	7631.8
441.00	6799.1
442.00	6176.0
443.00	5555.6
444.00	5081.9
445.00	4623.4
446.00	4253.3
447.00	3943.4
448.00	3664.9
449.00	3372.9
450.00	3158.9
451.00	2946.1
452.00	2805.5
453.00	2628.9
454.00	2515.1
455.00	2395.0
456.00	2297.1
457.00	2221.5
458.00	2102.6
459.00	2025.1
460.00	1962.0
461.00	1967.1
462.00	1952.9
463.00	1887.6
464.00	1980.1
465.00	1982.7
466.00	2022.4
467.00	2109.1
468.00	2211.4
469.00	2264.0
470.00	2387.0
471.00	2569.9
472.00	2717.5
473.00	2830.8
474.00	2955.4
475.00	3036.8
476.00	3123.7
477.00	3214.9
478.00	3285.7
479.00	3281.1
480.00	3308.1
481.00	3334.5
482.00	3326.0
483.00	3276.0
484.00	3221.2
485.00	3114.9
486.00	3080.9
487.00	2913.2
488.00	2907.1
489.00	2840.1
490.00	2741.8
491.00	2623.5
492.00	2609.8
493.00	2656.3
494.00	2679.0
495.00	2746.4
496.00	2934.1
497.00	3073.5
498.00	3259.7
499.00	3537.4
500.00	3730.3
501.00	4059.1
502.00	4303.3
503.00	4593.2
504.00	4757.1
505.00	4955.3
506.00	5089.7
507.00	5214.2
508.00	5274.6
509.00	5245.5
510.00	5221.5
511.00	5135.0
512.00	4909.3
513.00	4684.7
514.00	4434.7
515.00	4105.1
516.00	3819.3
517.00	3545.0
518.00	3211.3
519.00	2977.0
520.00	2763.1
521.00	2603.4
522.00	2410.9
523.00	2361.9
524.00	2357.5
525.00	2317.7
526.00	2245.5
527.00	2324.2
528.00	2401.1
529.00	2513.5
530.00	2669.4
531.00	2929.0
532.00	3304.0
533.00	3781.6
534.00	4336.2
535.00	4974.7
536.00	5692.8
537.00	6680.6
538.00	7834.9
539.00	9058.0
540.00	10256
541.00	11618
542.00	12905
543.00	13884
544.00	14715
545.00	15154
546.00	15125
547.00	14732
548.00	13967
549.00	12903
550.00	11739
551.00	10447
552.00	9134.8
553.00	7871.3
554.00	6846.3
555.00	5738.3
556.00	4925.5
557.00	4187.9
558.00	3590.0
559.00	3062.6
560.00	2622.8
561.00	2243.9
562.00	1992.5
563.00	1748.3
564.00	1618.8
565.00	1462.4
566.00	1333.8
567.00	1223.2
568.00	1161.2
569.00	1132.3
570.00	1077.8
571.00	1065.6
572.00	1062.6
573.00	1064.8
574.00	1093.7
575.00	1103.4
576.00	1131.3
577.00	1161.2
578.00	1206.2
579.00	1227.5
580.00	1265.8
581.00	1319.5
582.00	1361.5
583.00	1383.5
584.00	1409.8
585.00	1446.9
586.00	1462.4
587.00	1501.2
588.00	1496.5
589.00	1512.8
590.00	1536.0
591.00	1523.1
592.00	1523.5
593.00	1521.8
594.00	1521.3
595.00	1520.2
596.00	1510.5
597.00	1508.0
598.00	1485.0
599.00	1483.1
600.00	1450.6
601.00	1456.8
602.00	1440.1
603.00	1428.7
604.00	1413.0
605.00	1406.7
606.00	1397.1
607.00	1390.1
608.00	1391.3
609.00	1398.1
610.00	1390.2
611.00	1389.5
612.00	1396.0
613.00	1422.8
614.00	1443.0
615.00	1477.1
616.00	1511.4
617.00	1556.2
618.00	1609.7
619.00	1686.2
620.00	1787.7
621.00	1869.2
622.00	2007.6
623.00	2141.2
624.00	2301.4
625.00	2468.7
626.00	2661.7
627.00	2906.0
628.00	3116.7
629.00	3354.5
630.00	3602.3
631.00	3841.0
632.00	4108.5
633.00	4339.3
634.00	4586.4
635.00	4794.7
636.00	4988.6
637.00	5140.1
638.00	5286.3
639.00	5431.8
640.00	5538.6
641.00	5607.4
642.00	5662.4
643.00	5715.1
644.00	5735.2
645.00	5720.9
646.00	5711.7
647.00	5687.6
648.00	5686.4
649.00	5651.8
650.00	5561.0
651.00	5512.7
652.00	5408.0
653.00	5322.9
654.00	5217.5
655.00	5136.6
656.00	5186.6
657.00	4911.1
658.00	4969.9
659.00	4812.9
660.00	4827.4
661.00	4805.1
662.00	4786.5
663.00	4668.6
664.00	4660.0
665.00	4686.7
666.00	4662.0
667.00	4675.9
668.00	4654.2
669.00	4618.4
670.00	4618.4
671.00	4642.7
672.00	4667.7
673.00	4743.5
674.00	4885.6
675.00	4990.7
676.00	5187.9
677.00	5426.5
678.00	5759.7
679.00	6174.2
680.00	6621.9
681.00	7247.9
682.00	7966.5
683.00	8856.2
684.00	9901.3
685.00	11096
686.00	12339
687.00	13896
688.00	15577
689.00	17546
690.00	19650
691.00	21924
692.00	24186
693.00	26735
694.00	29170
695.00	31711
696.00	33950
697.00	36349
698.00	38194
699.00	39699
700.00	40853
701.00	41395
702.00	41800
703.00	41472
704.00	40589
705.00	39346
706.00	37644
707.00	35690
708.00	33303
709.00	30685
710.00	27939
711.00	25206
712.00	22406
713.00	19721
714.00	17295
715.00	14968
716.00	12946
717.00	11038
718.00	9336.0
719.00	7887.6
720.00	6625.9
721.00	5552.9
722.00	4698.4
723.00	3934.4
724.00	3309.6
725.00	2747.1
726.00	2327.1
727.00	1991.4
728.00	1664.5
729.00	1441.6
730.00	1309.9
731.00	1113.5
732.00	1001.9
733.00	883.13
734.00	789.89
735.00	712.76
736.00	642.31
737.00	593.54
738.00	584.87
739.00	527.32
740.00	485.57
741.00	475.17
742.00	438.42
743.00	397.89
744.00	388.96
745.00	366.54
746.00	332.95
747.00	361.10
748.00	344.56
749.00	299.03
750.00	335.41
751.00	289.55
752.00	294.58
753.00	299.77
754.00	270.66
755.00	267.98
756.00	253.87
757.00	234.57
758.00	235.01
759.00	242.18
760.00	213.92
761.00	224.91
762.00	219.03
763.00	222.92
764.00	205.03
765.00	212.41
766.00	203.19
767.00	189.96
768.00	165.92
769.00	184.92
770.00	208.96
771.00	200.17
772.00	197.79
773.00	173.49
774.00	158.83
775.00	154.75
776.00	174.45
777.00	164.97
778.00	168.53
779.00	115.43
780.00	144.28
781.00	154.79
782.00	170.92
783.00	141.12
784.00	159.35
785.00	106.35
786.00	162.65
787.00	136.52
788.00	147.62
789.00	124.14
790.00	142.15
791.00	125.10
792.00	110.43
793.00	140.16
794.00	116.24
795.00	138.32
796.00	172.10
797.00	105.69
798.00	141.26
799.00	134.06
800.00	140.97
