Wavelength (nm)	FL009 [3] 494-12-2, Flavan [C]
210.00	7604.5
211.00	7646.9
212.00	7623.2
213.00	7567.0
214.00	7527.9
215.00	7567.3
216.00	7583.3
217.00	7515.7
218.00	7522.6
219.00	7495.1
220.00	7395.2
221.00	7212.0
222.00	7016.5
223.00	6786.0
224.00	6603.7
225.00	6438.4
226.00	6253.1
227.00	6037.8
228.00	5783.8
229.00	5475.3
230.00	5097.9
231.00	4616.9
232.00	4033.0
233.00	3362.0
234.00	2690.1
235.00	2064.5
236.00	1549.3
237.00	1142.4
238.00	845.93
239.00	643.58
240.00	507.61
241.00	421.25
242.00	365.93
243.00	331.71
244.00	317.57
245.00	318.88
246.00	328.74
247.00	338.84
248.00	350.05
249.00	371.08
250.00	407.97
251.00	450.92
252.00	479.33
253.00	499.18
254.00	529.39
255.00	577.12
256.00	647.54
257.00	724.94
258.00	771.15
259.00	805.26
260.00	855.15
261.00	918.14
262.00	992.31
263.00	1091.9
264.00	1171.4
265.00	1241.4
266.00	1326.5
267.00	1417.7
268.00	1490.9
269.00	1551.1
270.00	1620.7
271.00	1714.7
272.00	1834.6
273.00	1959.0
274.00	2054.0
275.00	2100.0
276.00	2094.6
277.00	2033.9
278.00	1918.4
279.00	1788.5
280.00	1731.6
281.00	1820.3
282.00	2002.7
283.00	2050.0
284.00	1785.3
285.00	1313.4
286.00	854.06
287.00	520.80
288.00	313.98
289.00	193.18
290.00	121.25
291.00	78.449
292.00	51.930
293.00	35.461
294.00	25.182
295.00	18.351
296.00	13.742
297.00	10.851
298.00	8.9660
299.00	7.7246
300.00	7.1929
301.00	6.8763
302.00	6.2740
303.00	6.2799
304.00	6.4154
305.00	6.2063
306.00	6.3049
307.00	6.6171
308.00	6.3138
309.00	6.1901
310.00	6.4006
311.00	6.5538
312.00	6.6775
313.00	6.4360
314.00	6.2342
315.00	6.3373
316.00	6.0251
317.00	6.2269
318.00	6.0693
319.00	6.3815
320.00	6.0855
321.00	5.8852
322.00	5.8911
323.00	6.0619
324.00	5.8808
325.00	6.1194
326.00	6.2387
327.00	5.8425
328.00	5.8617
329.00	5.9456
330.00	5.7453
331.00	5.4655
332.00	5.6849
333.00	5.4375
334.00	5.5274
335.00	5.5627
336.00	5.2903
337.00	5.0163
338.00	5.4611
339.00	5.5141
340.00	4.9398
341.00	5.2903
342.00	5.2181
343.00	5.2785
344.00	5.3035
345.00	5.3506
346.00	5.4552
347.00	5.3124
348.00	5.4743
349.00	5.4537
350.00	5.5804
351.00	5.6820
352.00	5.3801
353.00	5.5200
354.00	5.7924
355.00	5.8366
356.00	5.7159
357.00	5.7306
358.00	5.6584
359.00	5.7998
360.00	5.5553
361.00	5.3830
362.00	5.5023
363.00	5.3477
364.00	5.1386
365.00	5.6481
366.00	5.6422
367.00	6.0899
368.00	5.8248
369.00	5.9868
370.00	5.8513
371.00	6.3962
372.00	6.2225
373.00	6.2063
374.00	6.5096
375.00	6.6539
376.00	6.7703
377.00	6.6672
378.00	6.6245
379.00	6.6039
380.00	6.7291
381.00	6.9367
382.00	6.9986
383.00	6.8410
384.00	7.3667
385.00	7.0339
386.00	6.7423
387.00	7.4639
388.00	7.5817
389.00	6.9264
390.00	6.9176
391.00	6.8778
392.00	8.0088
393.00	6.4684
394.00	7.1443
395.00	7.3756
396.00	7.6819
397.00	7.7746
398.00	7.3535
399.00	6.8940
400.00	7.8115
401.00	7.7305
402.00	7.4212
403.00	7.4374
404.00	7.9514
405.00	7.6127
406.00	6.5597
407.00	7.3417
408.00	7.7187
409.00	7.1723
410.00	6.8277
411.00	7.3785
412.00	7.4080
413.00	7.0044
414.00	6.9338
415.00	7.0575
416.00	7.1311
417.00	7.0030
418.00	6.8645
419.00	6.9264
420.00	7.2033
421.00	7.3859
422.00	6.3756
423.00	6.4654
424.00	6.7364
425.00	6.0251
426.00	6.2873
427.00	6.3403
428.00	5.5818
429.00	6.4978
430.00	5.5863
431.00	5.0281
432.00	5.5126
433.00	5.8381
434.00	5.3006
435.00	5.1342
436.00	5.5362
437.00	4.7940
438.00	4.7851
439.00	4.3183
440.00	4.8514
441.00	5.1695
442.00	4.5304
443.00	4.9854
444.00	3.8367
445.00	3.9442
446.00	4.2388
447.00	3.4480
448.00	3.6438
449.00	4.0900
450.00	3.7219
451.00	3.0312
452.00	3.0194
453.00	3.5363
454.00	3.6203
455.00	3.2359
456.00	3.0150
457.00	3.3537
458.00	2.9296
459.00	3.1092
460.00	2.6778
461.00	2.9178
462.00	2.3832
463.00	2.9473
464.00	2.6380
465.00	3.0680
466.00	2.4907
467.00	2.0548
468.00	2.1343
469.00	2.5158
470.00	2.2816
471.00	2.3567
472.00	2.1122
473.00	2.3464
474.00	2.0725
475.00	2.7970
476.00	2.0637
477.00	2.0460
478.00	2.2684
479.00	2.0239
480.00	2.2875
481.00	1.7426
482.00	2.4083
483.00	2.3376
484.00	1.0917
485.00	0.87834
486.00	1.7058
487.00	1.1359
488.00	1.9355
489.00	1.3347
490.00	1.0460
491.00	1.4731
492.00	1.3906
493.00	1.8074
494.00	1.5364
495.00	1.8501
496.00	1.3877
497.00	0.84576
498.00	1.6557
499.00	1.5276
500.00	1.7426
