Wavelength (nm)	FL011 [4] 487-25-2, Flavan-4-ol [D]
220.00	11375
221.00	10518
222.00	9671.4
223.00	8908.3
224.00	8426.8
225.00	8143.0
226.00	7929.7
227.00	7698.4
228.00	7118.8
229.00	6482.1
230.00	5825.3
231.00	5125.7
232.00	4418.9
233.00	3702.5
234.00	3045.0
235.00	2529.4
236.00	2000.7
237.00	1615.8
238.00	1203.9
239.00	867.91
240.00	634.64
241.00	483.88
242.00	374.05
243.00	303.03
244.00	247.17
245.00	225.07
246.00	212.86
247.00	235.69
248.00	260.01
249.00	307.63
250.00	355.25
251.00	401.60
252.00	447.47
253.00	496.89
254.00	548.87
255.00	595.56
256.00	641.80
257.00	679.25
258.00	708.61
259.00	737.96
260.00	767.45
261.00	796.95
262.00	822.97
263.00	848.66
264.00	881.07
265.00	919.94
266.00	968.92
267.00	1042.7
268.00	1131.1
269.00	1237.4
270.00	1340.9
271.00	1441.3
272.00	1539.8
273.00	1633.1
274.00	1723.9
275.00	1811.0
276.00	1861.5
277.00	1886.9
278.00	1839.2
279.00	1724.5
280.00	1626.0
281.00	1574.7
282.00	1674.9
283.00	1766.5
284.00	1807.2
285.00	1679.3
286.00	1450.3
287.00	1144.7
288.00	876.58
289.00	633.53
290.00	427.99
291.00	310.58
292.00	221.57
293.00	147.87
294.00	94.965
295.00	54.832
296.00	36.059
297.00	22.057
298.00	19.190
299.00	16.322
300.00	13.455
301.00	10.588
302.00	10.588
303.00	10.588
304.00	10.588
305.00	10.588
306.00	10.588
307.00	10.588
308.00	10.588
309.00	10.588
310.00	10.588
311.00	10.588
312.00	10.588
313.00	10.588
314.00	10.588
315.00	10.588
316.00	10.588
317.00	10.588
318.00	10.588
319.00	10.588
320.00	10.588
321.00	10.588
322.00	10.588
323.00	10.588
324.00	10.588
325.00	10.588
326.00	10.588
327.00	10.588
328.00	10.588
329.00	10.588
330.00	10.588
331.00	10.588
332.00	10.588
333.00	10.588
334.00	10.588
335.00	10.588
336.00	10.588
337.00	10.588
338.00	10.588
339.00	10.588
340.00	10.588
341.00	10.588
342.00	10.588
343.00	10.588
344.00	10.588
345.00	10.588
346.00	10.588
347.00	10.588
348.00	10.588
349.00	10.588
350.00	10.588
