Wavelength (nm)	FL020 [7] 10499-13-5, JOC 1967_2317, 7a [D]
243.00	10455
244.00	10007
245.00	9562.8
246.00	9157.5
247.00	8759.1
248.00	8388.0
249.00	8012.5
250.00	7624.6
251.00	7237.9
252.00	6855.0
253.00	6423.9
254.00	5920.3
255.00	5534.7
256.00	5164.9
257.00	4888.9
258.00	4718.4
259.00	4608.6
260.00	4562.9
261.00	4578.5
262.00	4649.0
263.00	4773.8
264.00	5025.0
265.00	5360.9
266.00	5783.1
267.00	6202.4
268.00	6628.3
269.00	7157.1
270.00	7614.0
271.00	8009.6
272.00	8386.7
273.00	8756.5
274.00	9116.5
275.00	9471.4
276.00	9768.9
277.00	10045
278.00	10333
279.00	10569
280.00	10717
281.00	10811
282.00	10889
283.00	10963
284.00	11002
285.00	11024
286.00	10978
287.00	10920
288.00	10842
289.00	10731
290.00	10590
291.00	10457
292.00	10328
293.00	10199
294.00	10064
295.00	9929.2
296.00	9800.3
297.00	9712.0
298.00	9638.8
299.00	9599.3
300.00	9566.3
301.00	9561.5
302.00	9602.5
303.00	9671.9
304.00	9801.7
305.00	10024
306.00	10303
307.00	10618
308.00	10924
309.00	11224
310.00	11499
311.00	11771
312.00	12010
313.00	12233
314.00	12407
315.00	12501
316.00	12510
317.00	12435
318.00	12314
319.00	12157
320.00	11974
321.00	11630
322.00	11213
323.00	10765
324.00	10317
325.00	9869.7
326.00	9421.8
327.00	8973.9
328.00	8355.9
329.00	7714.3
330.00	7043.2
331.00	6294.0
332.00	5410.3
333.00	4590.8
334.00	3790.9
335.00	3039.4
336.00	2648.0
337.00	2338.7
338.00	2098.8
339.00	1847.2
340.00	1631.2
341.00	1476.9
342.00	1357.7
343.00	1250.1
