Wavelength (nm)	FL022 [7] 10499-09-9, JOC 1967_2317, 6 [D]
245.00	9025.4
246.00	8818.3
247.00	8434.6
248.00	8041.8
249.00	7643.0
250.00	7242.1
251.00	6837.1
252.00	6407.8
253.00	6001.0
254.00	5624.6
255.00	5286.9
256.00	5055.9
257.00	4979.4
258.00	5001.5
259.00	5125.3
260.00	5356.0
261.00	5691.9
262.00	6069.0
263.00	6456.3
264.00	6851.6
265.00	7250.6
266.00	7615.5
267.00	7982.9
268.00	8360.2
269.00	8726.5
270.00	9079.2
271.00	9427.4
272.00	9766.0
273.00	10103
274.00	10436
275.00	10674
276.00	10855
277.00	10934
278.00	10991
279.00	11035
280.00	11034
281.00	11010
282.00	10958
283.00	10883
284.00	10759
285.00	10608
286.00	10436
287.00	10247
288.00	10050
289.00	9842.8
290.00	9629.0
291.00	9420.5
292.00	9216.0
293.00	8986.5
294.00	8817.2
295.00	8695.7
296.00	8665.5
297.00	8720.5
298.00	8853.5
299.00	9122.0
300.00	9500.7
301.00	9956.5
302.00	10317
303.00	10673
304.00	11026
305.00	11362
306.00	11681
307.00	11998
308.00	12308
309.00	12613
310.00	12873
311.00	13112
312.00	13316
313.00	13436
314.00	13525
315.00	13572
316.00	13573
317.00	13540
318.00	13430
319.00	13295
320.00	13093
321.00	12814
322.00	12467
323.00	12094
324.00	11668
325.00	11203
326.00	10722
327.00	10170
328.00	9572.1
329.00	8844.3
330.00	8023.3
331.00	7145.4
332.00	5845.9
333.00	4335.0
334.00	3194.2
335.00	2570.3
336.00	2142.9
337.00	1811.7
338.00	1550.7
339.00	1313.4
340.00	1125.5
