Wavelngth (nm)	FL035 [8] 11013-97-1, Methyl Hesperidine [C]
210.00	65442
211.00	62568
212.00	59718
213.00	56846
214.00	54120
215.00	51544
216.00	49159
217.00	47106
218.00	45363
219.00	43976
220.00	42886
221.00	42097
222.00	41505
223.00	41100
224.00	40830
225.00	40649
226.00	40466
227.00	40110
228.00	39426
229.00	38407
230.00	37003
231.00	35303
232.00	33386
233.00	31131
234.00	28514
235.00	25561
236.00	22702
237.00	20129
238.00	17965
239.00	16178
240.00	14634
241.00	13315
242.00	12210
243.00	11289
244.00	10558
245.00	10013
246.00	9622.3
247.00	9362.3
248.00	9209.6
249.00	9148.2
250.00	9150.1
251.00	9207.7
252.00	9307.7
253.00	9448.3
254.00	9624.7
255.00	9838.3
256.00	10065
257.00	10321
258.00	10617
259.00	10940
260.00	11297
261.00	11709
262.00	12155
263.00	12670
264.00	13239
265.00	13859
266.00	14529
267.00	15247
268.00	16006
269.00	16799
270.00	17615
271.00	18455
272.00	19331
273.00	20213
274.00	21084
275.00	21926
276.00	22711
277.00	23419
278.00	24065
279.00	24616
280.00	25056
281.00	25407
282.00	25659
283.00	25839
284.00	25900
285.00	25817
286.00	25520
287.00	25011
288.00	24295
289.00	23431
290.00	22433
291.00	21401
292.00	20336
293.00	19292
294.00	18281
295.00	17348
296.00	16483
297.00	15710
298.00	15030
299.00	14453
300.00	13958
301.00	13547
302.00	13203
303.00	12920
304.00	12703
305.00	12537
306.00	12423
307.00	12342
308.00	12305
309.00	12311
310.00	12345
311.00	12398
312.00	12465
313.00	12556
314.00	12666
315.00	12785
316.00	12914
317.00	13065
318.00	13214
319.00	13373
320.00	13537
321.00	13706
322.00	13870
323.00	14044
324.00	14208
325.00	14374
326.00	14532
327.00	14677
328.00	14822
329.00	14953
330.00	15079
331.00	15196
332.00	15319
333.00	15417
334.00	15503
335.00	15577
336.00	15637
337.00	15692
338.00	15723
339.00	15735
340.00	15729
341.00	15708
342.00	15665
343.00	15600
344.00	15526
345.00	15434
346.00	15319
347.00	15194
348.00	15052
349.00	14898
350.00	14736
351.00	14563
352.00	14384
353.00	14190
354.00	13976
355.00	13763
356.00	13547
357.00	13325
358.00	13116
359.00	12900
360.00	12670
361.00	12433
362.00	12190
363.00	11945
364.00	11702
365.00	11461
366.00	11218
367.00	10973
368.00	10722
369.00	10478
370.00	10233
371.00	9990.7
372.00	9739.1
373.00	9504.2
374.00	9273.7
375.00	9043.7
376.00	8804.5
377.00	8559.6
378.00	8322.8
379.00	8089.2
380.00	7875.7
381.00	7651.8
382.00	7410.9
383.00	7189.6
384.00	6975.8
385.00	6741.6
386.00	6525.2
387.00	6303.7
388.00	6090.7
389.00	5876.3
390.00	5650.6
391.00	5426.7
392.00	5226.1
393.00	4996.5
394.00	4790.4
395.00	4571.2
396.00	4375.1
397.00	4167.3
398.00	3955.0
399.00	3766.2
400.00	3581.4
401.00	3392.0
402.00	3207.1
403.00	3026.9
404.00	2855.8
405.00	2695.5
406.00	2531.7
407.00	2381.5
408.00	2220.3
409.00	2090.0
410.00	1952.6
411.00	1826.7
412.00	1697.8
413.00	1570.5
414.00	1465.8
415.00	1369.1
416.00	1264.5
417.00	1164.9
418.00	1072.7
419.00	985.00
420.00	914.96
421.00	854.49
422.00	780.87
423.00	721.53
424.00	655.98
425.00	595.66
426.00	544.42
427.00	497.36
428.00	451.23
429.00	425.69
430.00	397.49
431.00	363.33
432.00	342.15
433.00	293.04
434.00	262.65
435.00	252.48
436.00	229.32
437.00	203.56
438.00	183.62
439.00	164.45
440.00	154.31
441.00	138.45
442.00	133.72
443.00	114.20
444.00	104.71
445.00	104.00
446.00	98.776
447.00	88.047
448.00	74.535
449.00	68.474
450.00	64.207
451.00	59.384
452.00	45.130
453.00	50.263
454.00	44.728
455.00	37.276
456.00	33.102
457.00	31.958
458.00	25.249
459.00	24.754
460.00	25.960
461.00	32.329
462.00	27.722
463.00	20.765
464.00	12.571
465.00	13.994
466.00	11.025
467.00	12.633
468.00	19.374
469.00	21.476
470.00	16.622
471.00	14.674
472.00	12.757
473.00	4.4086
474.00	7.5315
475.00	5.0888
476.00	18.724
477.00	20.765
478.00	7.0059
479.00	11.087
480.00	21.301
481.00	12.108
482.00	10.531
483.00	22.095
484.00	24.568
485.00	8.5775
486.00	19.987
487.00	46.075
488.00	43.646
489.00	25.651
490.00	31.773
491.00	24.043
492.00	18.663
493.00	32.484
494.00	19.065
495.00	21.724
496.00	20.796
497.00	16.622
498.00	34.617
499.00	36.936
500.00	34.617
