Wavelength (nm)	FL073 [11] 2196-14-7, 4',7-Dihydroxyflavone [D]
215.00	26776
216.00	24226
217.00	22363
218.00	20841
219.00	20338
220.00	20244
221.00	20219
222.00	20277
223.00	20363
224.00	20540
225.00	20659
226.00	20742
227.00	20783
228.00	20808
229.00	20832
230.00	20765
231.00	20545
232.00	19883
233.00	18347
234.00	16894
235.00	15562
236.00	14332
237.00	13577
238.00	13062
239.00	12843
240.00	12624
241.00	12466
242.00	12347
243.00	12228
244.00	12132
245.00	12057
246.00	11982
247.00	11907
248.00	11841
249.00	11782
250.00	11723
251.00	11664
252.00	11556
253.00	11444
254.00	11329
255.00	11185
256.00	11041
257.00	10862
258.00	10663
259.00	10464
260.00	10069
261.00	9673.3
262.00	9191.9
263.00	8691.2
264.00	8067.7
265.00	7543.2
266.00	7221.9
267.00	6961.5
268.00	6878.4
269.00	6819.6
270.00	6827.5
271.00	6905.0
272.00	7018.8
273.00	7261.6
274.00	7529.3
275.00	7832.8
276.00	8136.3
277.00	8451.2
278.00	8982.7
279.00	9514.2
280.00	10046
281.00	10587
282.00	11135
283.00	11684
284.00	12232
285.00	12780
286.00	13393
287.00	14020
288.00	14647
289.00	15274
290.00	15909
291.00	16566
292.00	17223
293.00	17880
294.00	18491
295.00	18995
296.00	19499
297.00	20000
298.00	20345
299.00	20691
300.00	21036
301.00	21329
302.00	21560
303.00	21791
304.00	22022
305.00	22253
306.00	22484
307.00	22660
308.00	22818
309.00	22976
310.00	23134
311.00	23292
312.00	23450
313.00	23610
314.00	23784
315.00	23958
316.00	24132
317.00	24306
318.00	24456
319.00	24586
320.00	24716
321.00	24845
322.00	24975
323.00	25129
324.00	25474
325.00	25819
326.00	26164
327.00	26506
328.00	26820
329.00	27074
330.00	27305
331.00	27412
332.00	27432
333.00	27452
334.00	27402
335.00	27258
336.00	26956
337.00	26654
338.00	26156
339.00	25658
340.00	24970
341.00	24283
342.00	23595
343.00	22907
344.00	22219
345.00	21532
346.00	20844
347.00	20141
348.00	19428
349.00	18715
350.00	18001
351.00	17288
352.00	16575
353.00	15821
354.00	15045
355.00	14269
356.00	13493
357.00	12717
358.00	11941
359.00	11240
360.00	10539
361.00	9838.5
362.00	9137.7
363.00	8436.9
364.00	7767.2
365.00	7177.6
366.00	6588.0
367.00	5998.5
368.00	5408.9
369.00	4819.3
370.00	4229.7
371.00	3747.3
372.00	3306.7
373.00	2866.1
374.00	2425.5
375.00	2123.7
376.00	1873.2
377.00	1622.8
378.00	1414.1
379.00	1307.7
380.00	1201.2
381.00	1094.8
382.00	988.32
383.00	881.87
384.00	822.11
385.00	771.24
386.00	720.37
387.00	669.50
388.00	618.63
389.00	567.76
390.00	516.89
391.00	466.02
392.00	420.28
393.00	395.06
394.00	369.84
395.00	344.62
396.00	319.40
397.00	294.18
398.00	268.96
399.00	243.74
400.00	218.52
401.00	193.30
402.00	173.55
403.00	160.77
404.00	147.98
405.00	135.20
406.00	122.41
407.00	109.63
408.00	96.840
409.00	84.054
410.00	71.268
411.00	58.483
412.00	45.697
413.00	37.939
414.00	36.579
415.00	35.219
416.00	33.859
417.00	32.499
418.00	31.139
419.00	29.779
420.00	28.418
421.00	27.058
422.00	25.698
423.00	24.338
424.00	22.978
425.00	21.618
426.00	20.258
427.00	20.000
428.00	20.000
429.00	20.000
430.00	20.000
431.00	20.000
432.00	20.000
433.00	20.000
434.00	20.000
435.00	20.000
436.00	20.000
437.00	20.000
438.00	20.000
439.00	20.000
440.00	20.000
441.00	20.000
442.00	20.000
443.00	20.000
444.00	20.000
445.00	20.000
446.00	20.000
447.00	20.000
448.00	20.000
449.00	20.000
450.00	20.000
