Wavelength (nm)	FL075 [11] 520-36-5, Apigenin [M]
210.00	28706
211.00	28772
212.00	28513
213.00	28419
214.00	27757
215.00	26826
216.00	25666
217.00	24388
218.00	23320
219.00	22416
220.00	21540
221.00	20791
222.00	20085
223.00	19294
224.00	18535
225.00	17734
226.00	16949
227.00	16219
228.00	15511
229.00	14863
230.00	14247
231.00	13659
232.00	13135
233.00	12642
234.00	12229
235.00	11867
236.00	11561
237.00	11273
238.00	11001
239.00	10722
240.00	10411
241.00	10096
242.00	9788.6
243.00	9499.3
244.00	9245.2
245.00	9066.6
246.00	8945.8
247.00	8922.3
248.00	8997.2
249.00	9169.6
250.00	9425.4
251.00	9743.4
252.00	10111
253.00	10514
254.00	10945
255.00	11394
256.00	11850
257.00	12291
258.00	12756
259.00	13216
260.00	13661
261.00	14124
262.00	14594
263.00	15048
264.00	15545
265.00	16026
266.00	16429
267.00	16730
268.00	16894
269.00	16871
270.00	16586
271.00	16099
272.00	15440
273.00	14679
274.00	13878
275.00	13180
276.00	12550
277.00	12067
278.00	11718
279.00	11495
280.00	11369
281.00	11325
282.00	11336
283.00	11401
284.00	11480
285.00	11562
286.00	11677
287.00	11799
288.00	11903
289.00	12034
290.00	12151
291.00	12268
292.00	12374
293.00	12461
294.00	12530
295.00	12624
296.00	12726
297.00	12822
298.00	12915
299.00	13042
300.00	13140
301.00	13234
302.00	13355
303.00	13448
304.00	13556
305.00	13661
306.00	13782
307.00	13943
308.00	14152
309.00	14354
310.00	14591
311.00	14867
312.00	15155
313.00	15458
314.00	15758
315.00	16035
316.00	16314
317.00	16595
318.00	16863
319.00	17130
320.00	17402
321.00	17612
322.00	17815
323.00	17998
324.00	18169
325.00	18345
326.00	18512
327.00	18637
328.00	18761
329.00	18848
330.00	18942
331.00	19047
332.00	19114
333.00	19139
334.00	19200
335.00	19178
336.00	19145
337.00	19130
338.00	19095
339.00	19058
340.00	19005
341.00	18909
342.00	18768
343.00	18646
344.00	18478
345.00	18258
346.00	18029
347.00	17815
348.00	17579
349.00	17292
350.00	16997
351.00	16610
352.00	16228
353.00	15844
354.00	15406
355.00	15010
356.00	14573
357.00	14118
358.00	13646
359.00	13130
360.00	12619
361.00	12093
362.00	11529
363.00	10980
364.00	10403
365.00	9851.4
366.00	9272.8
367.00	8710.8
368.00	8194.0
369.00	7659.6
370.00	7144.6
371.00	6638.2
372.00	6157.5
373.00	5693.7
374.00	5243.8
375.00	4790.1
376.00	4399.5
377.00	4015.8
378.00	3670.0
379.00	3337.6
380.00	3034.4
381.00	2742.0
382.00	2467.4
383.00	2226.0
384.00	2013.8
385.00	1806.7
386.00	1631.8
387.00	1456.6
388.00	1283.7
389.00	1158.4
390.00	1035.5
391.00	931.43
392.00	822.86
393.00	742.18
394.00	666.18
395.00	587.40
396.00	521.24
397.00	481.96
398.00	431.94
399.00	396.01
400.00	360.75
401.00	319.55
402.00	277.27
403.00	260.75
404.00	235.01
405.00	198.50
406.00	182.86
407.00	181.61
408.00	174.04
409.00	156.10
410.00	141.40
411.00	126.75
412.00	111.88
413.00	105.90
414.00	97.504
415.00	101.27
416.00	90.249
417.00	84.064
418.00	73.622
419.00	63.815
420.00	60.240
421.00	55.725
422.00	62.968
423.00	59.617
424.00	50.234
425.00	50.163
426.00	38.745
427.00	44.048
428.00	53.502
429.00	52.315
430.00	46.588
431.00	38.534
432.00	29.597
433.00	41.791
434.00	28.644
435.00	21.777
436.00	30.820
437.00	38.534
438.00	32.607
439.00	30.114
440.00	27.904
441.00	20.931
442.00	18.555
443.00	32.090
444.00	39.427
445.00	32.983
446.00	29.444
447.00	19.661
448.00	15.769
449.00	24.388
450.00	31.619
451.00	40.827
452.00	21.660
453.00	21.860
454.00	26.551
455.00	18.144
456.00	24.987
457.00	25.411
458.00	26.210
459.00	29.832
460.00	20.790
461.00	14.522
462.00	23.741
463.00	32.760
464.00	20.272
465.00	23.294
466.00	31.126
467.00	28.444
468.00	23.094
469.00	34.418
470.00	19.261
471.00	22.036
472.00	23.282
473.00	46.741
474.00	25.517
475.00	27.469
476.00	5.3267
477.00	4.2567
478.00	16.827
479.00	24.999
480.00	49.493
481.00	22.965
482.00	1.7168
483.00	5.3855
484.00	26.257
485.00	14.616
486.00	5.8323
487.00	18.838
488.00	31.984
489.00	16.180
490.00	0.31944
491.00	8.8661
492.00	15.533
493.00	51.362
494.00	37.193
495.00	40.168
496.00	25.470
497.00	22.706
498.00	3.4302
499.00	4.5154
500.00	14.863
