Wavelength (nm)	FL114 [12] 65625-34-5, 7-Hydroxy-3-methoxyflavone [D]
220.00	16010
221.00	16216
222.00	16423
223.00	16588
224.00	16753
225.00	16912
226.00	17071
227.00	17229
228.00	17286
229.00	17227
230.00	16809
231.00	16178
232.00	15457
233.00	14860
234.00	14492
235.00	14274
236.00	14068
237.00	13974
238.00	13881
239.00	13840
240.00	13809
241.00	13796
242.00	13854
243.00	13913
244.00	14013
245.00	14208
246.00	14409
247.00	14616
248.00	14824
249.00	15015
250.00	15140
251.00	15266
252.00	15307
253.00	15348
254.00	15291
255.00	15234
256.00	15024
257.00	14813
258.00	14453
259.00	13973
260.00	13228
261.00	12144
262.00	11199
263.00	10465
264.00	9821.3
265.00	9331.0
266.00	8942.2
267.00	8636.4
268.00	8330.6
269.00	8134.1
270.00	7968.3
271.00	7835.6
272.00	7733.4
273.00	7641.5
274.00	7619.0
275.00	7596.4
276.00	7589.3
277.00	7630.9
278.00	7672.6
279.00	7714.2
280.00	7795.8
281.00	7892.9
282.00	7990.0
283.00	8156.5
284.00	8352.7
285.00	8548.9
286.00	8745.1
287.00	9081.7
288.00	9453.4
289.00	9825.1
290.00	10197
291.00	10625
292.00	11059
293.00	11493
294.00	11928
295.00	12370
296.00	12837
297.00	13304
298.00	13771
299.00	14235
300.00	14666
301.00	15098
302.00	15530
303.00	15961
304.00	16281
305.00	16595
306.00	16908
307.00	17144
308.00	17344
309.00	17543
310.00	17713
311.00	17841
312.00	17970
313.00	18018
314.00	18059
315.00	18100
316.00	18064
317.00	18028
318.00	17960
319.00	17793
320.00	17626
321.00	17323
322.00	16967
323.00	16611
324.00	16162
325.00	15673
326.00	15185
327.00	14696
328.00	14194
329.00	13662
330.00	13129
331.00	12596
332.00	12079
333.00	11561
334.00	11043
335.00	10509
336.00	9947.1
337.00	9385.2
338.00	8833.1
339.00	8310.8
340.00	7788.4
341.00	7305.4
342.00	6895.5
343.00	6485.5
344.00	6082.8
345.00	5688.9
346.00	5295.0
347.00	4904.7
348.00	4570.4
349.00	4236.0
350.00	3902.7
351.00	3594.5
352.00	3286.2
353.00	2978.0
354.00	2669.7
355.00	2429.5
356.00	2210.8
357.00	1992.0
358.00	1773.2
359.00	1597.5
360.00	1436.9
361.00	1276.2
362.00	1120.9
363.00	1019.3
364.00	917.78
365.00	816.21
366.00	714.65
367.00	629.17
368.00	564.15
369.00	499.14
370.00	434.12
371.00	369.11
372.00	320.10
373.00	285.29
374.00	250.48
375.00	215.67
376.00	180.86
377.00	160.06
378.00	141.17
379.00	122.28
380.00	103.39
381.00	86.367
382.00	75.571
383.00	64.775
384.00	54.664
385.00	44.693
386.00	34.721
387.00	27.744
388.00	23.026
389.00	18.418
390.00	14.932
391.00	11.445
392.00	7.9588
393.00	4.9952
394.00	4.9952
395.00	4.9952
396.00	4.9952
397.00	4.9952
398.00	4.9952
399.00	4.9952
400.00	4.9952
401.00	4.9952
402.00	4.9952
403.00	4.9952
404.00	4.9952
405.00	4.9952
406.00	4.9952
407.00	4.9952
408.00	4.9952
409.00	4.9952
410.00	4.9952
411.00	4.9952
412.00	4.9952
413.00	4.9952
414.00	4.9952
415.00	4.9952
416.00	4.9952
417.00	4.9952
418.00	4.9952
419.00	4.9952
420.00	4.9952
