Wavelength (nm)	FL116 [12] 33554-54-0, Kaempferol 4',5-dimethyl ether [D]
222.00	18413
223.00	17951
224.00	17490
225.00	17092
226.00	16694
227.00	16356
228.00	16039
229.00	15721
230.00	15389
231.00	15057
232.00	14774
233.00	14591
234.00	14417
235.00	14356
236.00	14295
237.00	14234
238.00	14181
239.00	14128
240.00	14075
241.00	14032
242.00	13997
243.00	13963
244.00	14011
245.00	14087
246.00	14163
247.00	14339
248.00	14534
249.00	14728
250.00	15028
251.00	15334
252.00	15605
253.00	15829
254.00	16053
255.00	16219
256.00	16371
257.00	16481
258.00	16551
259.00	16622
260.00	16530
261.00	16438
262.00	16302
263.00	16139
264.00	15975
265.00	15797
266.00	15445
267.00	15094
268.00	14519
269.00	13892
270.00	13055
271.00	11949
272.00	10664
273.00	9696.7
274.00	9155.9
275.00	8749.5
276.00	8454.2
277.00	8270.3
278.00	8154.5
279.00	8081.3
280.00	8054.0
281.00	8026.7
282.00	8107.6
283.00	8193.0
284.00	8279.6
285.00	8385.4
286.00	8491.2
287.00	8597.0
288.00	8702.4
289.00	8795.2
290.00	8888.0
291.00	8980.8
292.00	9073.6
293.00	9166.4
294.00	9242.0
295.00	9317.4
296.00	9392.8
297.00	9468.1
298.00	9543.5
299.00	9593.8
300.00	9633.3
301.00	9672.8
302.00	9712.3
303.00	9751.8
304.00	9791.3
305.00	9781.9
306.00	9758.8
307.00	9735.6
308.00	9712.5
309.00	9670.8
310.00	9617.8
311.00	9564.7
312.00	9511.7
313.00	9442.5
314.00	9355.2
315.00	9267.9
316.00	9194.1
317.00	9149.1
318.00	9110.0
319.00	9098.0
320.00	9085.9
321.00	9122.6
322.00	9164.0
323.00	9237.4
324.00	9401.4
325.00	9565.4
326.00	9746.6
327.00	9982.3
328.00	10218
329.00	10454
330.00	10730
331.00	11090
332.00	11450
333.00	11810
334.00	12258
335.00	12712
336.00	13167
337.00	13661
338.00	14177
339.00	14692
340.00	15195
341.00	15686
342.00	16178
343.00	16669
344.00	17144
345.00	17600
346.00	18056
347.00	18512
348.00	18968
349.00	19424
350.00	19736
351.00	20038
352.00	20286
353.00	20462
354.00	20637
355.00	20758
356.00	20829
357.00	20900
358.00	20837
359.00	20774
360.00	20657
361.00	20507
362.00	20356
363.00	20206
364.00	19986
365.00	19762
366.00	19497
367.00	19141
368.00	18785
369.00	18317
370.00	17686
371.00	17055
372.00	16377
373.00	15413
374.00	14448
375.00	13484
376.00	12554
377.00	11642
378.00	10730
379.00	9647.5
380.00	8532.6
381.00	7501.5
382.00	6533.6
383.00	5798.3
384.00	5172.6
385.00	4546.9
386.00	4137.7
387.00	3749.9
388.00	3404.6
389.00	3083.3
390.00	2816.1
391.00	2603.1
392.00	2408.2
393.00	2271.1
394.00	2134.0
395.00	1996.9
