Wavelength (nm)	FL121 [12] 1244-78-6, Quercetin 3',4',5,7-tetramethyl ether [D]
240.00	19099
241.00	19157
242.00	19272
243.00	19491
244.00	19710
245.00	20123
246.00	20576
247.00	21166
248.00	21725
249.00	22208
250.00	22637
251.00	22998
252.00	23228
253.00	23400
254.00	23291
255.00	23086
256.00	22700
257.00	22063
258.00	20997
259.00	19746
260.00	18606
261.00	17712
262.00	17150
263.00	16687
264.00	16382
265.00	16077
266.00	15730
267.00	15330
268.00	14895
269.00	14322
270.00	13694
271.00	12932
272.00	12135
273.00	11248
274.00	10403
275.00	9684.1
276.00	9047.7
277.00	8688.0
278.00	8525.2
279.00	8394.5
280.00	8325.5
281.00	8258.5
282.00	8191.5
283.00	8124.5
284.00	8069.2
285.00	8014.8
286.00	7960.4
287.00	7905.9
288.00	7870.8
289.00	7845.7
290.00	7820.6
291.00	7795.4
292.00	7770.3
293.00	7783.7
294.00	7799.1
295.00	7814.6
296.00	7831.5
297.00	7858.3
298.00	7885.1
299.00	7911.9
300.00	7932.5
301.00	7944.6
302.00	7956.7
303.00	7968.7
304.00	7978.8
305.00	7983.6
306.00	7988.4
307.00	7993.1
308.00	7997.9
309.00	7997.9
310.00	7997.9
311.00	7997.9
312.00	7997.9
313.00	8010.0
314.00	8024.1
315.00	8038.3
316.00	8052.5
317.00	8105.6
318.00	8186.7
319.00	8267.8
320.00	8349.0
321.00	8456.6
322.00	8567.9
323.00	8679.2
324.00	8803.7
325.00	8960.9
326.00	9118.0
327.00	9275.2
328.00	9568.6
329.00	9894.0
330.00	10219
331.00	10557
332.00	10940
333.00	11324
334.00	11707
335.00	12090
336.00	12474
337.00	12913
338.00	13389
339.00	13865
340.00	14341
341.00	14817
342.00	15293
343.00	15772
344.00	16281
345.00	16790
346.00	17299
347.00	17807
348.00	18316
349.00	18715
350.00	19089
351.00	19462
352.00	19836
353.00	20105
354.00	20375
355.00	20645
356.00	20884
357.00	21051
358.00	21218
359.00	21357
360.00	21415
361.00	21473
362.00	21531
363.00	21468
364.00	21406
365.00	21343
366.00	21234
367.00	21122
368.00	21011
369.00	20858
370.00	20678
371.00	20491
372.00	20264
373.00	20036
374.00	19741
375.00	19413
376.00	19085
377.00	18666
378.00	18216
379.00	17766
380.00	17152
381.00	16475
382.00	15727
383.00	14769
384.00	13811
385.00	12788
386.00	11757
387.00	10826
388.00	9898.1
389.00	8903.9
390.00	7938.4
