Wavelength (nm)	FL131 [12] 1486-66-4, Caryatin [D]
239.00	20047
240.00	20196
241.00	20345
242.00	20517
243.00	20809
244.00	21100
245.00	21444
246.00	21877
247.00	22310
248.00	22801
249.00	23308
250.00	23790
251.00	24135
252.00	24373
253.00	24500
254.00	24309
255.00	23945
256.00	23479
257.00	22744
258.00	21943
259.00	21063
260.00	20494
261.00	20034
262.00	19744
263.00	19545
264.00	19346
265.00	19013
266.00	18596
267.00	17363
268.00	15950
269.00	14457
270.00	12937
271.00	11559
272.00	10802
273.00	10359
274.00	10016
275.00	9736.3
276.00	9482.0
277.00	9317.5
278.00	9186.5
279.00	9099.7
280.00	9134.9
281.00	9216.7
282.00	9366.1
283.00	9522.3
284.00	9688.3
285.00	9844.6
286.00	9987.5
287.00	10130
288.00	10220
289.00	10307
290.00	10394
291.00	10473
292.00	10552
293.00	10631
294.00	10710
295.00	10790
296.00	10869
297.00	10949
298.00	11028
299.00	11107
300.00	11185
301.00	11264
302.00	11343
303.00	11423
304.00	11504
305.00	11585
306.00	11665
307.00	11746
308.00	11830
309.00	11914
310.00	11998
311.00	12082
312.00	12187
313.00	12298
314.00	12409
315.00	12598
316.00	12794
317.00	13002
318.00	13357
319.00	13712
320.00	14095
321.00	14574
322.00	15053
323.00	15526
324.00	15970
325.00	16414
326.00	16858
327.00	17302
328.00	17801
329.00	18312
330.00	18823
331.00	19334
332.00	19787
333.00	20207
334.00	20628
335.00	21048
336.00	21407
337.00	21746
338.00	22085
339.00	22397
340.00	22628
341.00	22859
342.00	23089
343.00	23250
344.00	23373
345.00	23496
346.00	23559
347.00	23622
348.00	23546
349.00	23471
350.00	23395
351.00	23244
352.00	23093
353.00	22939
354.00	22665
355.00	22392
356.00	22001
357.00	21474
358.00	20946
359.00	20276
360.00	19607
361.00	18930
362.00	18212
363.00	17494
364.00	16770
365.00	15996
366.00	15222
367.00	14448
368.00	13765
369.00	13121
370.00	12477
371.00	11832
372.00	11185
373.00	10537
374.00	9889.8
375.00	9306.7
376.00	8733.1
377.00	8226.2
378.00	7786.0
379.00	7345.7
380.00	6933.9
381.00	6651.9
