Wavelength (nm)	FL136 [12] 7555-80-8, Morin pentamethyl ether [D]
220.00	10693
221.00	10560
222.00	10428
223.00	10326
224.00	10249
225.00	10177
226.00	10157
227.00	10137
228.00	10117
229.00	10113
230.00	10128
231.00	10143
232.00	10191
233.00	10264
234.00	10355
235.00	10473
236.00	10616
237.00	10802
238.00	10964
239.00	11109
240.00	11209
241.00	11261
242.00	11281
243.00	11300
244.00	11284
245.00	11267
246.00	11235
247.00	11175
248.00	11116
249.00	11040
250.00	10932
251.00	10823
252.00	10679
253.00	10521
254.00	10363
255.00	10200
256.00	9996.9
257.00	9793.7
258.00	9590.5
259.00	9389.6
260.00	9193.9
261.00	8998.2
262.00	8801.3
263.00	8483.8
264.00	8166.3
265.00	7722.5
266.00	7247.3
267.00	6682.2
268.00	6133.0
269.00	5795.3
270.00	5457.5
271.00	5206.6
272.00	5042.6
273.00	4878.6
274.00	4723.6
275.00	4627.8
276.00	4604.1
277.00	4580.5
278.00	4581.0
279.00	4594.1
280.00	4607.1
281.00	4630.5
282.00	4674.9
283.00	4719.3
284.00	4763.7
285.00	4808.2
286.00	4852.6
287.00	4897.0
288.00	4941.4
289.00	4985.8
290.00	5032.4
291.00	5087.2
292.00	5142.0
293.00	5196.8
294.00	5251.6
295.00	5306.4
296.00	5361.2
297.00	5416.0
298.00	5470.7
299.00	5525.5
300.00	5580.3
301.00	5634.5
302.00	5688.6
303.00	5742.7
304.00	5796.8
305.00	5850.8
306.00	5904.9
307.00	5959.0
308.00	6013.1
309.00	6067.1
310.00	6121.2
311.00	6172.6
312.00	6213.7
313.00	6254.9
314.00	6296.0
315.00	6337.2
316.00	6378.3
317.00	6419.5
318.00	6460.7
319.00	6475.1
320.00	6489.5
321.00	6479.9
322.00	6446.8
323.00	6413.7
324.00	6355.8
325.00	6272.9
326.00	6190.1
327.00	6107.3
328.00	6024.5
329.00	5916.0
330.00	5781.9
331.00	5647.7
332.00	5513.6
333.00	5379.4
334.00	5245.3
335.00	5111.1
336.00	4977.0
337.00	4842.8
338.00	4708.7
339.00	4570.6
340.00	4416.6
341.00	4262.7
342.00	4108.7
343.00	3954.8
344.00	3800.9
345.00	3646.9
346.00	3493.0
347.00	3339.0
348.00	3169.2
349.00	2988.9
350.00	2808.5
351.00	2628.2
352.00	2447.8
353.00	2267.5
354.00	2087.1
355.00	1916.8
356.00	1756.5
357.00	1596.2
358.00	1435.9
359.00	1325.5
360.00	1227.6
361.00	1129.7
362.00	1048.8
363.00	993.42
364.00	938.03
365.00	882.63
366.00	827.24
367.00	771.85
368.00	716.46
369.00	682.31
370.00	651.33
371.00	620.35
372.00	589.38
373.00	558.40
374.00	527.42
375.00	496.45
376.00	466.00
377.00	435.85
378.00	405.71
379.00	375.57
380.00	345.43
381.00	315.28
382.00	285.14
383.00	255.00
384.00	224.86
385.00	198.81
386.00	176.69
387.00	154.57
388.00	132.46
389.00	110.34
390.00	88.221
391.00	66.104
392.00	48.836
393.00	32.424
394.00	27.784
395.00	23.145
396.00	18.505
397.00	16.876
398.00	15.248
399.00	13.619
400.00	11.990
