Wavelength (nm)	FL137 [12] 19056-75-8, 5-Hydroxy-2',3,4',7-tetramethoxyflavone [D]
220.00	7429.3
221.00	7346.8
222.00	7264.4
223.00	7186.6
224.00	7114.5
225.00	7042.4
226.00	6995.0
227.00	6951.4
228.00	6907.7
229.00	6893.5
230.00	6887.9
231.00	6889.2
232.00	6899.2
233.00	6909.1
234.00	6927.5
235.00	6977.2
236.00	7027.0
237.00	7098.3
238.00	7182.9
239.00	7267.5
240.00	7375.6
241.00	7496.4
242.00	7617.2
243.00	7753.1
244.00	7925.8
245.00	8099.0
246.00	8273.3
247.00	8428.2
248.00	8532.8
249.00	8569.3
250.00	8590.0
251.00	8570.3
252.00	8534.2
253.00	8443.2
254.00	8328.7
255.00	8159.2
256.00	7973.2
257.00	7762.6
258.00	7548.9
259.00	7329.4
260.00	7089.7
261.00	6849.9
262.00	6579.3
263.00	6303.2
264.00	6015.7
265.00	5711.3
266.00	5399.0
267.00	5074.7
268.00	4750.5
269.00	4422.4
270.00	4085.0
271.00	3825.4
272.00	3649.0
273.00	3543.6
274.00	3442.5
275.00	3372.6
276.00	3302.8
277.00	3233.0
278.00	3177.0
279.00	3122.7
280.00	3070.0
281.00	3053.4
282.00	3040.3
283.00	3058.4
284.00	3076.6
285.00	3106.1
286.00	3167.6
287.00	3229.2
288.00	3289.1
289.00	3347.7
290.00	3406.3
291.00	3455.8
292.00	3498.4
293.00	3541.0
294.00	3570.4
295.00	3597.4
296.00	3624.5
297.00	3642.7
298.00	3658.0
299.00	3673.4
300.00	3691.1
301.00	3712.7
302.00	3734.3
303.00	3755.9
304.00	3782.4
305.00	3813.5
306.00	3844.6
307.00	3875.7
308.00	3906.6
309.00	3937.0
310.00	3967.4
311.00	3997.8
312.00	4028.1
313.00	4059.1
314.00	4097.6
315.00	4136.1
316.00	4174.6
317.00	4213.1
318.00	4251.6
319.00	4291.9
320.00	4335.1
321.00	4378.2
322.00	4421.4
323.00	4458.6
324.00	4489.7
325.00	4520.7
326.00	4551.8
327.00	4582.9
328.00	4615.5
329.00	4651.1
330.00	4686.8
331.00	4722.4
332.00	4758.0
333.00	4801.1
334.00	4817.5
335.00	4823.1
336.00	4818.8
337.00	4809.1
338.00	4790.3
339.00	4771.5
340.00	4720.5
341.00	4669.5
342.00	4618.5
343.00	4549.4
344.00	4479.7
345.00	4410.0
346.00	4340.3
347.00	4255.6
348.00	4152.0
349.00	4048.3
350.00	3944.7
351.00	3841.0
352.00	3737.5
353.00	3634.1
354.00	3530.7
355.00	3427.3
356.00	3323.9
357.00	3220.6
358.00	3117.2
359.00	3005.3
360.00	2886.4
361.00	2767.5
362.00	2648.6
363.00	2529.7
364.00	2410.8
365.00	2291.9
366.00	2173.1
367.00	2053.1
368.00	1932.2
369.00	1811.4
370.00	1690.5
371.00	1569.6
372.00	1454.9
373.00	1351.0
374.00	1247.2
375.00	1143.3
376.00	1039.5
377.00	953.80
378.00	871.80
379.00	789.81
380.00	707.82
381.00	634.42
382.00	572.42
383.00	510.41
384.00	448.41
385.00	386.41
386.00	330.49
387.00	277.84
388.00	225.19
389.00	172.54
390.00	119.89
