Wavelength (nm)	FL138 [12] 14813-27-5, Myricetin hexamethyl ether [D]
225.00	23282
226.00	22138
227.00	20965
228.00	19934
229.00	19296
230.00	18817
231.00	18421
232.00	18127
233.00	17858
234.00	17712
235.00	17683
236.00	17772
237.00	17881
238.00	17907
239.00	17784
240.00	17602
241.00	17432
242.00	17265
243.00	17099
244.00	16936
245.00	16773
246.00	16612
247.00	16456
248.00	16300
249.00	16148
250.00	16009
251.00	15904
252.00	15834
253.00	15879
254.00	15943
255.00	16112
256.00	16286
257.00	16427
258.00	16560
259.00	16656
260.00	16748
261.00	16784
262.00	16806
263.00	16794
264.00	16770
265.00	16693
266.00	16610
267.00	16436
268.00	16163
269.00	15697
270.00	14581
271.00	13432
272.00	12580
273.00	11956
274.00	11466
275.00	11046
276.00	10633
277.00	10302
278.00	9972.1
279.00	9902.5
280.00	9902.3
281.00	9953.0
282.00	10089
283.00	10251
284.00	10455
285.00	10658
286.00	10874
287.00	11129
288.00	11383
289.00	11641
290.00	12017
291.00	12370
292.00	12706
293.00	13028
294.00	13243
295.00	13459
296.00	13674
297.00	13853
298.00	14022
299.00	14192
300.00	14347
301.00	14484
302.00	14622
303.00	14760
304.00	14898
305.00	15028
306.00	15134
307.00	15241
308.00	15348
309.00	15455
310.00	15561
311.00	15668
312.00	15775
313.00	15887
314.00	16018
315.00	16189
316.00	16360
317.00	16536
318.00	16712
319.00	16888
320.00	17076
321.00	17265
322.00	17453
323.00	17642
324.00	17844
325.00	18068
326.00	18293
327.00	18518
328.00	18742
329.00	18942
330.00	19089
331.00	19230
332.00	19334
333.00	19387
334.00	19419
335.00	19405
336.00	19373
337.00	19337
338.00	19236
339.00	19134
340.00	18965
341.00	18765
342.00	18562
343.00	18269
344.00	17975
345.00	17681
346.00	17309
347.00	16926
348.00	16544
349.00	16060
350.00	15524
351.00	14989
352.00	14420
353.00	13670
354.00	13018
355.00	12452
356.00	11886
357.00	11305
358.00	10721
359.00	10082
360.00	9405.3
361.00	8718.4
362.00	8009.9
363.00	7301.3
364.00	6592.7
365.00	5968.0
366.00	5424.0
