Wavelength (nm)	FL147 [12] 479-77-6, Melisimplexin [D]
220.00	25314
221.00	24301
222.00	23618
223.00	22963
224.00	22383
225.00	21802
226.00	21249
227.00	20721
228.00	20217
229.00	19753
230.00	19396
231.00	19167
232.00	19007
233.00	18872
234.00	18760
235.00	18665
236.00	18621
237.00	18562
238.00	18493
239.00	18425
240.00	18362
241.00	18277
242.00	18188
243.00	18076
244.00	17947
245.00	17818
246.00	17660
247.00	17467
248.00	17274
249.00	17085
250.00	16905
251.00	16703
252.00	16443
253.00	16184
254.00	15893
255.00	15593
256.00	15229
257.00	14854
258.00	14477
259.00	14097
260.00	13717
261.00	13340
262.00	12993
263.00	12645
264.00	12300
265.00	11955
266.00	11601
267.00	11237
268.00	10828
269.00	10477
270.00	10145
271.00	9771.0
272.00	9322.6
273.00	8877.9
274.00	8434.1
275.00	8062.0
276.00	7727.2
277.00	7426.4
278.00	7191.6
279.00	6993.6
280.00	6853.5
281.00	6791.4
282.00	6733.1
283.00	6698.2
284.00	6663.3
285.00	6643.6
286.00	6625.1
287.00	6631.2
288.00	6638.0
289.00	6666.0
290.00	6697.5
291.00	6753.0
292.00	6821.4
293.00	6955.1
294.00	7125.4
295.00	7321.5
296.00	7569.5
297.00	7817.6
298.00	8069.9
299.00	8328.1
300.00	8586.3
301.00	8844.5
302.00	9102.7
303.00	9360.9
304.00	9619.1
305.00	9894.5
306.00	10208
307.00	10522
308.00	10835
309.00	11161
310.00	11525
311.00	11889
312.00	12265
313.00	12641
314.00	13012
315.00	13382
316.00	13752
317.00	14114
318.00	14473
319.00	14831
320.00	15154
321.00	15430
322.00	15707
323.00	15983
324.00	16219
325.00	16456
326.00	16690
327.00	16914
328.00	17137
329.00	17330
330.00	17515
331.00	17693
332.00	17870
333.00	17991
334.00	18111
335.00	18156
336.00	18200
337.00	18170
338.00	18139
339.00	18088
340.00	18005
341.00	17922
342.00	17789
343.00	17631
344.00	17471
345.00	17278
346.00	17084
347.00	16891
348.00	16638
349.00	16361
350.00	16077
351.00	15774
352.00	15471
353.00	15169
354.00	14820
355.00	14462
356.00	14104
357.00	13698
358.00	13245
359.00	12793
360.00	12263
361.00	11716
362.00	11210
363.00	10714
364.00	10219
365.00	9796.1
366.00	9386.7
367.00	8996.7
368.00	8606.7
369.00	8271.7
370.00	7950.3
371.00	7629.0
