Wavelength (nm)	FL160 [13] 552-66-9, Daidzin [C]
210.00	24687
211.00	24135
212.00	23492
213.00	22581
214.00	21354
215.00	20079
216.00	18977
217.00	17912
218.00	16777
219.00	15776
220.00	15140
221.00	14835
222.00	14780
223.00	14921
224.00	15215
225.00	15631
226.00	16101
227.00	16644
228.00	17194
229.00	17675
230.00	18086
231.00	18369
232.00	18523
233.00	18621
234.00	18674
235.00	18785
236.00	18973
237.00	19227
238.00	19531
239.00	19879
240.00	20234
241.00	20606
242.00	21017
243.00	21506
244.00	22070
245.00	22677
246.00	23338
247.00	23965
248.00	24468
249.00	24787
250.00	24968
251.00	25118
252.00	25308
253.00	25538
254.00	25805
255.00	26077
256.00	26315
257.00	26544
258.00	26722
259.00	26845
260.00	26900
261.00	26899
262.00	26818
263.00	26611
264.00	26255
265.00	25817
266.00	25251
267.00	24565
268.00	23868
269.00	22999
270.00	22002
271.00	20969
272.00	19926
273.00	18886
274.00	17848
275.00	16832
276.00	15874
277.00	15008
278.00	14220
279.00	13505
280.00	12863
281.00	12290
282.00	11773
283.00	11321
284.00	10936
285.00	10592
286.00	10308
287.00	10068
288.00	9866.1
289.00	9701.9
290.00	9551.4
291.00	9434.2
292.00	9316.3
293.00	9198.8
294.00	9101.8
295.00	9003.5
296.00	8893.1
297.00	8792.9
298.00	8678.7
299.00	8570.5
300.00	8471.0
301.00	8344.7
302.00	8240.5
303.00	8151.0
304.00	8034.7
305.00	7877.0
306.00	7691.0
307.00	7445.5
308.00	7109.0
309.00	6759.5
310.00	6368.6
311.00	5940.8
312.00	5531.8
313.00	5136.3
314.00	4742.4
315.00	4389.0
316.00	4060.6
317.00	3746.5
318.00	3468.1
319.00	3218.9
320.00	2986.7
321.00	2786.4
322.00	2599.2
323.00	2426.2
324.00	2262.7
325.00	2096.1
326.00	1963.9
327.00	1833.6
328.00	1706.7
329.00	1596.5
330.00	1486.2
331.00	1378.0
332.00	1280.5
333.00	1186.6
334.00	1099.9
335.00	1013.8
336.00	931.15
337.00	858.42
338.00	783.35
339.00	720.43
340.00	664.58
341.00	599.61
342.00	549.95
343.00	508.64
344.00	455.86
345.00	416.98
346.00	378.00
347.00	339.91
348.00	293.68
349.00	267.78
350.00	239.78
351.00	218.24
352.00	185.05
353.00	166.65
354.00	143.13
355.00	138.10
356.00	115.55
357.00	104.95
358.00	90.562
359.00	87.532
360.00	69.581
361.00	64.989
362.00	62.075
363.00	37.131
364.00	30.883
365.00	34.730
366.00	27.246
367.00	24.216
368.00	36.828
369.00	35.172
370.00	32.352
371.00	22.700
372.00	8.5733
373.00	37.550
374.00	13.492
375.00	23.633
376.00	20.719
377.00	20.206
378.00	17.409
379.00	22.630
380.00	7.1279
381.00	26.873
382.00	38.086
383.00	40.674
384.00	34.473
385.00	37.690
386.00	28.622
387.00	31.722
388.00	37.177
389.00	37.504
390.00	36.268
391.00	44.521
392.00	47.155
393.00	33.890
394.00	37.014
395.00	48.111
396.00	38.669
397.00	38.669
398.00	37.061
399.00	32.655
400.00	38.646
401.00	32.841
402.00	37.597
403.00	49.439
404.00	47.505
405.00	39.648
406.00	47.528
407.00	56.550
408.00	66.154
409.00	48.460
410.00	53.216
411.00	54.335
412.00	53.589
413.00	46.013
414.00	54.149
415.00	50.722
416.00	52.680
417.00	57.272
418.00	54.755
419.00	71.633
420.00	63.357
421.00	69.348
422.00	66.994
423.00	62.821
424.00	70.840
425.00	73.311
426.00	75.526
427.00	71.376
428.00	63.730
429.00	70.980
430.00	80.561
431.00	73.474
432.00	83.009
433.00	86.925
434.00	82.589
435.00	92.963
436.00	92.334
437.00	82.799
438.00	86.949
439.00	91.634
440.00	99.024
441.00	81.937
442.00	90.912
443.00	102.38
444.00	92.171
445.00	91.471
446.00	94.036
447.00	92.077
448.00	105.69
449.00	100.14
450.00	100.94
451.00	99.467
452.00	103.38
453.00	98.908
454.00	94.595
455.00	105.53
456.00	104.53
457.00	96.530
458.00	92.054
459.00	104.20
460.00	118.82
461.00	111.68
462.00	118.47
463.00	110.19
464.00	125.69
465.00	115.41
466.00	112.10
467.00	118.33
468.00	120.84
469.00	131.50
470.00	111.10
471.00	122.29
472.00	119.33
473.00	121.64
474.00	123.08
475.00	128.63
476.00	122.57
477.00	126.42
478.00	113.66
479.00	127.37
480.00	123.32
481.00	132.69
482.00	130.80
483.00	116.11
484.00	126.28
485.00	144.65
486.00	110.68
487.00	117.14
488.00	117.94
489.00	130.99
490.00	127.88
491.00	122.73
492.00	128.70
493.00	119.66
494.00	125.48
495.00	116.97
496.00	131.78
497.00	113.57
498.00	119.31
499.00	125.51
500.00	111.25
