Wavelength (nm)	FL171 [15] 83-79-4, Rotenone [C]
210.00	35696
211.00	34641
212.00	33614
213.00	32611
214.00	31533
215.00	30344
216.00	29163
217.00	28089
218.00	27323
219.00	26664
220.00	25822
221.00	24394
222.00	22254
223.00	19639
224.00	17179
225.00	15212
226.00	13905
227.00	13154
228.00	12793
229.00	12673
230.00	12735
231.00	12914
232.00	13136
233.00	13404
234.00	13657
235.00	13869
236.00	13975
237.00	13948
238.00	13776
239.00	13504
240.00	13193
241.00	12902
242.00	12670
243.00	12489
244.00	12254
245.00	11823
246.00	11060
247.00	9954.8
248.00	8591.4
249.00	7139.8
250.00	5819.8
251.00	4739.7
252.00	3969.9
253.00	3475.8
254.00	3189.6
255.00	3034.6
256.00	2971.6
257.00	2961.8
258.00	2986.0
259.00	3049.7
260.00	3153.7
261.00	3281.1
262.00	3416.3
263.00	3596.8
264.00	3812.4
265.00	4053.8
266.00	4321.2
267.00	4611.8
268.00	4956.8
269.00	5330.8
270.00	5724.4
271.00	6171.9
272.00	6646.6
273.00	7143.9
274.00	7667.7
275.00	8213.2
276.00	8772.3
277.00	9341.1
278.00	9921.0
279.00	10514
280.00	11117
281.00	11720
282.00	12313
283.00	12920
284.00	13503
285.00	14053
286.00	14558
287.00	15010
288.00	15417
289.00	15772
290.00	16049
291.00	16249
292.00	16377
293.00	16462
294.00	16500
295.00	16464
296.00	16357
297.00	16200
298.00	16002
299.00	15763
300.00	15525
301.00	15258
302.00	14934
303.00	14575
304.00	14165
305.00	13712
306.00	13256
307.00	12808
308.00	12380
309.00	11969
310.00	11580
311.00	11213
312.00	10879
313.00	10574
314.00	10273
315.00	9979.4
316.00	9688.0
317.00	9379.4
318.00	9048.6
319.00	8687.4
320.00	8300.5
321.00	7880.4
322.00	7447.3
323.00	7000.3
324.00	6556.8
325.00	6117.8
326.00	5702.3
327.00	5309.8
328.00	4922.3
329.00	4548.7
330.00	4199.0
331.00	3853.5
332.00	3523.6
333.00	3218.1
334.00	2920.8
335.00	2645.5
336.00	2387.5
337.00	2155.8
338.00	1947.0
339.00	1758.1
340.00	1583.3
341.00	1435.0
342.00	1300.2
343.00	1175.7
344.00	1071.0
345.00	982.16
346.00	900.41
347.00	826.38
348.00	766.34
349.00	707.30
350.00	658.59
351.00	607.87
352.00	571.58
353.00	529.70
354.00	491.09
355.00	463.11
356.00	431.58
357.00	399.28
358.00	378.33
359.00	343.23
360.00	327.06
361.00	316.08
362.00	293.07
363.00	268.83
364.00	230.34
365.00	210.49
366.00	179.62
367.00	153.37
368.00	147.74
369.00	128.01
370.00	127.16
371.00	124.72
372.00	96.539
373.00	101.11
374.00	84.135
375.00	86.019
376.00	65.323
377.00	73.546
378.00	61.212
379.00	56.801
380.00	54.160
381.00	49.543
382.00	51.449
383.00	43.043
384.00	37.461
385.00	21.290
386.00	20.394
387.00	37.024
388.00	28.916
389.00	17.960
390.00	16.995
391.00	12.860
392.00	16.604
393.00	15.318
394.00	14.859
395.00	8.1515
396.00	5.5542
397.00	7.8759
398.00	5.4181
399.00	6.3139
400.00	3.9940
401.00	3.9940
402.00	3.7698
403.00	9.8283
404.00	10.540
405.00	6.2964
406.00	4.7979
407.00	5.9923
408.00	6.2680
409.00	22.829
410.00	22.760
411.00	17.041
412.00	9.5527
413.00	6.1072
414.00	0.93900
415.00	12.102
416.00	15.823
417.00	6.6355
418.00	11.712
419.00	8.3812
420.00	9.4148
421.00	3.0752
422.00	5.8535
423.00	13.963
424.00	18.649
425.00	18.832
426.00	15.042
427.00	11.298
428.00	16.788
429.00	13.825
430.00	14.139
431.00	14.193
432.00	29.950
433.00	15.777
434.00	16.673
435.00	23.174
436.00	17.041
437.00	21.152
438.00	25.448
439.00	25.195
440.00	27.010
441.00	11.781
442.00	13.733
443.00	23.702
444.00	25.953
445.00	29.697
446.00	28.641
447.00	15.754
448.00	28.618
449.00	36.473
450.00	27.079
451.00	27.814
452.00	34.084
453.00	28.250
454.00	44.742
455.00	30.432
456.00	39.850
457.00	46.672
458.00	34.429
459.00	43.594
460.00	32.890
461.00	22.806
462.00	34.061
463.00	39.252
464.00	17.041
465.00	21.290
466.00	24.184
467.00	38.426
468.00	24.299
469.00	45.271
470.00	39.107
471.00	22.255
472.00	41.733
473.00	40.378
474.00	34.819
475.00	25.792
476.00	18.626
477.00	35.922
478.00	38.380
479.00	37.070
480.00	11.942
481.00	13.457
482.00	17.983
483.00	15.640
484.00	20.831
485.00	12.250
486.00	34.572
487.00	30.960
488.00	37.714
489.00	15.249
490.00	12.171
491.00	26.550
492.00	35.003
493.00	29.674
494.00	33.969
495.00	27.147
496.00	11.804
497.00	19.981
498.00	11.597
499.00	10.412
500.00	7.4165
