Wavelength (nm)	EtioP I (0.1 M PPB).ems
590.00	0.0074160
591.00	0.0092017
592.00	0.010232
593.00	0.010495
594.00	0.010759
595.00	0.024487
596.00	0.013442
597.00	0.016275
598.00	0.019131
599.00	0.018831
600.00	0.022318
601.00	0.027930
602.00	0.029767
603.00	0.027559
604.00	0.029812
605.00	0.031470
606.00	0.037888
607.00	0.036487
608.00	0.050296
609.00	0.041384
610.00	0.052829
611.00	0.054162
612.00	0.079030
613.00	0.069991
614.00	0.081197
615.00	0.086432
616.00	0.10074
617.00	0.11212
618.00	0.11563
619.00	0.15393
620.00	0.17849
621.00	0.21219
622.00	0.28818
623.00	0.33946
624.00	0.40272
625.00	0.48718
626.00	0.55041
627.00	0.58707
628.00	0.65917
629.00	0.64394
630.00	0.62008
631.00	0.62637
632.00	0.58010
633.00	0.53939
634.00	0.50799
635.00	0.42807
636.00	0.40344
637.00	0.37621
638.00	0.33214
639.00	0.32037
640.00	0.29096
641.00	0.27750
642.00	0.26345
643.00	0.24248
644.00	0.25436
645.00	0.29471
646.00	0.26620
647.00	0.26821
648.00	0.32116
649.00	0.36253
650.00	0.38259
651.00	0.46683
652.00	0.52072
653.00	0.55292
654.00	0.64529
655.00	0.71348
656.00	0.76169
657.00	0.83782
658.00	0.85576
659.00	0.87034
660.00	0.96166
661.00	0.94110
662.00	0.97727
663.00	0.95824
664.00	1.0000
665.00	0.99299
666.00	0.94636
667.00	0.92655
668.00	0.88163
669.00	0.79044
670.00	0.76988
671.00	0.72444
672.00	0.72883
673.00	0.64891
674.00	0.64838
675.00	0.64306
676.00	0.61310
677.00	0.59406
678.00	0.50021
679.00	0.48925
680.00	0.47269
681.00	0.49308
682.00	0.45388
683.00	0.43992
684.00	0.46315
685.00	0.48252
686.00	0.44498
687.00	0.45553
688.00	0.46043
689.00	0.46800
690.00	0.49331
691.00	0.51552
692.00	0.50274
693.00	0.53330
694.00	0.52483
695.00	0.55124
696.00	0.51943
697.00	0.52183
698.00	0.51810
699.00	0.51869
700.00	0.49043
701.00	0.48274
702.00	0.50676
703.00	0.44551
704.00	0.46126
705.00	0.44834
706.00	0.46918
707.00	0.43118
708.00	0.44694
709.00	0.45666
710.00	0.43872
