Wavelength (nm)	MesoP IX (0.1 M PPB).abs
300.00	0.18309
301.00	0.18569
302.00	0.18902
303.00	0.19423
304.00	0.19884
305.00	0.20258
306.00	0.20767
307.00	0.21340
308.00	0.21635
309.00	0.22374
310.00	0.23009
311.00	0.23647
312.00	0.24234
313.00	0.24881
314.00	0.25725
315.00	0.26516
316.00	0.27421
317.00	0.28345
318.00	0.29374
319.00	0.30135
320.00	0.31116
321.00	0.32282
322.00	0.33483
323.00	0.34713
324.00	0.35733
325.00	0.37007
326.00	0.38147
327.00	0.39464
328.00	0.40738
329.00	0.41984
330.00	0.43495
331.00	0.44835
332.00	0.46199
333.00	0.47770
334.00	0.49213
335.00	0.50796
336.00	0.52271
337.00	0.53909
338.00	0.55526
339.00	0.57132
340.00	0.58745
341.00	0.60251
342.00	0.61977
343.00	0.63480
344.00	0.64920
345.00	0.66503
346.00	0.67918
347.00	0.69306
348.00	0.70600
349.00	0.71838
350.00	0.72980
351.00	0.74199
352.00	0.75465
353.00	0.76350
354.00	0.77425
355.00	0.78565
356.00	0.79630
357.00	0.80710
358.00	0.81634
359.00	0.82627
360.00	0.83528
361.00	0.84655
362.00	0.85581
363.00	0.86479
364.00	0.87402
365.00	0.88338
366.00	0.89102
367.00	0.89864
368.00	0.90808
369.00	0.91476
370.00	0.92097
371.00	0.92724
372.00	0.93055
373.00	0.93352
374.00	0.93573
375.00	0.93444
376.00	0.93921
377.00	0.93929
378.00	0.94245
379.00	0.94508
380.00	0.94720
381.00	0.95503
382.00	0.96118
383.00	0.96566
384.00	0.97325
385.00	0.97978
386.00	0.98565
387.00	0.99189
388.00	0.99650
389.00	0.99865
390.00	1.0000
391.00	0.99736
392.00	0.99140
393.00	0.97987
394.00	0.96412
395.00	0.94594
396.00	0.92388
397.00	0.89671
398.00	0.86750
399.00	0.83682
400.00	0.80636
401.00	0.77336
402.00	0.73946
403.00	0.70877
404.00	0.67937
405.00	0.65250
406.00	0.62770
407.00	0.60575
408.00	0.58497
409.00	0.56475
410.00	0.54650
411.00	0.53214
412.00	0.51723
413.00	0.50318
414.00	0.49132
415.00	0.48137
416.00	0.47076
417.00	0.45914
418.00	0.44879
419.00	0.44152
420.00	0.43378
421.00	0.42681
422.00	0.41996
423.00	0.41190
424.00	0.40665
425.00	0.40152
426.00	0.39607
427.00	0.39133
428.00	0.38526
429.00	0.37919
430.00	0.37402
431.00	0.37010
432.00	0.36725
433.00	0.36408
434.00	0.35647
435.00	0.35376
436.00	0.34978
437.00	0.34449
438.00	0.33997
439.00	0.33470
440.00	0.33098
441.00	0.32599
442.00	0.32059
443.00	0.31698
444.00	0.31040
445.00	0.30879
446.00	0.30243
447.00	0.29571
448.00	0.29088
449.00	0.28708
450.00	0.28077
451.00	0.27586
452.00	0.27120
453.00	0.26550
454.00	0.26069
455.00	0.25493
456.00	0.24681
457.00	0.24194
458.00	0.23614
459.00	0.23000
460.00	0.22373
461.00	0.21914
462.00	0.21302
463.00	0.20535
464.00	0.19877
465.00	0.19161
466.00	0.18719
467.00	0.18039
468.00	0.17547
469.00	0.16847
470.00	0.16262
471.00	0.15439
472.00	0.14651
473.00	0.13963
474.00	0.13605
475.00	0.13094
476.00	0.12423
477.00	0.12176
478.00	0.11349
479.00	0.11094
480.00	0.10884
481.00	0.10473
482.00	0.10462
483.00	0.10140
484.00	0.099659
485.00	0.096536
486.00	0.094924
487.00	0.10175
488.00	0.10544
489.00	0.10253
490.00	0.10415
491.00	0.10808
492.00	0.11024
493.00	0.11244
494.00	0.11505
495.00	0.11830
496.00	0.12257
497.00	0.12520
498.00	0.12845
499.00	0.12953
