Wavelength (nm)	MesoP IX (in 1 N aqHCl).abs
300.00	0.017168
301.00	0.017660
302.00	0.018015
303.00	0.018461
304.00	0.018690
305.00	0.019158
306.00	0.019495
307.00	0.020033
308.00	0.020429
309.00	0.020845
310.00	0.021434
311.00	0.021890
312.00	0.022477
313.00	0.023052
314.00	0.023538
315.00	0.024109
316.00	0.024650
317.00	0.025343
318.00	0.025930
319.00	0.026446
320.00	0.026939
321.00	0.027485
322.00	0.028055
323.00	0.028609
324.00	0.029183
325.00	0.029799
326.00	0.030336
327.00	0.030949
328.00	0.031527
329.00	0.032114
330.00	0.032698
331.00	0.033411
332.00	0.034111
333.00	0.034783
334.00	0.035448
335.00	0.036042
336.00	0.036828
337.00	0.037688
338.00	0.038466
339.00	0.039236
340.00	0.040115
341.00	0.041028
342.00	0.042047
343.00	0.043200
344.00	0.044219
345.00	0.045436
346.00	0.046661
347.00	0.047960
348.00	0.049354
349.00	0.050731
350.00	0.052298
351.00	0.053578
352.00	0.054923
353.00	0.056370
354.00	0.057827
355.00	0.059287
356.00	0.060942
357.00	0.062643
358.00	0.064250
359.00	0.066048
360.00	0.068052
361.00	0.070147
362.00	0.072374
363.00	0.074658
364.00	0.076760
365.00	0.079090
366.00	0.081543
367.00	0.084062
368.00	0.086709
369.00	0.089720
370.00	0.092858
371.00	0.096791
372.00	0.10138
373.00	0.10714
374.00	0.11395
375.00	0.12179
376.00	0.13067
377.00	0.14021
378.00	0.15006
379.00	0.15986
380.00	0.16862
381.00	0.17723
382.00	0.18550
383.00	0.19394
384.00	0.20309
385.00	0.21408
386.00	0.22621
387.00	0.23950
388.00	0.25362
389.00	0.26867
390.00	0.28768
391.00	0.31268
392.00	0.34762
393.00	0.39596
394.00	0.45959
395.00	0.54289
396.00	0.64454
397.00	0.76109
398.00	0.87337
399.00	0.95910
400.00	1.0000
401.00	0.98822
402.00	0.92308
403.00	0.82134
404.00	0.70122
405.00	0.57654
406.00	0.46463
407.00	0.36414
408.00	0.27880
409.00	0.21107
410.00	0.15994
411.00	0.12014
412.00	0.090276
413.00	0.068003
414.00	0.052308
415.00	0.040444
416.00	0.031766
417.00	0.025358
418.00	0.020598
419.00	0.016953
420.00	0.014140
421.00	0.011965
422.00	0.010113
423.00	0.0087815
424.00	0.0077901
425.00	0.0068001
426.00	0.0061448
427.00	0.0057178
428.00	0.0049751
429.00	0.0048459
430.00	0.0044126
431.00	0.0040619
432.00	0.0037534
433.00	0.0038049
434.00	0.0032667
435.00	0.0032050
436.00	0.0031156
437.00	0.0028800
438.00	0.0029087
439.00	0.0027980
440.00	0.0026838
441.00	0.0026673
442.00	0.0024458
443.00	0.0025002
444.00	0.0024084
445.00	0.0022549
446.00	0.0022199
447.00	0.0022413
448.00	0.0022753
449.00	0.0023103
450.00	0.0021160
451.00	0.0020499
452.00	0.0021373
453.00	0.0020377
454.00	0.0022855
455.00	0.0021898
456.00	0.0021388
457.00	0.0022529
