Wavelength (nm)	UroP III (0.1 M PPB).ems
590.00	0.016471
591.00	0.017598
592.00	0.019463
593.00	0.020865
594.00	0.021976
595.00	0.025320
596.00	0.027952
597.00	0.032399
598.00	0.037918
599.00	0.043599
600.00	0.052776
601.00	0.063968
602.00	0.079322
603.00	0.097834
604.00	0.11915
605.00	0.14928
606.00	0.18796
607.00	0.23358
608.00	0.29445
609.00	0.35898
610.00	0.44118
611.00	0.52751
612.00	0.62495
613.00	0.72113
614.00	0.81464
615.00	0.89183
616.00	0.95772
617.00	0.98676
618.00	1.0000
619.00	0.97910
620.00	0.93975
621.00	0.88417
622.00	0.81600
623.00	0.72722
624.00	0.65712
625.00	0.57628
626.00	0.51096
627.00	0.44752
628.00	0.39792
629.00	0.35202
630.00	0.30869
631.00	0.27715
632.00	0.24966
633.00	0.22975
634.00	0.21486
635.00	0.20253
636.00	0.19095
637.00	0.18088
638.00	0.17866
639.00	0.17752
640.00	0.17725
641.00	0.17827
642.00	0.18375
643.00	0.18679
644.00	0.19156
645.00	0.19136
646.00	0.19781
647.00	0.19921
648.00	0.20183
649.00	0.19618
650.00	0.20011
651.00	0.19765
652.00	0.20409
653.00	0.20413
654.00	0.20426
655.00	0.21058
656.00	0.21663
657.00	0.22696
658.00	0.22892
659.00	0.24501
660.00	0.25584
661.00	0.26719
662.00	0.27956
663.00	0.29332
664.00	0.30889
665.00	0.31974
666.00	0.33309
667.00	0.34017
668.00	0.35469
669.00	0.36610
670.00	0.38034
671.00	0.39392
672.00	0.40349
673.00	0.41993
674.00	0.44263
675.00	0.45891
676.00	0.47993
677.00	0.49420
678.00	0.50657
679.00	0.52345
680.00	0.53079
681.00	0.53936
682.00	0.53729
683.00	0.52975
684.00	0.52325
685.00	0.49900
686.00	0.46547
687.00	0.44144
688.00	0.40584
689.00	0.37646
690.00	0.34059
691.00	0.30793
692.00	0.28526
693.00	0.25403
694.00	0.22674
695.00	0.19985
696.00	0.18299
697.00	0.16421
698.00	0.14855
699.00	0.13394
700.00	0.11956
701.00	0.11201
702.00	0.10226
703.00	0.090227
704.00	0.082456
705.00	0.075808
706.00	0.070924
707.00	0.066256
708.00	0.062906
709.00	0.059313
710.00	0.056565
