Wavelength (nm)	Cu(II) UroP I (in DMSO).abs
300.00	0.024110
301.00	0.024892
302.00	0.026066
303.00	0.026914
304.00	0.027937
305.00	0.029225
306.00	0.030739
307.00	0.032167
308.00	0.033833
309.00	0.035488
310.00	0.036832
311.00	0.038270
312.00	0.039982
313.00	0.041358
314.00	0.042829
315.00	0.044161
316.00	0.045195
317.00	0.046442
318.00	0.047754
319.00	0.048891
320.00	0.049841
321.00	0.050852
322.00	0.051802
323.00	0.052682
324.00	0.053480
325.00	0.054174
326.00	0.054608
327.00	0.054653
328.00	0.054505
329.00	0.054017
330.00	0.053454
331.00	0.052677
332.00	0.051539
333.00	0.050285
334.00	0.048951
335.00	0.047520
336.00	0.046009
337.00	0.044569
338.00	0.043182
339.00	0.041851
340.00	0.040560
341.00	0.039483
342.00	0.038401
343.00	0.037601
344.00	0.036911
345.00	0.036429
346.00	0.035833
347.00	0.035352
348.00	0.035179
349.00	0.034998
350.00	0.034998
351.00	0.035059
352.00	0.035140
353.00	0.035174
354.00	0.035577
355.00	0.035932
356.00	0.036510
357.00	0.037115
358.00	0.037674
359.00	0.038275
360.00	0.039017
361.00	0.039894
362.00	0.041178
363.00	0.042587
364.00	0.044178
365.00	0.045867
366.00	0.047859
367.00	0.050277
368.00	0.053230
369.00	0.056628
370.00	0.060528
371.00	0.064692
372.00	0.069761
373.00	0.075053
374.00	0.080999
375.00	0.087342
376.00	0.093860
377.00	0.10019
378.00	0.10595
379.00	0.11151
380.00	0.11637
381.00	0.12046
382.00	0.12422
383.00	0.12758
384.00	0.13180
385.00	0.13775
386.00	0.14661
387.00	0.15926
388.00	0.17568
389.00	0.19575
390.00	0.22092
391.00	0.25076
392.00	0.28648
393.00	0.33032
394.00	0.38201
395.00	0.44587
396.00	0.52456
397.00	0.62359
398.00	0.73942
399.00	0.85781
400.00	0.95341
401.00	1.0000
402.00	0.97861
403.00	0.90324
404.00	0.80244
405.00	0.69845
406.00	0.60695
407.00	0.52398
408.00	0.44936
409.00	0.38325
410.00	0.32487
411.00	0.27108
412.00	0.22311
413.00	0.18165
414.00	0.14774
415.00	0.11899
416.00	0.096324
417.00	0.078567
418.00	0.065073
419.00	0.054791
420.00	0.046986
421.00	0.040956
422.00	0.036434
423.00	0.033079
424.00	0.030443
425.00	0.028351
426.00	0.026674
427.00	0.025233
428.00	0.023943
429.00	0.022843
430.00	0.022170
431.00	0.021059
432.00	0.020269
433.00	0.019974
434.00	0.019308
435.00	0.018348
436.00	0.018207
437.00	0.017701
438.00	0.017303
439.00	0.016911
440.00	0.016437
441.00	0.016463
442.00	0.015986
443.00	0.015511
444.00	0.015266
445.00	0.015034
446.00	0.014781
447.00	0.014437
448.00	0.014228
449.00	0.014197
450.00	0.013930
451.00	0.013634
452.00	0.013455
453.00	0.013368
454.00	0.013329
455.00	0.013367
456.00	0.013083
457.00	0.012915
458.00	0.012931
459.00	0.012750
460.00	0.012424
461.00	0.012402
462.00	0.012277
463.00	0.012327
464.00	0.012188
465.00	0.011933
466.00	0.011812
467.00	0.011477
468.00	0.011573
469.00	0.011470
470.00	0.011205
471.00	0.011233
472.00	0.011405
473.00	0.011781
474.00	0.011362
475.00	0.011704
476.00	0.011704
477.00	0.011675
478.00	0.011851
479.00	0.011875
480.00	0.011949
481.00	0.011944
482.00	0.011885
483.00	0.012000
484.00	0.012160
485.00	0.012701
486.00	0.013179
487.00	0.010543
488.00	0.011490
489.00	0.012101
490.00	0.012050
491.00	0.012239
492.00	0.011992
493.00	0.012093
494.00	0.011993
495.00	0.011737
496.00	0.011782
497.00	0.011911
498.00	0.011870
499.00	0.011942
500.00	0.011825
501.00	0.011931
502.00	0.012101
503.00	0.012272
504.00	0.012478
505.00	0.012919
506.00	0.013307
507.00	0.013912
508.00	0.014657
509.00	0.015620
510.00	0.016474
511.00	0.017955
512.00	0.019217
513.00	0.020908
514.00	0.022637
515.00	0.024637
516.00	0.026766
517.00	0.028913
518.00	0.030941
519.00	0.032964
520.00	0.035059
521.00	0.037074
522.00	0.038813
523.00	0.040252
524.00	0.041368
525.00	0.042242
526.00	0.042692
527.00	0.042697
528.00	0.042375
