Wavelength (nm)	13, T Asym 2004_3301, 1
400.00	
401.00	
402.00	
403.00	
404.00	
405.00	
406.00	
407.00	
408.00	
409.00	
410.00	
411.00	
412.00	
413.00	
414.00	
415.00	
416.00	
417.00	
418.00	
419.00	
420.00	
421.00	
422.00	
423.00	
424.00	
425.00	0.0014677
426.00	0.0014677
427.00	0.0014677
428.00	0.0014677
429.00	0.0014677
430.00	0.0014677
431.00	0.0014677
432.00	0.0014677
433.00	0.0014677
434.00	0.0014677
435.00	0.0014677
436.00	0.0014794
437.00	0.0016739
438.00	0.0018684
439.00	0.0020629
440.00	0.0022575
441.00	0.0024520
442.00	0.0027148
443.00	0.0030802
444.00	0.0034455
445.00	0.0038108
446.00	0.0041762
447.00	0.0050013
448.00	0.0058891
449.00	0.0067770
450.00	0.0076648
451.00	0.0088989
452.00	0.010428
453.00	0.011957
454.00	0.013486
455.00	0.015820
456.00	0.018739
457.00	0.021657
458.00	0.024575
459.00	0.028161
460.00	0.032634
461.00	0.037106
462.00	0.042188
463.00	0.049312
464.00	0.056435
465.00	0.063559
466.00	0.075193
467.00	0.087751
468.00	0.10095
469.00	0.11671
470.00	0.13246
471.00	0.15140
472.00	0.17575
473.00	0.19982
474.00	0.22151
475.00	0.24320
476.00	0.26553
477.00	0.29428
478.00	0.32303
479.00	0.35178
480.00	0.38337
481.00	0.41768
482.00	0.45200
483.00	0.48631
484.00	0.51456
485.00	0.54068
486.00	0.56680
487.00	0.59293
488.00	0.61905
489.00	0.65415
490.00	0.69109
491.00	0.72803
492.00	0.75974
493.00	0.79029
494.00	0.81781
495.00	0.84015
496.00	0.86249
497.00	0.88483
498.00	0.90147
499.00	0.91793
500.00	0.93439
501.00	0.94691
502.00	0.95927
503.00	0.96873
504.00	0.97542
505.00	0.98211
506.00	0.98811
507.00	0.99249
508.00	0.99676
509.00	0.99838
510.00	1.0000
511.00	0.99867
512.00	0.99735
513.00	0.99397
514.00	0.98861
515.00	0.98276
516.00	0.97545
517.00	0.96814
518.00	0.95982
519.00	0.95148
520.00	0.94314
521.00	0.93477
522.00	0.92527
523.00	0.91578
524.00	0.90628
525.00	0.89679
526.00	0.88729
527.00	0.87780
528.00	0.86655
529.00	0.85530
530.00	0.84405
531.00	0.83280
532.00	0.82155
533.00	0.81030
534.00	0.79753
535.00	0.78370
536.00	0.76986
537.00	0.75603
538.00	0.74220
539.00	0.72837
540.00	0.71443
541.00	0.70047
542.00	0.68650
543.00	0.67253
544.00	0.65857
545.00	0.64460
546.00	0.62976
547.00	0.61456
548.00	0.59936
549.00	0.58416
550.00	0.56897
551.00	0.55381
552.00	0.53939
553.00	0.52496
554.00	0.51053
555.00	0.49610
556.00	0.48168
557.00	0.46725
558.00	0.45414
559.00	0.44175
560.00	0.42936
561.00	0.41696
562.00	0.40457
563.00	0.39217
564.00	0.38088
565.00	0.37030
566.00	0.35971
567.00	0.34912
568.00	0.33854
569.00	0.32797
570.00	0.31747
571.00	0.30697
572.00	0.29648
