Wavelength (nm)	"22, JOMC  2022_964_122302, MBV"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.40842
301.00	0.40537
302.00	0.40232
303.00	0.39928
304.00	0.39625
305.00	0.39436
306.00	0.39247
307.00	0.39059
308.00	0.38955
309.00	0.39121
310.00	0.39288
311.00	0.39454
312.00	0.39621
313.00	0.40334
314.00	0.41076
315.00	0.41818
316.00	0.42688
317.00	0.43620
318.00	0.44551
319.00	0.45483
320.00	0.46478
321.00	0.47573
322.00	0.48668
323.00	0.49763
324.00	0.50858
325.00	0.51953
326.00	0.53190
327.00	0.54452
328.00	0.55714
329.00	0.56976
330.00	0.58238
331.00	0.59501
332.00	0.60859
333.00	0.62241
334.00	0.63623
335.00	0.65006
336.00	0.66388
337.00	0.67770
338.00	0.69200
339.00	0.70646
340.00	0.72091
341.00	0.73536
342.00	0.74982
343.00	0.76427
344.00	0.77872
345.00	0.79376
346.00	0.80906
347.00	0.82435
348.00	0.83964
349.00	0.85493
350.00	0.87022
351.00	0.88671
352.00	0.90497
353.00	0.92323
354.00	0.94150
355.00	0.95976
356.00	0.97521
357.00	0.98567
358.00	0.99414
359.00	0.99876
360.00	1.0000
361.00	0.99879
362.00	0.99758
363.00	0.99290
364.00	0.98333
365.00	0.96916
366.00	0.95192
367.00	0.93131
368.00	0.90757
369.00	0.88384
370.00	0.86010
371.00	0.83588
372.00	0.81115
373.00	0.78642
374.00	0.76169
375.00	0.73696
376.00	0.71303
377.00	0.68944
378.00	0.66585
379.00	0.64226
380.00	0.61868
381.00	0.59924
382.00	0.58016
383.00	0.56109
384.00	0.54201
385.00	0.52577
386.00	0.50991
387.00	0.49405
388.00	0.47819
