Wavelength (nm)	"48, Inorg Chem 2000_1128, B Pd"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.28744
251.00	0.28966
252.00	0.29188
253.00	0.29411
254.00	0.29633
255.00	0.29855
256.00	0.30181
257.00	0.30649
258.00	0.31118
259.00	0.31586
260.00	0.32187
261.00	0.33022
262.00	0.33857
263.00	0.34724
264.00	0.35640
265.00	0.36556
266.00	0.37535
267.00	0.38896
268.00	0.40257
269.00	0.41779
270.00	0.43365
271.00	0.44952
272.00	0.47670
273.00	0.50388
274.00	0.52525
275.00	0.54551
276.00	0.56576
277.00	0.59640
278.00	0.62873
279.00	0.65844
280.00	0.68468
281.00	0.71092
282.00	0.73683
283.00	0.76261
284.00	0.78839
285.00	0.81477
286.00	0.84178
287.00	0.86880
288.00	0.89581
289.00	0.92139
290.00	0.94691
291.00	0.96892
292.00	0.98781
293.00	0.99195
294.00	0.99463
295.00	0.99732
296.00	1.0000
297.00	0.99691
298.00	0.99383
299.00	0.99074
300.00	0.98155
301.00	0.96828
302.00	0.95363
303.00	0.93227
304.00	0.91091
305.00	0.88728
306.00	0.86099
307.00	0.83470
308.00	0.80702
309.00	0.77437
310.00	0.74172
311.00	0.71010
312.00	0.67947
313.00	0.64958
314.00	0.62822
315.00	0.60687
316.00	0.58723
317.00	0.57052
318.00	0.55381
319.00	0.53825
320.00	0.52438
321.00	0.51052
322.00	0.49666
323.00	0.48449
324.00	0.47254
325.00	0.46185
326.00	0.45683
327.00	0.45181
328.00	0.44679
329.00	0.44307
330.00	0.44137
331.00	0.43967
332.00	0.43797
333.00	0.43628
334.00	0.43652
335.00	0.43856
336.00	0.44060
337.00	0.44264
338.00	0.44469
339.00	0.44841
340.00	0.45299
341.00	0.45758
342.00	0.46217
343.00	0.46675
344.00	0.47134
345.00	0.47639
346.00	0.48163
347.00	0.48687
348.00	0.49211
349.00	0.49736
350.00	0.50264
351.00	0.50916
352.00	0.51568
353.00	0.52219
354.00	0.52871
355.00	0.53233
356.00	0.53586
357.00	0.53939
358.00	0.54292
359.00	0.54644
360.00	0.54997
361.00	0.55350
362.00	0.55754
363.00	0.56162
364.00	0.56569
365.00	0.56977
366.00	0.57361
