Wavelength (nm)	"68, Inorg Chem 2001_5585, F2D"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.32870
301.00	0.33269
302.00	0.33487
303.00	0.33685
304.00	0.33882
305.00	0.34080
306.00	0.34253
307.00	0.34424
308.00	0.34594
309.00	0.34765
310.00	0.34936
311.00	0.35088
312.00	0.35131
313.00	0.35175
314.00	0.35218
315.00	0.35262
316.00	0.35305
317.00	0.35349
318.00	0.35446
319.00	0.35629
320.00	0.35812
321.00	0.35995
322.00	0.36178
323.00	0.36361
324.00	0.36589
325.00	0.36818
326.00	0.37046
327.00	0.37275
328.00	0.37503
329.00	0.37593
330.00	0.37655
331.00	0.37717
332.00	0.37778
333.00	0.37838
334.00	0.37856
335.00	0.37873
336.00	0.37891
337.00	0.37909
338.00	0.37927
339.00	0.38002
340.00	0.38141
341.00	0.38279
342.00	0.38417
343.00	0.38556
344.00	0.38507
345.00	0.38270
346.00	0.38034
347.00	0.37797
348.00	0.37561
349.00	0.37135
350.00	0.36692
351.00	0.36249
352.00	0.35827
353.00	0.35534
354.00	0.35242
355.00	0.34949
356.00	0.34656
357.00	0.34363
358.00	0.34188
359.00	0.34049
360.00	0.33910
361.00	0.33772
362.00	0.33633
363.00	0.33696
364.00	0.33812
365.00	0.33929
366.00	0.34045
367.00	0.34162
368.00	0.34278
369.00	0.34397
370.00	0.34652
371.00	0.34908
372.00	0.35163
373.00	0.35418
374.00	0.35673
375.00	0.35929
376.00	0.36411
377.00	0.36934
378.00	0.37457
379.00	0.38112
380.00	0.38924
381.00	0.39735
382.00	0.40584
383.00	0.41451
384.00	0.42318
385.00	0.43184
386.00	0.44051
387.00	0.45232
388.00	0.46447
