Wavelength (nm)	"73, JACS 1998_1274, Co OEFB"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.73160
251.00	0.72652
252.00	0.72144
253.00	0.71636
254.00	0.71129
255.00	0.70621
256.00	0.70104
257.00	0.69585
258.00	0.69066
259.00	0.68548
260.00	0.68029
261.00	0.67515
262.00	0.67078
263.00	0.66642
264.00	0.66205
265.00	0.65768
266.00	0.65331
267.00	0.64905
268.00	0.64499
269.00	0.64093
270.00	0.63688
271.00	0.63282
272.00	0.62909
273.00	0.62697
274.00	0.62485
275.00	0.62273
276.00	0.62061
277.00	0.62144
278.00	0.62321
279.00	0.62498
280.00	0.62675
281.00	0.63049
282.00	0.63787
283.00	0.64526
284.00	0.65365
285.00	0.66305
286.00	0.67244
287.00	0.68184
288.00	0.69297
289.00	0.70526
290.00	0.71754
291.00	0.73289
292.00	0.75143
293.00	0.76997
294.00	0.78791
295.00	0.80549
296.00	0.82308
297.00	0.84090
298.00	0.85941
299.00	0.87792
300.00	0.89643
301.00	0.91148
302.00	0.92610
303.00	0.94072
304.00	0.95534
305.00	0.96984
306.00	0.98429
307.00	0.99687
308.00	0.99791
309.00	0.99896
310.00	1.0000
311.00	0.99721
312.00	0.99441
313.00	0.98752
314.00	0.97519
315.00	0.96259
316.00	0.94725
317.00	0.93191
318.00	0.91657
319.00	0.90123
320.00	0.88489
321.00	0.86333
322.00	0.84176
323.00	0.82046
324.00	0.80408
325.00	0.78771
326.00	0.77133
327.00	0.75495
328.00	0.73857
329.00	0.72424
330.00	0.71025
331.00	0.69625
332.00	0.68226
333.00	0.66974
334.00	0.65728
335.00	0.64482
336.00	0.63414
337.00	0.62706
338.00	0.61999
339.00	0.61292
340.00	0.60585
341.00	0.59956
342.00	0.59335
343.00	0.58714
344.00	0.58098
345.00	0.57675
346.00	0.57252
347.00	0.56828
348.00	0.56405
349.00	0.56092
350.00	0.55848
351.00	0.55605
352.00	0.55362
353.00	0.55118
354.00	0.54903
355.00	0.54832
356.00	0.54761
357.00	0.54690
358.00	0.54620
359.00	0.54673
360.00	0.54768
361.00	0.54863
362.00	0.54958
363.00	0.55053
364.00	0.55316
365.00	0.55617
366.00	0.55917
