Wavelength (nm)	"102, CC 2009_2496, PCB"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.87296
251.00	0.86596
252.00	0.86110
253.00	0.85734
254.00	0.85595
255.00	0.85558
256.00	0.85696
257.00	0.85834
258.00	0.86296
259.00	0.86758
260.00	0.87140
261.00	0.87496
262.00	0.87852
263.00	0.88209
264.00	0.88567
265.00	0.89009
266.00	0.89451
267.00	0.89894
268.00	0.90336
269.00	0.90721
270.00	0.91094
271.00	0.91467
272.00	0.91698
273.00	0.91842
274.00	0.91985
275.00	0.91785
276.00	0.91569
277.00	0.91314
278.00	0.90862
279.00	0.90410
280.00	0.89817
281.00	0.89095
282.00	0.88372
283.00	0.87433
284.00	0.86413
285.00	0.85394
286.00	0.84375
287.00	0.83268
288.00	0.82030
289.00	0.80792
290.00	0.79555
291.00	0.78409
292.00	0.77434
293.00	0.76458
294.00	0.75483
295.00	0.74508
296.00	0.73897
297.00	0.73335
298.00	0.72773
299.00	0.72211
300.00	0.71736
301.00	0.71381
302.00	0.71026
303.00	0.70749
304.00	0.70619
305.00	0.70559
306.00	0.70705
307.00	0.70852
308.00	0.70998
309.00	0.71335
310.00	0.71693
311.00	0.72051
312.00	0.72580
313.00	0.73248
314.00	0.73917
315.00	0.74585
316.00	0.75254
317.00	0.75997
318.00	0.76779
319.00	0.77560
320.00	0.78342
321.00	0.79129
322.00	0.79993
323.00	0.80857
324.00	0.81722
325.00	0.82586
326.00	0.83450
327.00	0.84259
328.00	0.85062
329.00	0.85864
330.00	0.86667
331.00	0.87469
332.00	0.88189
333.00	0.88878
334.00	0.89567
335.00	0.90256
336.00	0.90945
337.00	0.91634
338.00	0.92229
339.00	0.92787
340.00	0.93345
341.00	0.93903
342.00	0.94461
343.00	0.95019
344.00	0.95466
345.00	0.95896
346.00	0.96326
347.00	0.96755
348.00	0.97185
349.00	0.97570
350.00	0.97839
351.00	0.98109
352.00	0.98379
353.00	0.98649
354.00	0.98919
355.00	0.99133
356.00	0.99335
357.00	0.99538
358.00	0.99733
359.00	0.99822
360.00	0.99911
361.00	1.0000
362.00	0.99854
363.00	0.99708
364.00	0.99563
365.00	0.99135
366.00	0.98548
