Wavelength (nm)	"103, JACS 1991_7322, 3"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	0.33210
281.00	0.32930
282.00	0.32651
283.00	0.32371
284.00	0.32150
285.00	0.31929
286.00	0.31707
287.00	0.31486
288.00	0.31265
289.00	0.31044
290.00	0.30840
291.00	0.30641
292.00	0.30441
293.00	0.30241
294.00	0.30042
295.00	0.29842
296.00	0.29665
297.00	0.29487
298.00	0.29309
299.00	0.29132
300.00	0.28954
301.00	0.28776
302.00	0.28609
303.00	0.28527
304.00	0.28444
305.00	0.28362
306.00	0.28279
307.00	0.28376
308.00	0.28479
309.00	0.28583
310.00	0.28687
311.00	0.28791
312.00	0.28944
313.00	0.29118
314.00	0.29292
315.00	0.29467
316.00	0.29641
317.00	0.30117
318.00	0.30593
319.00	0.31070
320.00	0.31568
321.00	0.32214
322.00	0.32860
323.00	0.33507
324.00	0.34174
325.00	0.34859
326.00	0.35544
327.00	0.36229
328.00	0.36915
329.00	0.37797
330.00	0.38835
331.00	0.39873
332.00	0.40911
333.00	0.41949
334.00	0.43083
335.00	0.44440
336.00	0.45798
337.00	0.47155
338.00	0.48512
339.00	0.49870
340.00	0.51997
341.00	0.54355
342.00	0.56712
343.00	0.59127
344.00	0.61808
345.00	0.64488
346.00	0.67168
347.00	0.69835
348.00	0.72080
349.00	0.74325
350.00	0.76571
351.00	0.78188
352.00	0.79800
353.00	0.81411
354.00	0.83022
355.00	0.84537
356.00	0.86033
357.00	0.87530
358.00	0.89026
359.00	0.90402
360.00	0.91723
361.00	0.93045
362.00	0.94366
363.00	0.95688
364.00	0.96686
365.00	0.97680
366.00	0.98635
367.00	0.99590
368.00	1.0000
369.00	0.99761
370.00	0.99522
371.00	0.98305
372.00	0.97087
373.00	0.94944
374.00	0.92157
375.00	0.89371
376.00	0.86584
377.00	0.81835
378.00	0.77066
379.00	0.72544
380.00	0.68267
