Wavelength (nm)	"120, M 1984_837, ZZZ-7"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.58793
251.00	0.59611
252.00	0.60101
253.00	0.60591
254.00	0.61081
255.00	0.61557
256.00	0.61954
257.00	0.62352
258.00	0.62750
259.00	0.63147
260.00	0.63531
261.00	0.63791
262.00	0.64051
263.00	0.64311
264.00	0.64571
265.00	0.64825
266.00	0.64973
267.00	0.65120
268.00	0.65268
269.00	0.65360
270.00	0.65396
271.00	0.65431
272.00	0.65347
273.00	0.65263
274.00	0.65179
275.00	0.65046
276.00	0.64906
277.00	0.64765
278.00	0.64601
279.00	0.64282
280.00	0.63962
281.00	0.63642
282.00	0.63239
283.00	0.62771
284.00	0.62304
285.00	0.61836
286.00	0.61342
287.00	0.60832
288.00	0.60322
289.00	0.59812
290.00	0.59286
291.00	0.58745
292.00	0.58204
293.00	0.57664
294.00	0.57440
295.00	0.57230
296.00	0.57020
297.00	0.56831
298.00	0.56721
299.00	0.56611
300.00	0.56508
301.00	0.56625
302.00	0.56742
303.00	0.56859
304.00	0.57077
305.00	0.57543
306.00	0.58009
307.00	0.58975
308.00	0.60199
309.00	0.61618
310.00	0.63689
311.00	0.65760
312.00	0.67798
313.00	0.69814
314.00	0.71830
315.00	0.73816
316.00	0.75237
317.00	0.76659
318.00	0.78080
319.00	0.79501
320.00	0.80800
321.00	0.82056
322.00	0.83312
323.00	0.84568
324.00	0.85824
325.00	0.87080
326.00	0.88274
327.00	0.89208
328.00	0.90142
329.00	0.91076
330.00	0.92010
331.00	0.92939
332.00	0.93835
333.00	0.94731
334.00	0.95626
335.00	0.96522
336.00	0.97191
337.00	0.97814
338.00	0.98437
339.00	0.98935
340.00	0.99285
341.00	0.99636
342.00	0.99858
343.00	0.99929
344.00	1.0000
345.00	0.99874
346.00	0.99748
347.00	0.99547
348.00	0.99079
349.00	0.98611
350.00	0.98071
351.00	0.97482
352.00	0.96893
353.00	0.96304
354.00	0.95668
355.00	0.94915
356.00	0.94162
357.00	0.93409
358.00	0.92656
359.00	0.91903
360.00	0.91105
361.00	0.90260
362.00	0.89415
363.00	0.88570
364.00	0.87725
365.00	0.86880
366.00	0.85824
