Wavelength (nm)	"125, M 1985_939, EZZ-5"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	0.41570
251.00	0.41928
252.00	0.42285
253.00	0.42643
254.00	0.43000
255.00	0.43359
256.00	0.43735
257.00	0.44112
258.00	0.44488
259.00	0.44865
260.00	0.45242
261.00	0.45743
262.00	0.46294
263.00	0.46844
264.00	0.47395
265.00	0.47945
266.00	0.48495
267.00	0.49264
268.00	0.50050
269.00	0.50835
270.00	0.51620
271.00	0.52406
272.00	0.53392
273.00	0.54423
274.00	0.55454
275.00	0.56497
276.00	0.57855
277.00	0.59212
278.00	0.60569
279.00	0.61954
280.00	0.63997
281.00	0.66040
282.00	0.68084
283.00	0.69356
284.00	0.70561
285.00	0.71766
286.00	0.73016
287.00	0.74298
288.00	0.75580
289.00	0.75976
290.00	0.76294
291.00	0.76612
292.00	0.76789
293.00	0.76864
294.00	0.76757
295.00	0.76650
296.00	0.76543
297.00	0.76169
298.00	0.75676
299.00	0.75182
300.00	0.74196
301.00	0.72853
302.00	0.71510
303.00	0.70092
304.00	0.68440
305.00	0.66787
306.00	0.65135
307.00	0.63561
308.00	0.62234
309.00	0.60908
310.00	0.59582
311.00	0.58256
312.00	0.56930
313.00	0.56053
314.00	0.55227
315.00	0.54401
316.00	0.53575
317.00	0.53039
318.00	0.52535
319.00	0.52032
320.00	0.51528
321.00	0.51240
322.00	0.51052
323.00	0.50865
324.00	0.50678
325.00	0.50844
326.00	0.51050
327.00	0.51256
328.00	0.51462
329.00	0.51979
330.00	0.52534
331.00	0.53090
332.00	0.53645
333.00	0.54200
334.00	0.55498
335.00	0.56797
336.00	0.58096
337.00	0.59394
338.00	0.60693
339.00	0.61991
340.00	0.63533
341.00	0.65074
342.00	0.66616
343.00	0.68158
344.00	0.69748
345.00	0.71776
346.00	0.73805
347.00	0.75833
348.00	0.78389
349.00	0.81376
350.00	0.84362
351.00	0.87341
352.00	0.90320
353.00	0.91871
354.00	0.93423
355.00	0.94974
356.00	0.96077
357.00	0.96731
358.00	0.97384
359.00	0.97985
360.00	0.98514
361.00	0.99044
362.00	0.99464
363.00	0.99643
364.00	0.99821
365.00	1.0000
366.00	0.99874
