Wavelength (nm)	"129, M 1989_771, 9 H2O"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.53926
301.00	0.54655
302.00	0.55384
303.00	0.56114
304.00	0.56843
305.00	0.57919
306.00	0.59246
307.00	0.60573
308.00	0.61900
309.00	0.63227
310.00	0.64555
311.00	0.65909
312.00	0.67265
313.00	0.68621
314.00	0.69976
315.00	0.71474
316.00	0.73009
317.00	0.74545
318.00	0.76080
319.00	0.77825
320.00	0.79612
321.00	0.81399
322.00	0.83187
323.00	0.84974
324.00	0.86659
325.00	0.88323
326.00	0.89988
327.00	0.91652
328.00	0.93316
329.00	0.94980
330.00	0.96314
331.00	0.97408
332.00	0.98502
333.00	0.99239
334.00	0.99620
335.00	1.0000
336.00	0.99828
337.00	0.99655
338.00	0.99192
339.00	0.98388
340.00	0.97584
341.00	0.96232
342.00	0.94258
343.00	0.91352
344.00	0.86011
345.00	0.80061
346.00	0.74111
347.00	0.67148
348.00	0.60587
349.00	0.55930
350.00	0.51273
351.00	0.47742
352.00	0.45335
353.00	0.42928
354.00	0.40521
355.00	0.38970
356.00	0.37418
357.00	0.35867
358.00	0.34316
359.00	0.32825
360.00	0.31420
361.00	0.30014
362.00	0.28608
363.00	0.27202
364.00	0.25898
365.00	0.24981
366.00	0.24064
367.00	0.23146
368.00	0.22229
369.00	0.21312
370.00	0.20547
371.00	0.20033
372.00	0.19518
373.00	0.19004
374.00	0.18489
375.00	0.17974
376.00	0.17460
377.00	0.16945
378.00	0.16430
379.00	0.16084
380.00	0.15770
381.00	0.15457
382.00	0.15143
383.00	0.14829
384.00	0.14515
385.00	0.14201
386.00	0.13902
387.00	0.13695
388.00	0.13487
389.00	0.13280
