Wavelength (nm)	"155, Eur J Inorg Chem 2007_1661, 12"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	0.48052
301.00	0.47536
302.00	0.47020
303.00	0.46504
304.00	0.45952
305.00	0.45370
306.00	0.44798
307.00	0.44332
308.00	0.43866
309.00	0.43400
310.00	0.42934
311.00	0.42488
312.00	0.42118
313.00	0.41748
314.00	0.41377
315.00	0.41069
316.00	0.40866
317.00	0.40662
318.00	0.40459
319.00	0.40255
320.00	0.40052
321.00	0.40107
322.00	0.40236
323.00	0.40365
324.00	0.40494
325.00	0.40622
326.00	0.40751
327.00	0.40908
328.00	0.41213
329.00	0.41519
330.00	0.41824
331.00	0.42130
332.00	0.42435
333.00	0.42741
334.00	0.43051
335.00	0.43381
336.00	0.43710
337.00	0.44040
338.00	0.44370
339.00	0.44700
340.00	0.45030
341.00	0.45360
342.00	0.45817
343.00	0.46296
344.00	0.46775
345.00	0.47254
346.00	0.47734
347.00	0.48213
348.00	0.48547
349.00	0.48869
350.00	0.49191
351.00	0.49512
352.00	0.49834
353.00	0.50156
354.00	0.50556
355.00	0.51152
356.00	0.51747
357.00	0.52342
358.00	0.52937
359.00	0.53534
360.00	0.54132
361.00	0.54730
362.00	0.55328
363.00	0.55926
364.00	0.56537
365.00	0.57158
366.00	0.57780
367.00	0.58402
368.00	0.59024
369.00	0.59646
370.00	0.60268
371.00	0.60940
372.00	0.61619
373.00	0.62298
374.00	0.62977
375.00	0.63656
376.00	0.64335
377.00	0.65013
378.00	0.65573
379.00	0.66039
380.00	0.66505
381.00	0.66971
382.00	0.67437
383.00	0.67903
384.00	0.68370
385.00	0.68886
386.00	0.69564
387.00	0.70243
388.00	0.70921
