Wavelength (nm)	167, OBC 2017_7255, 5
400.00	
401.00	
402.00	
403.00	
404.00	
405.00	
406.00	
407.00	
408.00	
409.00	
410.00	
411.00	
412.00	
413.00	
414.00	
415.00	
416.00	
417.00	
418.00	
419.00	
420.00	
421.00	
422.00	
423.00	
424.00	
425.00	
426.00	
427.00	
428.00	
429.00	
430.00	
431.00	
432.00	
433.00	
434.00	
435.00	
436.00	
437.00	
438.00	
439.00	
440.00	
441.00	
442.00	
443.00	
444.00	
445.00	
446.00	
447.00	
448.00	
449.00	
450.00	
451.00	
452.00	
453.00	
454.00	
455.00	
456.00	
457.00	
458.00	
459.00	
460.00	
461.00	
462.00	
463.00	
464.00	
465.00	
466.00	
467.00	
468.00	
469.00	
470.00	
471.00	
472.00	
473.00	
474.00	
475.00	
476.00	
477.00	
478.00	
479.00	
480.00	
481.00	
482.00	
483.00	
484.00	
485.00	
486.00	
487.00	
488.00	
489.00	
490.00	
491.00	
492.00	
493.00	
494.00	
495.00	
496.00	
497.00	
498.00	
499.00	
500.00	
501.00	
502.00	
503.00	
504.00	
505.00	
506.00	
507.00	
508.00	
509.00	
510.00	
511.00	
512.00	
513.00	
514.00	
515.00	
516.00	
517.00	
518.00	
519.00	
520.00	
521.00	
522.00	
523.00	
524.00	
525.00	
526.00	
527.00	
528.00	
529.00	
530.00	
531.00	
532.00	
533.00	
534.00	
535.00	
536.00	
537.00	
538.00	
539.00	
540.00	
541.00	
542.00	
543.00	
544.00	
545.00	
546.00	
547.00	
548.00	
549.00	
550.00	0.0075800
551.00	0.0085156
552.00	0.0094961
553.00	0.010477
554.00	0.011580
555.00	0.012801
556.00	0.014022
557.00	0.015522
558.00	0.017040
559.00	0.018677
560.00	0.020454
561.00	0.022431
562.00	0.024799
563.00	0.027425
564.00	0.030965
565.00	0.035255
566.00	0.041570
567.00	0.050008
568.00	0.059775
569.00	0.070132
570.00	0.079337
571.00	0.090597
572.00	0.10542
573.00	0.12420
574.00	0.14082
575.00	0.16231
576.00	0.18692
577.00	0.21578
578.00	0.24514
579.00	0.27492
580.00	0.31240
581.00	0.35230
582.00	0.39514
583.00	0.43866
584.00	0.48219
585.00	0.53150
586.00	0.58318
587.00	0.63492
588.00	0.68678
589.00	0.73761
590.00	0.78439
591.00	0.83089
592.00	0.87422
593.00	0.91223
594.00	0.94226
595.00	0.96824
596.00	0.98951
597.00	0.99811
598.00	1.0000
599.00	0.99691
600.00	0.99012
601.00	0.97535
602.00	0.95388
603.00	0.92931
604.00	0.90399
605.00	0.87638
606.00	0.84878
607.00	0.81755
608.00	0.78381
609.00	0.75006
610.00	0.71564
611.00	0.68025
612.00	0.64486
613.00	0.61153
614.00	0.57889
615.00	0.54751
616.00	0.51957
617.00	0.49162
618.00	0.46573
619.00	0.44111
620.00	0.41648
621.00	0.39491
622.00	0.37344
623.00	0.35309
624.00	0.33523
625.00	0.31736
626.00	0.30148
627.00	0.28709
628.00	0.27270
629.00	0.26025
630.00	0.24799
631.00	0.23579
